document_id,baseline_total,variant_total,total_diff,grade_baseline,grade_variant,grade_changed,dimensions_same,dimensions_changed_count
MDA_2658_AJI_2020,23.75,37.5,13.75,D,D,False,1,4
MDA_5202_MSM_2024,23.75,62.5,38.75,D,C,True,0,5
MDA_3689_FN_2022,25.0,78.75,53.75,D,B,True,0,5
MDA_7237_PWROOT_2024,31.25,66.25,35.0,D,C,True,0,5
MDA_9946_ETA_2021,31.25,75.0,43.75,D,B,True,0,5
MDA_0212_SDS_2022,37.5,68.75,31.25,D,C,True,2,3
MDA_7243_MAGMA_2022,42.5,77.5,35.0,D,B,True,0,5
MDA_5188_CNOUHUA_2020,43.75,75.0,31.25,D,B,True,2,3
MDA_6203_KHEESAN_2022,45.0,75.0,30.0,D,B,True,1,4
MDA_2836_CARLSBG_2021,48.75,78.75,30.0,D,B,True,1,4
MDA_2828_CIHLDG_2024,52.5,72.5,20.0,D,B,True,2,3
MDA_5102_GCB_2022,53.75,75.0,21.25,D,B,True,3,2
MDA_5102_GCB_2024,53.75,78.75,25.0,D,B,True,2,3
MDA_5187_HBGLOB_2023,53.75,75.0,21.25,D,B,True,3,2
MDA_3662_MFLOUR_2023,58.75,78.75,20.0,C,B,True,2,3
MDA_0012_3A_2023,68.75,75.0,6.25,C,B,True,4,1
MDA_5157_SG_2023,68.75,75.0,6.25,C,B,True,4,1
MDA_8478_HWATAI_2021,68.75,75.0,6.25,C,B,True,4,1
MDA_8478_HWATAI_2024,68.75,78.75,10.0,C,B,True,3,2
MDA_5102_GCB_2023,80.0,78.75,-1.25,B,B,False,2,3
MDA_7103_SPRITZER_2022,81.25,93.75,12.5,B,A,True,4,1
MDA_2828_CIHLDG_2020,86.25,85.0,-1.25,A,A,False,3,2
MDA_2828_CIHLDG_2023,88.75,92.5,3.75,A,A,False,3,2
MDA_2828_CIHLDG_2021,91.25,85.0,-6.25,A,A,False,2,3
MDA_2828_CIHLDG_2022,91.25,85.0,-6.25,A,A,False,2,3
