document_id,ticker,report_year,total_score,grade
MDA_2658_AJI_2020,AJI,2020,23.75,D
MDA_5202_MSM_2024,MSM,2024,23.75,D
MDA_3689_FN_2022,FN,2022,25.0,D
MDA_7237_PWROOT_2024,PWROOT,2024,31.25,D
MDA_9946_ETA_2021,ETA,2021,31.25,D
MDA_0212_SDS_2022,SDS,2022,37.5,D
MDA_7243_MAGMA_2022,MAGMA,2022,42.5,D
MDA_5188_CNOUHUA_2020,CNOUHUA,2020,43.75,D
MDA_6203_KHEESAN_2022,KHEESAN,2022,45.0,D
MDA_2836_CARLSBG_2021,CARLSBG,2021,48.75,D
MDA_2828_CIHLDG_2024,CIHLDG,2024,52.5,D
MDA_5102_GCB_2022,GCB,2022,53.75,D
MDA_5102_GCB_2024,GCB,2024,53.75,D
MDA_5187_HBGLOB_2023,HBGLOB,2023,53.75,D
MDA_3662_MFLOUR_2023,MFLOUR,2023,58.75,C
MDA_0012_3A_2023,3A,2023,68.75,C
MDA_5157_SG_2023,SG,2023,68.75,C
MDA_8478_HWATAI_2021,HWATAI,2021,68.75,C
MDA_8478_HWATAI_2024,HWATAI,2024,68.75,C
MDA_5102_GCB_2023,GCB,2023,80.0,B
MDA_7103_SPRITZER_2022,SPRITZER,2022,81.25,B
MDA_2828_CIHLDG_2020,CIHLDG,2020,86.25,A
MDA_2828_CIHLDG_2023,CIHLDG,2023,88.75,A
MDA_2828_CIHLDG_2021,CIHLDG,2021,91.25,A
MDA_2828_CIHLDG_2022,CIHLDG,2022,91.25,A
