document_id,baseline_total,variant_total,total_diff,grade_baseline,grade_variant,grade_changed,dimensions_same,dimensions_changed_count
MDA_2658_AJI_2020,23.75,13.75,-10.0,D,D,False,2,3
MDA_5202_MSM_2024,23.75,18.75,-5.0,D,D,False,3,2
MDA_3689_FN_2022,25.0,42.5,17.5,D,D,False,3,2
MDA_7237_PWROOT_2024,31.25,30.0,-1.25,D,D,False,3,2
MDA_9946_ETA_2021,31.25,25.0,-6.25,D,D,False,4,1
MDA_0212_SDS_2022,37.5,35.0,-2.5,D,D,False,2,3
MDA_7243_MAGMA_2022,42.5,51.25,8.75,D,D,False,3,2
MDA_5188_CNOUHUA_2020,43.75,36.25,-7.5,D,D,False,1,4
MDA_6203_KHEESAN_2022,45.0,42.5,-2.5,D,D,False,3,2
MDA_2836_CARLSBG_2021,48.75,36.25,-12.5,D,D,False,2,3
MDA_2828_CIHLDG_2024,52.5,50.0,-2.5,D,D,False,4,1
MDA_5102_GCB_2022,53.75,60.0,6.25,D,C,True,2,3
MDA_5102_GCB_2024,53.75,62.5,8.75,D,C,True,3,2
MDA_5187_HBGLOB_2023,53.75,47.5,-6.25,D,D,False,4,1
MDA_3662_MFLOUR_2023,58.75,53.75,-5.0,C,D,True,2,3
MDA_0012_3A_2023,68.75,45.0,-23.75,C,D,True,2,3
MDA_5157_SG_2023,68.75,48.75,-20.0,C,D,True,3,2
MDA_8478_HWATAI_2021,68.75,38.75,-30.0,C,D,True,1,4
MDA_8478_HWATAI_2024,68.75,66.25,-2.5,C,C,False,3,2
MDA_5102_GCB_2023,80.0,55.0,-25.0,B,C,True,0,5
MDA_7103_SPRITZER_2022,81.25,81.25,0.0,B,B,False,2,3
MDA_2828_CIHLDG_2020,86.25,82.5,-3.75,A,B,True,2,3
MDA_2828_CIHLDG_2023,88.75,77.5,-11.25,A,B,True,2,3
MDA_2828_CIHLDG_2021,91.25,65.0,-26.25,A,C,True,1,4
MDA_2828_CIHLDG_2022,91.25,55.0,-36.25,A,C,True,1,4
