document_id,stock_code,ticker,report_year,market
MDA_0012_3A_2020,0012,3A,2020,Main
MDA_0012_3A_2021,0012,3A,2021,Main
MDA_0012_3A_2022,0012,3A,2022,Main
MDA_0012_3A_2023,0012,3A,2023,Main
MDA_0012_3A_2024,0012,3A,2024,Main
MDA_0212_SDS_2020,0212,SDS,2020,Main
MDA_0212_SDS_2021,0212,SDS,2021,Main
MDA_0212_SDS_2022,0212,SDS,2022,Main
MDA_0212_SDS_2023,0212,SDS,2023,Main
MDA_0212_SDS_2024,0212,SDS,2024,Main
MDA_2658_AJI_2020,2658,AJI,2020,Main
MDA_2658_AJI_2021,2658,AJI,2021,Main
MDA_2658_AJI_2022,2658,AJI,2022,Main
MDA_2658_AJI_2023,2658,AJI,2023,Main
MDA_2658_AJI_2024,2658,AJI,2024,Main
MDA_2828_CIHLDG_2020,2828,CIHLDG,2020,Main
MDA_2828_CIHLDG_2021,2828,CIHLDG,2021,Main
MDA_2828_CIHLDG_2022,2828,CIHLDG,2022,Main
MDA_2828_CIHLDG_2023,2828,CIHLDG,2023,Main
MDA_2828_CIHLDG_2024,2828,CIHLDG,2024,Main
MDA_2836_CARLSBG_2020,2836,CARLSBG,2020,Main
MDA_2836_CARLSBG_2021,2836,CARLSBG,2021,Main
MDA_2836_CARLSBG_2022,2836,CARLSBG,2022,Main
MDA_2836_CARLSBG_2023,2836,CARLSBG,2023,Main
MDA_2836_CARLSBG_2024,2836,CARLSBG,2024,Main
MDA_3026_DLADY_2020,3026,DLADY,2020,Main
MDA_3026_DLADY_2021,3026,DLADY,2021,Main
MDA_3026_DLADY_2022,3026,DLADY,2022,Main
MDA_3026_DLADY_2023,3026,DLADY,2023,Main
MDA_3026_DLADY_2024,3026,DLADY,2024,Main
MDA_3255_HEIM_2020,3255,HEIM,2020,Main
MDA_3255_HEIM_2021,3255,HEIM,2021,Main
MDA_3255_HEIM_2022,3255,HEIM,2022,Main
MDA_3255_HEIM_2023,3255,HEIM,2023,Main
MDA_3255_HEIM_2024,3255,HEIM,2024,Main
MDA_3662_MFLOUR_2020,3662,MFLOUR,2020,Main
MDA_3662_MFLOUR_2021,3662,MFLOUR,2021,Main
MDA_3662_MFLOUR_2022,3662,MFLOUR,2022,Main
MDA_3662_MFLOUR_2023,3662,MFLOUR,2023,Main
MDA_3662_MFLOUR_2024,3662,MFLOUR,2024,Main
MDA_3689_FN_2020,3689,FN,2020,Main
MDA_3689_FN_2021,3689,FN,2021,Main
MDA_3689_FN_2022,3689,FN,2022,Main
MDA_3689_FN_2023,3689,FN,2023,Main
MDA_4065_PPB_2020,4065,PPB,2020,Main
MDA_4065_PPB_2021,4065,PPB,2021,Main
