document_id,stock_code,ticker,year,auditor_firm,big4,total_assets_rm000,profit_rm000,loss_flag,unit,notes
MDA_0012_3A_2020,0012,3A,2020,BDO,0,431837,30162,0,RM'000,
MDA_0012_3A_2021,0012,3A,2021,BDO,0,463570,15405,0,RM'000,
MDA_0012_3A_2022,0012,3A,2022,BDO,0,509048,8636,0,RM'000,
MDA_0012_3A_2023,0012,3A,2023,BDO,0,505664,13460,0,RM'000,
MDA_0012_3A_2024,0012,3A,2024,BDO,0,535261,14724,0,RM'000,
MDA_0212_SDS_2020,0212,SDS,2020,Crowe,0,146204,4074,0,RM'000,
MDA_0212_SDS_2021,0212,SDS,2021,Crowe,0,139019,4074,0,RM'000,
MDA_0212_SDS_2022,0212,SDS,2022,Crowe,0,143090,10615,0,RM'000,
MDA_0212_SDS_2023,0212,SDS,2023,Crowe,0,161873,24982,0,RM'000,
MDA_0212_SDS_2024,0212,SDS,2024,Crowe,0,193421,33083,0,RM'000,
MDA_2658_AJI_2020,2658,AJI,2020,EY,1,580449992,58918618,0,RM,ta_from_next_year_comparative;profit_from_next_year_comparative
MDA_2658_AJI_2021,2658,AJI,2021,EY,1,727528691,46607818,0,RM,
MDA_2658_AJI_2022,2658,AJI,2022,KPMG,1,731015585,16996225,0,RM,
MDA_2658_AJI_2023,2658,AJI,2023,KPMG,1,741979603,27491461,0,RM,ta_from_next_year_comparative;profit_from_next_year_comparative
MDA_2658_AJI_2024,2658,AJI,2024,KPMG,1,1092772652,401419744,0,RM,
MDA_2828_CIHLDG_2020,2828,CIHLDG,2020,BDO,0,805076,53067,0,RM'000,
MDA_2828_CIHLDG_2021,2828,CIHLDG,2021,BDO,0,849942,121077,0,RM'000,
MDA_2828_CIHLDG_2022,2828,CIHLDG,2022,BDO,0,1149474,123765,0,RM'000,
MDA_2828_CIHLDG_2023,2828,CIHLDG,2023,BDO,0,1216783,173061,0,RM'000,
MDA_2828_CIHLDG_2024,2828,CIHLDG,2024,BDO,0,1045634,123393,0,RM'000,
