document_id,stock_code,ticker,company_name,year,auditor_firm,big4,auditor_method,total_assets_reported,unit,profit_loss_reported,loss_flag,ta_source_page,pl_source_page,notes
MDA_0012_3A_2020,0012,3A,3A [s],2020,BDO,0,audit_window_p54,431837,RM'000,30162,0,60,61,
MDA_0012_3A_2021,0012,3A,3A [s],2021,BDO,0,audit_window_p59,463570,RM'000,15405,0,60,87,
MDA_0012_3A_2022,0012,3A,3A [s],2022,BDO,0,audit_window_p69,509048,RM'000,8636,0,70,95,
MDA_0012_3A_2023,0012,3A,3A [s],2023,BDO,0,audit_window_p92,505664,RM'000,13460,0,93,118,
MDA_0012_3A_2024,0012,3A,3A [s],2024,BDO,0,audit_window_p100,535261,RM'000,14724,0,101,126,
MDA_0212_SDS_2020,0212,SDS,SDS [s],2020,Crowe,0,audit_window_p62,146204,RM'000,4074,0,63,66,
MDA_0212_SDS_2021,0212,SDS,SDS [s],2021,Crowe,0,audit_window_p54,139019,RM'000,4074,0,55,59,
MDA_0212_SDS_2022,0212,SDS,SDS [s],2022,Crowe,0,audit_window_p66,143090,RM'000,10615,0,67,69,
MDA_0212_SDS_2023,0212,SDS,SDS [s],2023,Crowe,0,audit_window_p75,161873,RM'000,24982,0,76,78,
MDA_0212_SDS_2024,0212,SDS,SDS [s],2024,Crowe,0,audit_window_p67,193421,RM'000,33083,0,83,85,
MDA_2658_AJI_2020,2658,AJI,AJI [s],2020,EY,1,audit_window_p75,580449992,RM,58918618,0,,,ta_from_next_year_comparative;profit_from_next_year_comparative
MDA_2658_AJI_2021,2658,AJI,AJI [s],2021,EY,1,audit_window_p49,727528691,RM,46607818,0,51,50,
MDA_2658_AJI_2022,2658,AJI,AJI [s],2022,KPMG,1,audit_window_p99,731015585,RM,16996225,0,47,48,
MDA_2658_AJI_2023,2658,AJI,AJI [s],2023,KPMG,1,audit_window_p639,741979603,RM,27491461,0,,,ta_from_next_year_comparative;profit_from_next_year_comparative
MDA_2658_AJI_2024,2658,AJI,AJI [s],2024,KPMG,1,audit_window_p95,1092772652,RM,401419744,0,49,50,
MDA_2828_CIHLDG_2020,2828,CIHLDG,CIHLDG [s],2020,BDO,0,audit_window_p53,805076,RM'000,53067,0,54,64,
MDA_2828_CIHLDG_2021,2828,CIHLDG,CIHLDG [s],2021,BDO,0,audit_window_p57,849942,RM'000,121077,0,58,68,
MDA_2828_CIHLDG_2022,2828,CIHLDG,CIHLDG [s],2022,BDO,0,audit_window_p47,1149474,RM'000,123765,0,48,58,
MDA_2828_CIHLDG_2023,2828,CIHLDG,CIHLDG [s],2023,BDO,0,audit_window_p52,1216783,RM'000,173061,0,53,63,
MDA_2828_CIHLDG_2024,2828,CIHLDG,CIHLDG [s],2024,BDO,0,audit_window_p69,1045634,RM'000,123393,0,70,80,
MDA_2836_CARLSBG_2020,2836,CARLSBG,CARLSBG,2020,PwC,1,majority_vote,636547,RM'000,166185,0,,36,profit_manual_verified;auditor_inferred_PwC;ta_from_next_year_comparative
MDA_2836_CARLSBG_2021,2836,CARLSBG,CARLSBG,2021,PwC,1,audit_window_p200,621471,RM'000,204365,0,121,168,profit_manual_verified
MDA_2836_CARLSBG_2022,2836,CARLSBG,CARLSBG,2022,PwC,1,audit_window_p217,1058190,RM'000,15950,0,134,182,
MDA_2836_CARLSBG_2023,2836,CARLSBG,CARLSBG,2023,PwC,1,audit_window_p217,1017311,RM'000,15515,0,143,184,
MDA_2836_CARLSBG_2024,2836,CARLSBG,CARLSBG,2024,PwC,1,audit_window_p246,1133386,RM'000,7472,0,173,213,
MDA_3026_DLADY_2020,3026,DLADY,DLADY [s],2020,PwC,1,audit_window_p160,498845,RM'000,102958,0,110,112,
MDA_3026_DLADY_2021,3026,DLADY,DLADY [s],2021,PwC,1,audit_window_p160,701232,RM'000,248000,0,108,109,
MDA_3026_DLADY_2022,3026,DLADY,DLADY [s],2022,PwC,1,audit_window_p139,844174,RM'000,46271,0,90,91,
MDA_3026_DLADY_2023,3026,DLADY,DLADY [s],2023,PwC,1,audit_window_p208,946876,RM'000,72394,0,168,192,
MDA_3026_DLADY_2024,3026,DLADY,DLADY [s],2024,PwC,1,audit_window_p218,1073732,RM'000,96647,0,176,202,
MDA_3255_HEIM_2020,3255,HEIM,HEIM,2020,Deloitte,1,audit_window_p88,1046708,RM'000,312968,0,90,91,
MDA_3255_HEIM_2021,3255,HEIM,HEIM,2021,Deloitte,1,audit_window_p81,1088173,RM'000,154197,0,83,84,
MDA_3255_HEIM_2022,3255,HEIM,HEIM,2022,Deloitte,1,audit_window_p118,1408221,RM'000,245678,0,120,121,
MDA_3255_HEIM_2023,3255,HEIM,HEIM,2023,Deloitte,1,audit_window_p120,1247429,RM'000,412824,0,122,123,
MDA_3255_HEIM_2024,3255,HEIM,HEIM,2024,Deloitte,1,audit_window_p131,1280188,RM'000,386800,0,133,134,
MDA_3662_MFLOUR_2020,3662,MFLOUR,MFLOUR,2020,KPMG,1,auditors_label_p5,2582002,RM'000,20584,0,92,95,
MDA_3662_MFLOUR_2021,3662,MFLOUR,MFLOUR,2021,KPMG,1,auditors_label_p5,2731613,RM'000,198542,0,96,100,
MDA_3662_MFLOUR_2022,3662,MFLOUR,MFLOUR,2022,KPMG,1,audit_window_p192,2731427,RM'000,154000,0,96,100,
MDA_3662_MFLOUR_2023,3662,MFLOUR,MFLOUR,2023,KPMG,1,auditors_label_p5,2580740,RM'000,5285,0,66,70,
MDA_3662_MFLOUR_2024,3662,MFLOUR,MFLOUR,2024,KPMG,1,auditors_label_p5,2556457,RM'000,77223,0,122,126,
MDA_3689_FN_2020,3689,FN,F&N [s],2020,KPMG,1,audit_window_p227,3520061,RM'000,410124,0,150,151,
MDA_3689_FN_2021,3689,FN,F&N [s],2021,KPMG,1,audit_window_p247,3631746,RM'000,395130,0,168,207,profit_manual_verified
MDA_3689_FN_2022,3689,FN,F&N [s],2022,KPMG,1,audit_window_p288,4190630,RM'000,382269,0,169,171,
MDA_3689_FN_2023,3689,FN,F&N [s],2023,KPMG,1,audit_window_p286,5111617,RM'000,542028,0,180,182,
MDA_4065_PPB_2020,4065,PPB,PPB [s],2020,EY,1,audit_window_p95,11919227,RM'000,544038,0,52,52,
MDA_4065_PPB_2021,4065,PPB,PPB [s],2021,EY,1,audit_window_p98,12011136,RM'000,1507115,0,,40,ta_from_next_year_comparative
MDA_4065_PPB_2022,4065,PPB,PPB [s],2022,EY,1,audit_window_p85,12128437,RM'000,671696,0,43,43,
MDA_4065_PPB_2023,4065,PPB,PPB [s],2023,EY,1,audit_window_p82,12317106,RM'000,787877,0,41,41,
MDA_4065_PPB_2024,4065,PPB,PPB [s],2024,EY,1,audit_window_p82,12490965,RM'000,773033,0,41,41,
MDA_4707_NESTLE_2020,4707,NESTLE,NESTLE [s],2020,EY,1,auditors_label_p77,2861400,RM'000,552710,0,,,ta_external_web;profit_external_web
MDA_4707_NESTLE_2021,4707,NESTLE,NESTLE [s],2021,EY,1,auditors_label_p63,2984830,RM'000,569810,0,,,ta_external_web;profit_external_web
MDA_4707_NESTLE_2022,4707,NESTLE,NESTLE [s],2022,EY,1,auditors_label_p61,3554010,RM'000,620330,0,,,ta_external_web;profit_external_web
MDA_4707_NESTLE_2023,4707,NESTLE,NESTLE [s],2023,EY,1,auditors_label_p63,3569220,RM'000,659870,0,,,ta_external_web;profit_external_web
MDA_4707_NESTLE_2024,4707,NESTLE,NESTLE [s],2024,EY,1,auditors_label_p62,3649740,RM'000,415620,0,,,ta_external_web;profit_external_web
MDA_5008_HARISON_2021,5008,HARISON,HARISON,2021,PwC,1,auditors_label_raw_p69,741430,RM'000,44476,0,14,,profit_from_next_year_comparative
MDA_5008_HARISON_2022,5008,HARISON,HARISON,2022,PwC,1,audit_window_p137,919006,RM'000,67981,0,93,60,
MDA_5008_HARISON_2023,5008,HARISON,HARISON,2023,PwC,1,audit_window_p133,944544,RM'000,68798,0,88,65,
MDA_5008_HARISON_2024,5008,HARISON,HARISON,2024,PwC,1,audit_window_p150,974727,RM'000,42992,0,105,83,
MDA_5102_GCB_2020,5102,GCB,GCB [s],2020,BDO,0,audit_window_p84,98123458,RM,222709035,0,136,89,
MDA_5102_GCB_2021,5102,GCB,GCB [s],2021,BDO,0,audit_window_p118,101880125,RM,154838455,0,168,123,
MDA_5102_GCB_2022,5102,GCB,GCB [s],2022,BDO,0,audit_window_p168,108768791,RM,147410462,0,217,171,
MDA_5102_GCB_2023,5102,GCB,GCB [s],2023,BDO,0,audit_window_p175,111434206,RM,100925917,0,210,178,
MDA_5102_GCB_2024,5102,GCB,GCB [s],2024,BDO,0,audit_window_p175,138448421,RM,429158425,0,203,178,
MDA_5157_SG_2020,5157,SG,SG [s],2020,Grant Thornton,0,audit_window_p68,75528360,RM,-30611083,1,69,115,
MDA_5157_SG_2021,5157,SG,SG [s],2021,Grant Thornton,0,audit_window_p68,141319044,RM,-4372939,1,69,117,
MDA_5157_SG_2022,5157,SG,SG [s],2022,Grant Thornton,0,audit_window_p69,149579109,RM,-4406136,1,70,113,
MDA_5157_SG_2023,5157,SG,SG [s],2023,Grant Thornton,0,audit_window_p69,156259148,RM,-7366977,1,70,114,
MDA_5157_SG_2024,5157,SG,SG [s],2024,Grant Thornton,0,audit_window_p78,155209310,RM,-6063008,1,79,113,
MDA_5187_HBGLOB_2020,5187,HBGLOB,HBGLOB,2020,UHY,0,auditors_label_p3,419760,RMB'000,-45290,1,77,58,ta_manual_verified
MDA_5187_HBGLOB_2021,5187,HBGLOB,HBGLOB,2021,Folks DFK,0,majority_vote,493477,RMB'000,-45290,1,,,profit_manual_verified;ta_from_next_year_comparative
MDA_5187_HBGLOB_2022,5187,HBGLOB,HBGLOB,2022,UHY,0,auditors_label_p3,270308,RMB'000,-2302,1,59,87,
