document_id,stock_code,ticker,year,parts,auditor_tokens,auditor_firm,big4,auditor_method,total_assets_rm000,ta_page,ta_line,profit_rm000,loss_flag,pl_page,pl_line,unit,notes
MDA_0012_3A_2020,0012,3A,2020,0012_3A_2020_AnnualReport_part1_official.txt,BDO,BDO,0,audit_window_p54,431837,60,"TOTAL ASSETS 431,837 406,519 165,074 164,158",30162,0,61,"Tax expense 22 (10,546) (10,840) * - Profit for the financial year 30,162 29,419 12,722 8,304",RM'000,
MDA_0012_3A_2021,0012,3A,2021,0012_3A_2021_AnnualReport_part1_official.txt,BDO,BDO,0,audit_window_p59,463570,60,"TOTAL ASSETS 463,570 431,837 165,391 165,074",15405,0,87,"Current tax expense based on profit for the   financial year 15,405 10,041 - -",RM'000,
MDA_0012_3A_2022,0012,3A,2022,0012_3A_2022_AnnualReport_part1_official.txt,BDO,BDO,0,audit_window_p69,509048,70,"TOTAL ASSETS 509,048 463,570 164,617 165,391",8636,0,95," Current tax expense based on profit for the financial year 8,636 15,405 - -",RM'000,
MDA_0012_3A_2023,0012,3A,2023,0012_3A_2023_AnnualReport_part1_official.txt,BDO,BDO,0,audit_window_p92,505664,93,"TOTAL ASSETS 505,664 509,048 164,926 164,617",13460,0,118,"Current tax   Current tax expense based on profit for the financial year 13,460 8,636 (23) -",RM'000,
MDA_0012_3A_2024,0012,3A,2024,0012_3A_2024_AnnualReport_part1_official.txt,BDO,BDO,0,audit_window_p100,535261,101,"TOTAL ASSETS 535,261 505,664 167,442 164,926",14724,0,126,"Current tax Current tax expense based on profit for the financial year 14,724 13,460 4 (23)",RM'000,
MDA_0212_SDS_2020,0212,SDS,2020,0212_SDS_2020_AnnualReport_part1_official.txt,Crowe,Crowe,0,audit_window_p62,146204,63,"TOTAL ASSETS 146,204 124,306 51,427 30",4074,0,66,"Balance at 1.4.2019 (restated) 2,750 - 454 34,774 37,978 512 38,490 Profit after tax for the financial year - - - 4,074 4,074 138 4,212",RM'000,
MDA_0212_SDS_2021,0212,SDS,2021,0212_SDS_2021_AnnualReport_part1_official.txt,Crowe,Crowe,0,audit_window_p54,139019,55,"TOTAL ASSETS 			 139,019 146,204 52,991 51,427",4074,0,59,"Balance at 1.4.2019 (restated) 				 2,750 - 454 34,774 37,978 512 38,490 Profit after tax for the financial year 				 - - - 4,074 4,074 138 4,212",RM'000,
MDA_0212_SDS_2022,0212,SDS,2022,0212_SDS_2022_AnnualReport_part1_official.txt|0212_SDS_2022_AnnualReport_part2_official.txt,Crowe,Crowe,0,audit_window_p66,143090,67,"TOTAL ASSETS 143,090 139,019 55,649 52,991",10615,0,69,"Total comprehensive income for the financial year 10,615 7,121 3,532 1,547",RM'000,
MDA_0212_SDS_2023,0212,SDS,2023,0212_SDS_2023_AnnualReport_part1_official.txt,Crowe,Crowe,0,audit_window_p75,161873,76,"TOTAL ASSETS 161,873 143,090 54,438 55,649",24982,0,78,"Total comprehensive income for the financial year 24,982 10,615 1,710 3,532",RM'000,
MDA_0212_SDS_2024,0212,SDS,2024,0212_SDS_2024_AnnualReport_part1_official.txt,Crowe,Crowe,0,audit_window_p67,193421,83,"TOTAL ASSETS 193,421 161,873 54,893 54,438",33083,0,85,"Total comprehensive income for the financial year 33,083 24,982 8,893 1,710",RM'000,
