document_id,doc_type,company_name,ticker,source_name,publish_date,title,url,confidence_tier,relevance_status,review_reason,dimension_count,total_score_100,grade_label,N01,N02,N03,N04,N05,N01_std,N02_std,N03_std,N04_std,N05_std,flag_unverified_key_number,flag_excessive_promotional_tone,flag_nonstandard_audit,flag_disclosure_replacement,flag_retraction_or_correction_needed,adjudication_flag,needs_review,review_reasons,final_version,scorebook_version,model_name,llm_backend,temperature,seed,num_ctx,num_predict,think,stream,json_schema_mode,prompt_version,scoring_timestamp,relevance_confidence_tier,relevance_status_original,relevance_needs_manual_review,relevance_review_reason,model_confidence_tier,strict_company_focus_flag,suspect_not_company_focused,company_focus_reason,final_dataset_version,final_include_flag,low_confidence_flag,source_input_path,source_ratings_long_path,freeze_timestamp
NEWS_AJI_2025_10_31_7b3ecf05e3,news,Ajinomoto,AJI,The Star,2025-10-31,Trapper Group continues to lead,https://www.thestar.com.my/news/nation/2025/10/31/trapper-group-continues-to-lead,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,weak_company_specific_context,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_AJI_2025_08_08_884ebf5716,news,Ajinomoto,AJI,The Star,2025-08-08,KLCI edges higher at midday on selective buying in heavyweights,https://www.thestar.com.my/business/business-news/2025/08/08/klci-edges-higher-at-midday-on-selective-buying-in-heavyweights,,,,5,88.75,A,5,5,4,4,4,100.0,100.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,sponsor_list_or_csr_only,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_AJI_2024_05_08_a162563c71,news,Ajinomoto,AJI,The Star,2024-05-08,"KLCI dips on profit taking, stays firmly above 1,600 level",https://www.thestar.com.my/business/business-news/2024/05/08/klci-dips-on-profit-taking-stays-firmly-above-1600-level,,,,5,93.75,A,5,5,4,5,4,100.0,100.0,75.0,100.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,stock_market_roundup_list_only,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_AJI_2024_05_02_3f6eeb6732,news,Ajinomoto,AJI,The Star,2024-05-02,Ajinomoto declares special dividend of RM2.12 from land sale,https://www.thestar.com.my/business/business-news/2024/05/02/ajinomoto-declares-special-dividend-of-rm212-from-land-sale,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_APOLLO_2025_12_17_7a9557bbbc,news,Apollo,APOLLO,The Star,2025-12-17,Apollo Food quarterly revenue at RM75mil,https://www.thestar.com.my/business/business-news/2025/12/17/apollo-food-quarterly-revenue-at-rm75mil,,,,5,96.25,A,5,5,4,5,5,100.0,100.0,75.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_APOLLO_2025_09_24_5f02449853,news,Apollo,APOLLO,The Star,2025-09-24,Apollo on track to strengthen distribution model,https://www.thestar.com.my/business/business-news/2025/09/24/apolloon-track-to-strengthen-distribution-model,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_APOLLO_2025_06_18_7483b10d6f,news,Apollo,APOLLO,The Star,2025-06-18,Apollo Food ends FY25 on a high note,https://www.thestar.com.my/business/business-news/2025/06/18/apollo-food-ends-fy25-on-a-high-note,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_APOLLO_2025_03_14_3941c02132,news,Apollo,APOLLO,The Star,2025-03-14,Apollo Food 3Q revenue up to RM76mil,https://www.thestar.com.my/business/business-news/2025/03/14/apollo-food-3q-revenue-up-to-rm76mil,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_APOLLO_2025_03_13_f3f6e8defa,news,Apollo,APOLLO,The Star,2025-03-13,Apollo Food stays cautious amid raw material price volatility,https://www.thestar.com.my/business/business-news/2025/03/13/apollo-food-stays-cautious-amid-raw-material-price-volatility,,,,5,96.25,A,5,5,4,5,5,100.0,100.0,75.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_APOLLO_2024_12_05_af7f8e3a9d,news,Apollo,APOLLO,The Star,2024-12-05,Apollo Food to mitigate rising cost,https://www.thestar.com.my/business/business-news/2024/12/05/apollo-food-to-mitigate-rising-cost,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
