rating_id,document_id,doc_type,scoring_basis,purpose_track,review_round,reviewer_id,dimension_code,dimension_name,raw_score,scale_min,scale_max,weight_value,std_score_100,weighted_score,evidence_locator,evidence_text_short,confidence_level,comment_short,missing_type,started_at,finished_at,scorebook_version,model_name,llm_backend,temperature,seed,num_ctx,num_predict,think,stream,json_schema_mode,prompt_version,scoring_timestamp,raw_output_path,numeric_check_path,parse_status,schema_validation_status
MDA_0012_3A_2020_AR01,MDA_0012_3A_2020,mda,mda_disclosure_quality,mda_general_quality,initial,local_qwen3_8b,AR01,MD&A content completeness,2,1,5,0.15,25.0,3.75,[MDA_P001],"[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS OUR PRODUCT PORTFOLIO • Liquid Caramel, Caramel Colour • Vinegar • Glucose Syrup, High Maltose Syrup • Soya Protein Sauce (“HVP”) • Hydrolysed Vegetable Protein (“HVP”) Powder • Maltodextrin The",medium,"Lacks discussion on margins, segments, and financial performance details",none,2026-06-20T08:56:55+00:00,2026-06-20T08:57:33+00:00,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,2026-06-20T08:57:33+00:00,06_scoring/05_raw_model_outputs/mda_final_full/MDA_0012_3A_2020_AR01_attempt_1.json,06_scoring/03_numeric_checks/mda_v2/MDA_0012_3A_2020_numeric_checks.json,parsed,valid
MDA_0012_3A_2020_AR02,MDA_0012_3A_2020,mda,mda_disclosure_quality,mda_general_quality,initial,local_qwen3_8b,AR02,MD&A internal numeric consistency and traceability,3,1,5,0.25,50.0,12.5,[MDA_P003],[MDA_P003] MANAGEMENT DISCUSSION AND ANALYSIS (CONTINUED) investments on production facilities to improve capacity and efficiency. These business plans were carried out after the Group had carefully conducted comprehensive evaluation and pl,medium,"Python numeric_checker: numeric_check_summary indicates not enough numbers, but financial figures are provided without consistency checks",none,2026-06-20T08:56:55+00:00,2026-06-20T08:57:33+00:00,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,2026-06-20T08:57:33+00:00,06_scoring/05_raw_model_outputs/mda_final_full/MDA_0012_3A_2020_AR02_attempt_1.json,06_scoring/03_numeric_checks/mda_v2/MDA_0012_3A_2020_numeric_checks.json,parsed,valid
MDA_0012_3A_2020_AR03,MDA_0012_3A_2020,mda,mda_disclosure_quality,mda_general_quality,initial,local_qwen3_8b,AR03,Operating analysis specificity,2,1,5,0.3,25.0,7.5,[MDA_P003],[MDA_P003] MANAGEMENT DISCUSSION AND ANALYSIS (CONTINUED) investments on production facilities to improve capacity and efficiency. These business plans were carried out after the Group had carefully conducted comprehensive evaluation and pl,medium,Lacks detailed operating analysis specificity with only general revenue and profit figures without deeper operational insights.,none,2026-06-20T08:56:55+00:00,2026-06-20T08:57:33+00:00,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,2026-06-20T08:57:33+00:00,06_scoring/05_raw_model_outputs/mda_final_full/MDA_0012_3A_2020_AR03_attempt_1.json,06_scoring/03_numeric_checks/mda_v2/MDA_0012_3A_2020_numeric_checks.json,parsed,valid
MDA_0012_3A_2020_AR04,MDA_0012_3A_2020,mda,mda_disclosure_quality,mda_general_quality,initial,local_qwen3_8b,AR04,MD&A internal risk and forward-looking disclosure,2,1,5,0.2,25.0,5.0,[MDA_P001],"[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS OUR PRODUCT PORTFOLIO • Liquid Caramel, Caramel Colour • Vinegar • Glucose Syrup, High Maltose Syrup • Soya Protein Sauce (“HVP”) • Hydrolysed Vegetable Protein (“HVP”) Powder • Maltodextrin The",medium,Lacks risk and forward-looking disclosures required for AR04,none,2026-06-20T08:56:55+00:00,2026-06-20T08:57:33+00:00,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,2026-06-20T08:57:33+00:00,06_scoring/05_raw_model_outputs/mda_final_full/MDA_0012_3A_2020_AR04_attempt_1.json,06_scoring/03_numeric_checks/mda_v2/MDA_0012_3A_2020_numeric_checks.json,parsed,valid
MDA_0012_3A_2020_AR05,MDA_0012_3A_2020,mda,mda_disclosure_quality,mda_general_quality,initial,local_qwen3_8b,AR05,MD&A readability and structural clarity,2,1,5,0.1,25.0,2.5,[MDA_P001],"[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS OUR PRODUCT PORTFOLIO • Liquid Caramel, Caramel Colour • Vinegar • Glucose Syrup, High Maltose Syrup • Soya Protein Sauce (“HVP”) • Hydrolysed Vegetable Protein (“HVP”) Powder • Maltodextrin The",medium,Lacks clear structure and readability with minimal section headings and poor paragraph organization.,none,2026-06-20T08:56:55+00:00,2026-06-20T08:57:33+00:00,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,2026-06-20T08:57:33+00:00,06_scoring/05_raw_model_outputs/mda_final_full/MDA_0012_3A_2020_AR05_attempt_1.json,06_scoring/03_numeric_checks/mda_v2/MDA_0012_3A_2020_numeric_checks.json,parsed,valid
MDA_0012_3A_2021_AR01,MDA_0012_3A_2021,mda,mda_disclosure_quality,mda_general_quality,initial,local_qwen3_8b,AR01,MD&A content completeness,4,1,5,0.15,75.0,11.25,[MDA_P001],"[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS REVENUE 10% Malaysia Singapore Other countries Revenue by Geographical Locations for FY2021 BUSINESS OVERVIEW The year 2021 was truly another extraordinary year. For one, the COVID-19 pandemic h",medium,"Discusses revenue, profit, and business strategies but lacks margin and segment analysis.",none,2026-06-20T08:57:33+00:00,2026-06-20T08:58:06+00:00,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,2026-06-20T08:58:06+00:00,06_scoring/05_raw_model_outputs/mda_final_full/MDA_0012_3A_2021_AR01_attempt_1.json,06_scoring/03_numeric_checks/mda_v2/MDA_0012_3A_2021_numeric_checks.json,parsed,valid
MDA_0012_3A_2021_AR02,MDA_0012_3A_2021,mda,mda_disclosure_quality,mda_general_quality,initial,local_qwen3_8b,AR02,MD&A internal numeric consistency and traceability,4,1,5,0.25,75.0,18.75,[MDA_P002],"[MDA_P002] However, hopes are high as our country was ramping up the vaccination drive together with booster shots for all adults as well as certain groups of children now. But the emergence of new variants had dashed hope to achieving herd",medium,Python numeric_checker: Revenue and profit figures are clearly stated and consistent with numeric_check_summary.,none,2026-06-20T08:57:33+00:00,2026-06-20T08:58:06+00:00,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,2026-06-20T08:58:06+00:00,06_scoring/05_raw_model_outputs/mda_final_full/MDA_0012_3A_2021_AR02_attempt_1.json,06_scoring/03_numeric_checks/mda_v2/MDA_0012_3A_2021_numeric_checks.json,parsed,valid
MDA_0012_3A_2021_AR03,MDA_0012_3A_2021,mda,mda_disclosure_quality,mda_general_quality,initial,local_qwen3_8b,AR03,Operating analysis specificity,4,1,5,0.3,75.0,22.5,[MDA_P001],"[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS REVENUE 10% Malaysia Singapore Other countries Revenue by Geographical Locations for FY2021 BUSINESS OVERVIEW The year 2021 was truly another extraordinary year. For one, the COVID-19 pandemic h",medium,"Discusses revenue growth and factors contributing to it, showing operating analysis specificity.",none,2026-06-20T08:57:33+00:00,2026-06-20T08:58:06+00:00,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,2026-06-20T08:58:06+00:00,06_scoring/05_raw_model_outputs/mda_final_full/MDA_0012_3A_2021_AR03_attempt_1.json,06_scoring/03_numeric_checks/mda_v2/MDA_0012_3A_2021_numeric_checks.json,parsed,valid
MDA_0012_3A_2021_AR04,MDA_0012_3A_2021,mda,mda_disclosure_quality,mda_general_quality,initial,local_qwen3_8b,AR04,MD&A internal risk and forward-looking disclosure,4,1,5,0.2,75.0,15.0,[MDA_P005],[MDA_P005] The Group intends to continue investing in research and development projects to increase the range and appeal of our products. The increase of revenue from our export sales to overseas markets demonstrated the wide acceptance of,medium,Discusses risks and future outlook with specific mention of pandemic and market volatility.,none,2026-06-20T08:57:33+00:00,2026-06-20T08:58:06+00:00,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,2026-06-20T08:58:06+00:00,06_scoring/05_raw_model_outputs/mda_final_full/MDA_0012_3A_2021_AR04_attempt_1.json,06_scoring/03_numeric_checks/mda_v2/MDA_0012_3A_2021_numeric_checks.json,parsed,valid
MDA_0012_3A_2021_AR05,MDA_0012_3A_2021,mda,mda_disclosure_quality,mda_general_quality,initial,local_qwen3_8b,AR05,MD&A readability and structural clarity,4,1,5,0.1,75.0,7.5,[MDA_P001],"[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS REVENUE 10% Malaysia Singapore Other countries Revenue by Geographical Locations for FY2021 BUSINESS OVERVIEW The year 2021 was truly another extraordinary year. For one, the COVID-19 pandemic h",medium,Clear structure and logical flow in discussing revenue and business performance.,none,2026-06-20T08:57:33+00:00,2026-06-20T08:58:06+00:00,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,2026-06-20T08:58:06+00:00,06_scoring/05_raw_model_outputs/mda_final_full/MDA_0012_3A_2021_AR05_attempt_1.json,06_scoring/03_numeric_checks/mda_v2/MDA_0012_3A_2021_numeric_checks.json,parsed,valid
