ticker,stock_code,company_name,alias,alias_type,match_strength
3A,0012,Three-A Resources Berhad,Three-A Resources Berhad,legal_name,strong
3A,0012,Three-A Resources Berhad,Three-A Resources,short_name,medium
3A,0012,Three-A Resources Berhad,3A,ticker,weak
3A,0012,Three-A Resources Berhad,0012,stock_code,weak
ABLEGLOB,7167,JOHOTIN,JOHOTIN,legal_name,strong
ABLEGLOB,7167,JOHOTIN,ABLEGLOB,ticker,weak
ABLEGLOB,7167,JOHOTIN,7167,stock_code,weak
AJI,2658,Ajinomoto,Ajinomoto,legal_name,strong
AJI,2658,Ajinomoto,AJI,ticker,weak
AJI,2658,Ajinomoto,2658,stock_code,weak
AJI,2658,Ajinomoto,Ajinomoto Malaysia Berhad,legal_name,strong
AJI,2658,Ajinomoto,Ajinomoto Malaysia,brand_name,strong
APOLLO,6432,Apollo Food Holdings Berhad,Apollo Food Holdings Berhad,legal_name,strong
APOLLO,6432,Apollo Food Holdings Berhad,Apollo Food,short_name,medium
APOLLO,6432,Apollo Food Holdings Berhad,APOLLO,ticker,weak
APOLLO,6432,Apollo Food Holdings Berhad,6432,stock_code,weak
CAB,,CAB Cakaran Corporation Berhad,CAB Cakaran Corporation Berhad,legal_name,strong
CAB,,CAB Cakaran Corporation Berhad,CAB Cakaran,short_name,medium
CAB,,CAB Cakaran Corporation Berhad,CAB,ticker,weak
CARLSBG,2836,Carlsberg Brewery Malaysia Berhad,Carlsberg Brewery Malaysia Berhad,legal_name,strong
CARLSBG,2836,Carlsberg Brewery Malaysia Berhad,Carlsberg Brewery,short_name,medium
CARLSBG,2836,Carlsberg Brewery Malaysia Berhad,CARLSBG,ticker,weak
CARLSBG,2836,Carlsberg Brewery Malaysia Berhad,2836,stock_code,weak
CARLSBG,2836,Carlsberg Brewery Malaysia Berhad,Carlsberg Malaysia,brand_name,strong
CARLSBG,2836,Carlsberg Brewery Malaysia Berhad,Carlsberg,brand_name,strong
CCK,7035,CCK,CCK,ticker,weak
CCK,7035,CCK,7035,stock_code,weak
CIHLDG,2828,CIHB,CIHLDG,ticker,weak
CIHLDG,2828,CIHB,2828,stock_code,weak
CNOUHUA,5188,China Ouhua Winery Holdings Limited,China Ouhua Winery Holdings Limited,legal_name,strong
CNOUHUA,5188,China Ouhua Winery Holdings Limited,China Ouhua Winery Limited,short_name,medium
CNOUHUA,5188,China Ouhua Winery Holdings Limited,CNOUHUA,ticker,weak
CNOUHUA,5188,China Ouhua Winery Holdings Limited,5188,stock_code,weak
COCOLND,,Cocoaland Holdings Berhad,Cocoaland Holdings Berhad,legal_name,strong
COCOLND,,Cocoaland Holdings Berhad,Cocoaland,short_name,medium
COCOLND,,Cocoaland Holdings Berhad,COCOLND,ticker,weak
DLADY,3026,Dutch Lady Milk Industries Berhad,Dutch Lady Milk Industries Berhad,legal_name,strong
DLADY,3026,Dutch Lady Milk Industries Berhad,Dutch Lady Milk,short_name,medium
DLADY,3026,Dutch Lady Milk Industries Berhad,DLADY,ticker,weak
DLADY,3026,Dutch Lady Milk Industries Berhad,3026,stock_code,weak
DLADY,3026,Dutch Lady Milk Industries Berhad,Dutch Lady,brand_name,strong
DLADY,3026,Dutch Lady Milk Industries Berhad,DLMI,short_name,medium
ETA,9946,Annual Report 2020,ETA,ticker,weak
ETA,9946,Annual Report 2020,9946,stock_code,weak
FFB,5306,FarmFresh,FarmFresh,legal_name,strong
FFB,5306,FarmFresh,FFB,ticker,weak
FFB,5306,FarmFresh,5306,stock_code,weak
FFB,5306,FarmFresh,Farm Fresh Berhad,legal_name,strong
FFB,5306,FarmFresh,Farm Fresh,brand_name,strong
FN,3689,Fraser & Neave Holdings Bhd,Fraser & Neave Holdings Bhd,legal_name,strong
FN,3689,Fraser & Neave Holdings Bhd,Fraser & Neave,short_name,medium
FN,3689,Fraser & Neave Holdings Bhd,FN,ticker,weak
FN,3689,Fraser & Neave Holdings Bhd,3689,stock_code,weak
FN,3689,Fraser & Neave Holdings Bhd,F&NHB,short_name,medium
