document_id,ticker,company_name,title,source_name,publish_date,url,relevance_status,confidence_tier,main_model_include_flag,company_focus_status,suspect_not_company_focused,company_focus_reason,strict_main_sample_include,title_focus_alias_hits,lead_focus_alias_hits,filter_mode,filter_version
NEWS_AJI_2025_10_31_7b3ecf05e3,AJI,Ajinomoto,Trapper Group continues to lead,The Star,2025-10-31,https://www.thestar.com.my/news/nation/2025/10/31/trapper-group-continues-to-lead,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_AJI_2025_08_08_884ebf5716,AJI,Ajinomoto,KLCI edges higher at midday on selective buying in heavyweights,The Star,2025-08-08,https://www.thestar.com.my/business/business-news/2025/08/08/klci-edges-higher-at-midday-on-selective-buying-in-heavyweights,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,,,manual_preserve,manual_preserve_v1
NEWS_AJI_2024_05_08_a162563c71,AJI,Ajinomoto,"KLCI dips on profit taking, stays firmly above 1,600 level",The Star,2024-05-08,https://www.thestar.com.my/business/business-news/2024/05/08/klci-dips-on-profit-taking-stays-firmly-above-1600-level,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,stock_market_roundup_list_only,No,,Ajinomoto,manual_preserve,manual_preserve_v1
NEWS_AJI_2024_05_02_3f6eeb6732,AJI,Ajinomoto,Ajinomoto declares special dividend of RM2.12 from land sale,The Star,2024-05-02,https://www.thestar.com.my/business/business-news/2024/05/02/ajinomoto-declares-special-dividend-of-rm212-from-land-sale,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Ajinomoto,Ajinomoto,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2025_12_17_7a9557bbbc,APOLLO,Apollo,Apollo Food quarterly revenue at RM75mil,The Star,2025-12-17,https://www.thestar.com.my/business/business-news/2025/12/17/apollo-food-quarterly-revenue-at-rm75mil,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Apollo Food,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2025_09_24_5f02449853,APOLLO,Apollo,Apollo on track to strengthen distribution model,The Star,2025-09-24,https://www.thestar.com.my/business/business-news/2025/09/24/apolloon-track-to-strengthen-distribution-model,high_confidence_company_news,high,Yes,company_focused,No,lead_alias_with_company_operating_context,Yes,,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2025_06_18_7483b10d6f,APOLLO,Apollo,Apollo Food ends FY25 on a high note,The Star,2025-06-18,https://www.thestar.com.my/business/business-news/2025/06/18/apollo-food-ends-fy25-on-a-high-note,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Apollo Food,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2025_03_14_3941c02132,APOLLO,Apollo,Apollo Food 3Q revenue up to RM76mil,The Star,2025-03-14,https://www.thestar.com.my/business/business-news/2025/03/14/apollo-food-3q-revenue-up-to-rm76mil,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Apollo Food,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2025_03_13_f3f6e8defa,APOLLO,Apollo,Apollo Food stays cautious amid raw material price volatility,The Star,2025-03-13,https://www.thestar.com.my/business/business-news/2025/03/13/apollo-food-stays-cautious-amid-raw-material-price-volatility,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Apollo Food,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2024_12_05_af7f8e3a9d,APOLLO,Apollo,Apollo Food to mitigate rising cost,The Star,2024-12-05,https://www.thestar.com.my/business/business-news/2024/12/05/apollo-food-to-mitigate-rising-cost,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Apollo Food,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2024_12_04_40774629ea,APOLLO,Apollo,Apollo Food registers higher net profit of RM10.62mil in 2Q,The Star,2024-12-04,https://www.thestar.com.my/business/business-news/2024/12/04/apollo-food-registers-higher-net-profit-of-rm1062mil-in-2q,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Apollo Food,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2024_06_13_6fae37e79e,APOLLO,Apollo,Apollo’s net profit jumps 70% to RM53.8mil in FY24,The Star,2024-06-13,https://www.thestar.com.my/business/business-news/2024/06/13/apollos-net-profit-jumps-70-to-rm538mil-in-fy24,high_confidence_company_news,high,Yes,company_focused,No,lead_alias_with_company_operating_context,Yes,,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2024_03_20_80c1e51215,APOLLO,Apollo,Apollo Food to address shareholding spread,The Star,2024-03-20,https://www.thestar.com.my/business/business-news/2024/03/20/apollo-food-to-address-shareholding-spread,low_confidence_company_news,low,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Apollo Food,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2024_03_20_135b27aed9,APOLLO,Apollo,Investors take cautious approach as US rate decision looms,The Star,2024-03-20,https://www.thestar.com.my/business/business-news/2024/03/20/investors-take-cautious-approach-as-us-rate-decision-looms,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,stock_market_roundup_list_only,No,,,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2024_03_19_ac1666c08d,APOLLO,Apollo,"Profit-taking in the market, KLCI down 8.68 points",The Star,2024-03-19,https://www.thestar.com.my/business/business-news/2024/03/19/profit-taking-in-the-market-klci-down-868-points,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,stock_market_roundup_list_only,No,,Apollo Food,manual_preserve,manual_preserve_v1
