document_id,doc_type,ticker,company_name,publish_date,source_name,title,url,article_text_hash,text_length,synthetic_flag,include_flag,relevance_status,confidence_tier,needs_manual_review,review_reason,shared_article_flag,multi_company_article_flag,original_file,original_file_hash,raw_row_key,text_path,notes
NEWS_AJI_2025_10_31_7b3ecf05e3,news,AJI,Ajinomoto,2025-10-31,The Star,Trapper Group continues to lead,https://www.thestar.com.my/news/nation/2025/10/31/trapper-group-continues-to-lead,7b5ef3393091e8b6a1c22e9ba4204e5a6b239c458d239db9aab337b035d9b6a5,4083,false,Yes,low_confidence_company_news,low,Yes,weak_company_specific_context,1,0,New_news/AJI/AJI_news.csv,1c7ae39f5f5b99fb2c5422b287ac63f2aac5f84db8d4acf10712771a137a2da9,"New_news_AJI_AJI_news_csv:{""row_number"": 206}:562eeb781a64",02_extracted_text/news_clean/NEWS_AJI_2025_10_31_7b3ecf05e3.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_AJI_2025_08_08_884ebf5716,news,AJI,Ajinomoto,2025-08-08,The Star,KLCI edges higher at midday on selective buying in heavyweights,https://www.thestar.com.my/business/business-news/2025/08/08/klci-edges-higher-at-midday-on-selective-buying-in-heavyweights,a1760cdfdf4e5ca2bbfa2535229d4a3824a79048deb412169cef6e1780640a38,2323,false,Yes,low_confidence_company_news,low,Yes,sponsor_list_or_csr_only,1,1,New_news/AJI/AJI_news.csv,1c7ae39f5f5b99fb2c5422b287ac63f2aac5f84db8d4acf10712771a137a2da9,"New_news_AJI_AJI_news_csv:{""row_number"": 467}:4a1abccaa21c",02_extracted_text/news_clean/NEWS_AJI_2025_08_08_884ebf5716.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_AJI_2024_05_08_a162563c71,news,AJI,Ajinomoto,2024-05-08,The Star,"KLCI dips on profit taking, stays firmly above 1,600 level",https://www.thestar.com.my/business/business-news/2024/05/08/klci-dips-on-profit-taking-stays-firmly-above-1600-level,3907473eb08be6dcb9b01e231a60fb17dd85c14ab60fc7e6918d2bc317b37ae5,1670,false,Yes,low_confidence_company_news,low,Yes,stock_market_roundup_list_only,1,1,New_news/AJI/AJI_news.csv,1c7ae39f5f5b99fb2c5422b287ac63f2aac5f84db8d4acf10712771a137a2da9,"New_news_AJI_AJI_news_csv:{""row_number"": 1829}:b4eeff8f4e63",02_extracted_text/news_clean/NEWS_AJI_2024_05_08_a162563c71.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_AJI_2024_05_02_3f6eeb6732,news,AJI,Ajinomoto,2024-05-02,The Star,Ajinomoto declares special dividend of RM2.12 from land sale,https://www.thestar.com.my/business/business-news/2024/05/02/ajinomoto-declares-special-dividend-of-rm212-from-land-sale,309084f4a6cdb170d5b388fae596245c2aae09a5eb6636315d9cb3ad8d974b65,829,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/AJI/AJI_news.csv,1c7ae39f5f5b99fb2c5422b287ac63f2aac5f84db8d4acf10712771a137a2da9,"New_news_AJI_AJI_news_csv:{""row_number"": 1859}:4d580ffb0a09",02_extracted_text/news_clean/NEWS_AJI_2024_05_02_3f6eeb6732.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_APOLLO_2025_12_17_7a9557bbbc,news,APOLLO,Apollo,2025-12-17,The Star,Apollo Food quarterly revenue at RM75mil,https://www.thestar.com.my/business/business-news/2025/12/17/apollo-food-quarterly-revenue-at-rm75mil,c519d4adeccf5c1dcbcc3276e8acf79de3bd21401564df2e61c2629219ae06b9,1590,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 9}:bbfe370f82b0",02_extracted_text/news_clean/NEWS_APOLLO_2025_12_17_7a9557bbbc.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_APOLLO_2025_09_24_5f02449853,news,APOLLO,Apollo,2025-09-24,The Star,Apollo on track to strengthen distribution model,https://www.thestar.com.my/business/business-news/2025/09/24/apolloon-track-to-strengthen-distribution-model,6618ec18eef41e512c49ba4e838f7e330c27b69ac82268484a711c09bd152050,987,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 35}:e2a63e6efe7e",02_extracted_text/news_clean/NEWS_APOLLO_2025_09_24_5f02449853.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_APOLLO_2025_06_18_7483b10d6f,news,APOLLO,Apollo,2025-06-18,The Star,Apollo Food ends FY25 on a high note,https://www.thestar.com.my/business/business-news/2025/06/18/apollo-food-ends-fy25-on-a-high-note,bc248fab2c84167163fc91976990feafc174b4c7c636857bf28a19afb60b6bff,817,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 59}:6d7f6453bf77",02_extracted_text/news_clean/NEWS_APOLLO_2025_06_18_7483b10d6f.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_APOLLO_2025_03_14_3941c02132,news,APOLLO,Apollo,2025-03-14,The Star,Apollo Food 3Q revenue up to RM76mil,https://www.thestar.com.my/business/business-news/2025/03/14/apollo-food-3q-revenue-up-to-rm76mil,ee8451045a9507e06ffe9b17dac487e831d7c28df34a508f5c618ce1e5e21522,700,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 83}:5bc1383ee9d8",02_extracted_text/news_clean/NEWS_APOLLO_2025_03_14_3941c02132.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_APOLLO_2025_03_13_f3f6e8defa,news,APOLLO,Apollo,2025-03-13,The Star,Apollo Food stays cautious amid raw material price volatility,https://www.thestar.com.my/business/business-news/2025/03/13/apollo-food-stays-cautious-amid-raw-material-price-volatility,0ee70aa31da22372ab58799a902861f8936e17be27d9ec4755d3b776042c8969,1446,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 84}:1031a4b0dc5a",02_extracted_text/news_clean/NEWS_APOLLO_2025_03_13_f3f6e8defa.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_APOLLO_2024_12_05_af7f8e3a9d,news,APOLLO,Apollo,2024-12-05,The Star,Apollo Food to mitigate rising cost,https://www.thestar.com.my/business/business-news/2024/12/05/apollo-food-to-mitigate-rising-cost,314787a270ec3282c711d38e962dc6383d490821aac1c129a27dfafe392b490d,801,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 117}:d05ea5fb39fb",02_extracted_text/news_clean/NEWS_APOLLO_2024_12_05_af7f8e3a9d.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
