document_id,doc_type,include_flag,stock_code,ticker,company_name,report_year,extraction_status,text_path,source_path,source_file_sha256,notes
MDA_0012_3A_2020,mda,Yes,0012,3A,Three-A Resources Berhad,2020,success,02_extracted_text/mda/MDA_0012_3A_2020.txt,01_raw_annual_reports/0012_3A_THREE_A_RESOURCES_BERHAD/2020/0012_3A_AR_2020.pdf,0012_3A_AR_2020.pdf:4e4e84e6cb5e89dd8ebcf7f00b07fd6588fd6d0bfe7c0987809f35bde0582b3b,detected_heading=MANAGEMENT DISCUSSION AND ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=10959
MDA_0012_3A_2021,mda,Yes,0012,3A,Three-A Resources Berhad,2021,success,02_extracted_text/mda/MDA_0012_3A_2021.txt,01_raw_annual_reports/0012_3A_THREE_A_RESOURCES_BERHAD/2021/0012_3A_AR_2021.pdf,0012_3A_AR_2021.pdf:59607846c2d1ff41f430c2b3b0af1128a70dc0cfa7109ce9f2fb3430987193e6,detected_heading=MANAGEMENT DISCUSSION AND ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=8767
MDA_0012_3A_2022,mda,Yes,0012,3A,Three-A Resources Berhad,2022,success,02_extracted_text/mda/MDA_0012_3A_2022.txt,01_raw_annual_reports/0012_3A_THREE_A_RESOURCES_BERHAD/2022/0012_3A_AR_2022.pdf,0012_3A_AR_2022.pdf:b7e485336cc1666e271ee0937f8f2168c80e67df45f881be4689f7f96b4716b8,detected_heading=MANAGEMENT DISCUSSION AND ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=16100
MDA_0012_3A_2023,mda,Yes,0012,3A,Three-A Resources Berhad,2023,success,02_extracted_text/mda/MDA_0012_3A_2023.txt,01_raw_annual_reports/0012_3A_THREE_A_RESOURCES_BERHAD/2023/0012_3A_AR_2023.pdf,0012_3A_AR_2023.pdf:4beb36152c1d67afc3e3435213fcb1747de62aaf82ff57fcce7014f0c4d1e09f,detected_heading=MANAGEMENT DISCUSSION AND ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=15476
MDA_0012_3A_2024,mda,Yes,0012,3A,Three-A Resources Berhad,2024,success,02_extracted_text/mda/MDA_0012_3A_2024.txt,01_raw_annual_reports/0012_3A_THREE_A_RESOURCES_BERHAD/2024/0012_3A_AR_2024.pdf,0012_3A_AR_2024.pdf:57bd9e243da88a11351c9a09a88bad8fe54b2865c302fa2cc1cffb79679e8289,detected_heading=MANAGEMENT DISCUSSION AND ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=8235
MDA_0212_SDS_2020,mda,Yes,0212,SDS,SDSG,2020,success,02_extracted_text/mda/MDA_0212_SDS_2020.txt,01_raw_annual_reports/0212_SDS_SDS_GROUP_BERHAD/2020/0212_SDS_AR_2020.pdf,0212_SDS_AR_2020.pdf:1c61d96274fec03dcd0d5656899a022f3196ad90ee67712e771ee40a0cfab194,detected_heading=management discussion and analysis; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=14763
MDA_0212_SDS_2021,mda,Yes,0212,SDS,SDSG,2021,success,02_extracted_text/mda/MDA_0212_SDS_2021.txt,01_raw_annual_reports/0212_SDS_SDS_GROUP_BERHAD/2021/0212_SDS_AR_2021.pdf,0212_SDS_AR_2021.pdf:3e74ab453e2517eb9315e652728ee58532397e8a542301e4990e42127027aea9,detected_heading=MANAGEMENT DISCUSSION AND ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=19430
MDA_0212_SDS_2022,mda,Yes,0212,SDS,SDSG,2022,success,02_extracted_text/mda/MDA_0212_SDS_2022.txt,01_raw_annual_reports/0212_SDS_SDS_GROUP_BERHAD/2022/0212_SDS_AR_2022_part1.pdf; 01_raw_annual_reports/0212_SDS_SDS_GROUP_BERHAD/2022/0212_SDS_AR_2022_part2.pdf,0212_SDS_AR_2022_part1.pdf:2d309565ea1ebfe276362cfe48afab10f56d4391cf9546ba093f0cfbe3f0538c; 0212_SDS_AR_2022_part2.pdf:e40cbf4badd954597a5af5919367e302bd06c6fe383cce800523e0a533847520,detected_heading=MANAGEMENT DISCUSSION AND ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=15213
MDA_0212_SDS_2023,mda,Yes,0212,SDS,SDSG,2023,success,02_extracted_text/mda/MDA_0212_SDS_2023.txt,01_raw_annual_reports/0212_SDS_SDS_GROUP_BERHAD/2023/0212_SDS_AR_2023.pdf,0212_SDS_AR_2023.pdf:2a564fb378d227a86fd26c14d9c2663f2642acdb2d9a7119fb5415c39317b901,detected_heading=Management Discussion and Analysis; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=18956
MDA_0212_SDS_2024,mda,Yes,0212,SDS,SDSG,2024,success,02_extracted_text/mda/MDA_0212_SDS_2024.txt,01_raw_annual_reports/0212_SDS_SDS_GROUP_BERHAD/2024/0212_SDS_AR_2024.pdf,0212_SDS_AR_2024.pdf:2490b516654e4b065674512967af176c0d7bbc8745391887729f6b24d401cfc2,detected_heading=Management Discussion and Analysis; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=18696
