document_id,ticker,company_name,title,source_name,publish_date,url,text_length,alias_hits,strong_alias_hits,medium_alias_hits,weak_alias_hits,relevance_status,relevance_reason,include_flag,exclude_reason,confidence_tier,main_model_include_flag,broad_include_flag,strict_company_focus_flag,high_confidence_include_flag,needs_manual_review,review_reason,shared_article_flag,multi_company_article_flag,raw_article_hash,raw_row_key,filter_mode,filter_version,original_file,original_file_hash
NEWS_CANDIDATE_000634_951263d8,AJI,Ajinomoto,Trapper Group continues to lead,The Star,2025-10-31,https://www.thestar.com.my/news/nation/2025/10/31/trapper-group-continues-to-lead,4083,Ajinomoto,Ajinomoto,,,low_confidence_company_news,"Target-company alias appears, but company-specific relevance is weak.",Manual,,low,No,Yes,No,No,Yes,weak_company_specific_context,1,0,0e5edf3e6b88c000d4efcff981968ca81c1185c23dcd65a45472c4497ff367f8,"New_news_AJI_AJI_news_csv:{""row_number"": 206}:562eeb781a64",manual_preserve,manual_preserve_v1,New_news/AJI/AJI_news.csv,1c7ae39f5f5b99fb2c5422b287ac63f2aac5f84db8d4acf10712771a137a2da9
NEWS_CANDIDATE_000710_e260168f,AJI,Ajinomoto,Soccer-Casemiro embraces leadership role as Brazil captain under Ancelotti,The Star,2025-10-09,https://www.thestar.com.my/sport/football/2025/10/09/soccer-casemiro-embraces-leadership-role-as-brazil-captain-under-ancelotti,1626,Ajinomoto,Ajinomoto,,,no_target_alias_industry_news,Target words refer to a venue/event name rather than the listed company.,Manual,not_company_news,none,No,No,No,No,Yes,venue_not_company_news,0,0,f38d6eff31d07a138733a83033e2d1cb17fd6e984dfe83b5d2b8514a66768e6b,"New_news_AJI_AJI_news_csv:{""row_number"": 282}:24e69e33f053",manual_preserve,manual_preserve_v1,New_news/AJI/AJI_news.csv,1c7ae39f5f5b99fb2c5422b287ac63f2aac5f84db8d4acf10712771a137a2da9
NEWS_CANDIDATE_000711_4c42089a,AJI,Ajinomoto,Soccer-Brazil's Ancelotti credits team spirit as key to World Cup ambitions,The Star,2025-10-09,https://www.thestar.com.my/sport/football/2025/10/09/soccer-brazil039s-ancelotti-credits-team-spirit-as-key-to-world-cup-ambitions,2233,Ajinomoto,Ajinomoto,,,no_target_alias_industry_news,Target words refer to a venue/event name rather than the listed company.,Manual,not_company_news,none,No,No,No,No,Yes,venue_not_company_news,0,0,e6d9502f7c633fc5b2b689b0f0d4b88db1ba02c690690e7b11d42f724d88eb9a,"New_news_AJI_AJI_news_csv:{""row_number"": 283}:c15b556a1e52",manual_preserve,manual_preserve_v1,New_news/AJI/AJI_news.csv,1c7ae39f5f5b99fb2c5422b287ac63f2aac5f84db8d4acf10712771a137a2da9
NEWS_CANDIDATE_002644_a3cfb855,APOLLO,Apollo,Apollo to become majority shareholder in Atletico Madrid,The Star,2025-11-10,https://www.thestar.com.my/sport/others/2025/11/10/apollo-to-become-majority-shareholder-in-atletico-madrid,1638,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,1,0,493e77f0d8149fff5f9e8db620965141218b5d0bf09b9ab0aea753e12b9e1e10,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 16}:4143b6f53f5e",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002664_aacfcf76,APOLLO,Apollo,"Atletico de Madrid owners in advanced talks to sell majority stake to Apollo, sources say",The Star,2025-09-19,https://www.thestar.com.my/sport/others/2025/09/19/atletico-de-madrid-owners-in-advanced-talks-to-sell-majority-stake-to-apollo-sources-say,2419,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,0,0,f26b82336e3ff24c7dab89fbe1faf53e984f7d16ed7dbe8b15a35e4d47fa55c7,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 36}:21ee4941982b",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002676_2e17a137,APOLLO,Apollo,"Soccer-US fund Apollo in talks to invest in Atletico Madrid, sources say",The Star,2025-07-16,https://www.thestar.com.my/sport/football/2025/07/16/soccer-apollo-in-talks-to-take-stake-in-atletico-madrid-report-says,1560,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,0,0,d98b5ed40cfc4e115c5c0783b664fcf6b461818504d3ee5c52d3bbb4f94a1d94,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 48}:8a3f19cde171",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002698_1126eba0,APOLLO,Apollo,Baidu's Apollo teams with Car Inc to launch autonomous driving rental service,The Star,2025-05-08,https://www.thestar.com.my/tech/tech-news/2025/05/08/baidu039s-apollo-teams-with-car-inc-to-launch-autonomous-driving-rental-service,455,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,0,0,c1d1288df85af6be370aa8c8c6ab12532020998c26e701aa7e937247d44d1add,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 70}:409022922b45",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002699_64153781,APOLLO,Apollo,"Apollo, Carlyle acquire first loan-linked private debt",The Star,2025-05-02,https://www.thestar.com.my/business/business-news/2025/05/02/apollo-carlyle-acquire-first-loan-linked-private-debt,2478,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,0,0,8f2f2cbb4d5ee1da9b6c0c9133dde20164db1569f1ba0e6abbc72200f033bd0f,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 71}:07ab7b0cd1c4",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002713_0ac9beb6,APOLLO,Apollo,India's Apollo Hospitals bets on AI to tackle staff workload,The Star,2025-03-13,https://www.thestar.com.my/tech/tech-news/2025/03/13/india039s-apollo-hospitals-bets-on-ai-to-tackle-staff-workload,2393,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,1,0,36abc93e8dce8c992cda7199deca722ab5f29e85a9e584bc74d7466ac63ef144,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 85}:12130ebcae2e",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002719_0fe8f79e,APOLLO,Apollo,"Meta in talks to raise $35 billion for data center financing led by Apollo, Bloomberg News reports",The Star,2025-02-28,https://www.thestar.com.my/tech/tech-news/2025/02/28/meta-in-talks-to-raise-35-billion-for-data-center-financing-led-by-apollo-bloomberg-news-reports,1465,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,1,0,fd4eee14895b628ac8e02819deca85c7c9cf91038d17655913aa4e9a3b0b074c,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 91}:70ca6b7f94ea",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
