document_id,doc_type,scoring_basis,stock_code,ticker,company_name,report_year,dimension_count,total_score_100,grade_label,AR01,AR02,AR03,AR04,AR05,AR01_std,AR02_std,AR03_std,AR04_std,AR05_std,flag_unverified_key_number,flag_excessive_promotional_tone,flag_nonstandard_audit,flag_disclosure_replacement,flag_retraction_or_correction_needed,adjudication_flag,needs_review,review_reasons,final_version,scorebook_version,model_name,llm_backend,temperature,seed,num_ctx,num_predict,think,stream,json_schema_mode,prompt_version,scoring_timestamp
MDA_0012_3A_2020,mda,mda_disclosure_quality,0012,3A,Three-A Resources Berhad,2020,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_0012_3A_2021,mda,mda_disclosure_quality,0012,3A,Three-A Resources Berhad,2021,5,75.0,B,4,4,4,4,4,75.0,75.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_0012_3A_2022,mda,mda_disclosure_quality,0012,3A,Three-A Resources Berhad,2022,5,48.75,D,4,3,2,4,2,75.0,50.0,25.0,75.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_0012_3A_2023,mda,mda_disclosure_quality,0012,3A,Three-A Resources Berhad,2023,5,68.75,C,4,3,4,4,4,75.0,50.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_0012_3A_2024,mda,mda_disclosure_quality,0012,3A,Three-A Resources Berhad,2024,5,53.75,D,4,3,2,4,4,75.0,50.0,25.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_0212_SDS_2020,mda,mda_disclosure_quality,0212,SDS,SDSG,2020,5,32.5,D,4,2,2,2,2,75.0,25.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_0212_SDS_2021,mda,mda_disclosure_quality,0212,SDS,SDSG,2021,5,73.75,B,4,3,4,5,4,75.0,50.0,75.0,100.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_0212_SDS_2022,mda,mda_disclosure_quality,0212,SDS,SDSG,2022,5,37.5,D,4,2,2,2,4,75.0,25.0,25.0,25.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_0212_SDS_2023,mda,mda_disclosure_quality,0212,SDS,SDSG,2023,5,61.25,C,5,2,4,4,2,100.0,25.0,75.0,75.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_0212_SDS_2024,mda,mda_disclosure_quality,0212,SDS,SDSG,2024,5,70.0,B,4,2,5,4,4,75.0,25.0,100.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
