document_id,ticker,company_name,title,source_name,publish_date,url,relevance_status,confidence_tier,main_model_include_flag,company_focus_status,suspect_not_company_focused,company_focus_reason,strict_main_sample_include,title_focus_alias_hits,lead_focus_alias_hits,filter_mode,filter_version
NEWS_AJI_2024_05_02_3f6eeb6732,AJI,Ajinomoto,Ajinomoto declares special dividend of RM2.12 from land sale,The Star,2024-05-02,https://www.thestar.com.my/business/business-news/2024/05/02/ajinomoto-declares-special-dividend-of-rm212-from-land-sale,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Ajinomoto,Ajinomoto,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2025_12_17_7a9557bbbc,APOLLO,Apollo,Apollo Food quarterly revenue at RM75mil,The Star,2025-12-17,https://www.thestar.com.my/business/business-news/2025/12/17/apollo-food-quarterly-revenue-at-rm75mil,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Apollo Food,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2025_09_24_5f02449853,APOLLO,Apollo,Apollo on track to strengthen distribution model,The Star,2025-09-24,https://www.thestar.com.my/business/business-news/2025/09/24/apolloon-track-to-strengthen-distribution-model,high_confidence_company_news,high,Yes,company_focused,No,lead_alias_with_company_operating_context,Yes,,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2025_06_18_7483b10d6f,APOLLO,Apollo,Apollo Food ends FY25 on a high note,The Star,2025-06-18,https://www.thestar.com.my/business/business-news/2025/06/18/apollo-food-ends-fy25-on-a-high-note,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Apollo Food,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2025_03_14_3941c02132,APOLLO,Apollo,Apollo Food 3Q revenue up to RM76mil,The Star,2025-03-14,https://www.thestar.com.my/business/business-news/2025/03/14/apollo-food-3q-revenue-up-to-rm76mil,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Apollo Food,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2025_03_13_f3f6e8defa,APOLLO,Apollo,Apollo Food stays cautious amid raw material price volatility,The Star,2025-03-13,https://www.thestar.com.my/business/business-news/2025/03/13/apollo-food-stays-cautious-amid-raw-material-price-volatility,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Apollo Food,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2024_12_05_af7f8e3a9d,APOLLO,Apollo,Apollo Food to mitigate rising cost,The Star,2024-12-05,https://www.thestar.com.my/business/business-news/2024/12/05/apollo-food-to-mitigate-rising-cost,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Apollo Food,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2024_12_04_40774629ea,APOLLO,Apollo,Apollo Food registers higher net profit of RM10.62mil in 2Q,The Star,2024-12-04,https://www.thestar.com.my/business/business-news/2024/12/04/apollo-food-registers-higher-net-profit-of-rm1062mil-in-2q,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Apollo Food,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2024_06_13_6fae37e79e,APOLLO,Apollo,Apollo’s net profit jumps 70% to RM53.8mil in FY24,The Star,2024-06-13,https://www.thestar.com.my/business/business-news/2024/06/13/apollos-net-profit-jumps-70-to-rm538mil-in-fy24,high_confidence_company_news,high,Yes,company_focused,No,lead_alias_with_company_operating_context,Yes,,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2024_03_20_80c1e51215,APOLLO,Apollo,Apollo Food to address shareholding spread,The Star,2024-03-20,https://www.thestar.com.my/business/business-news/2024/03/20/apollo-food-to-address-shareholding-spread,low_confidence_company_news,low,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,Apollo Food,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_CARLSBG_2025_06_26_768e2d1e41,CARLSBG,Carlsberg Brewery Malaysia Berhad,A toast to diversity,The Star,2025-06-26,https://www.thestar.com.my/starpicks/2025/06/26/a-toast-to-diversity,high_confidence_company_news,high,Yes,company_focused,No,lead_alias_with_company_operating_context,Yes,,Carlsberg Brewery Malaysia Berhad|Carlsberg Brewery|Carlsberg Malaysia|Carlsberg,manual_preserve,manual_preserve_v1
