document_id,ticker,company_name,title,source_name,publish_date,url,relevance_status,confidence_tier,main_model_include_flag,company_focus_status,suspect_not_company_focused,company_focus_reason,strict_main_sample_include,title_focus_alias_hits,lead_focus_alias_hits,filter_mode,filter_version
NEWS_AJI_2025_10_31_7b3ecf05e3,AJI,Ajinomoto,Trapper Group continues to lead,The Star,2025-10-31,https://www.thestar.com.my/news/nation/2025/10/31/trapper-group-continues-to-lead,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_AJI_2025_08_08_884ebf5716,AJI,Ajinomoto,KLCI edges higher at midday on selective buying in heavyweights,The Star,2025-08-08,https://www.thestar.com.my/business/business-news/2025/08/08/klci-edges-higher-at-midday-on-selective-buying-in-heavyweights,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,,,manual_preserve,manual_preserve_v1
NEWS_AJI_2024_05_08_a162563c71,AJI,Ajinomoto,"KLCI dips on profit taking, stays firmly above 1,600 level",The Star,2024-05-08,https://www.thestar.com.my/business/business-news/2024/05/08/klci-dips-on-profit-taking-stays-firmly-above-1600-level,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,stock_market_roundup_list_only,No,,Ajinomoto,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2024_03_20_135b27aed9,APOLLO,Apollo,Investors take cautious approach as US rate decision looms,The Star,2024-03-20,https://www.thestar.com.my/business/business-news/2024/03/20/investors-take-cautious-approach-as-us-rate-decision-looms,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,stock_market_roundup_list_only,No,,,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2024_03_19_ac1666c08d,APOLLO,Apollo,"Profit-taking in the market, KLCI down 8.68 points",The Star,2024-03-19,https://www.thestar.com.my/business/business-news/2024/03/19/profit-taking-in-the-market-klci-down-868-points,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,stock_market_roundup_list_only,No,,Apollo Food,manual_preserve,manual_preserve_v1
NEWS_APOLLO_2024_03_20_6608331c4a,APOLLO,Apollo,Banks lead Bursa blue-chips lower,The Star,2024-03-20,https://www.thestar.com.my/business/business-news/2024/03/20/banks-lead-bursa-blue-chips-lower,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,stock_market_roundup_list_only,No,,,manual_preserve,manual_preserve_v1
NEWS_FFB_2025_08_28_227fccdd6a,FFB,FarmFresh,Negeri Sembilan lifts nearly 30% of poor households out of poverty,The Star,2025-08-28,https://www.thestar.com.my/news/nation/2025/08/28/negeri-sembilan-lifts-nearly-30-of-poor-households-out-of-poverty,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,insufficient_company_operating_context,No,,Farm Fresh Berhad|Farm Fresh,manual_preserve,manual_preserve_v1
NEWS_FFB_2025_07_06_69d9a8cfbc,FFB,FarmFresh,"‘Form Six, not a last resort’",The Star,2025-07-06,https://www.thestar.com.my/news/education/2025/07/06/form-six-not-a-last-resort,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_FFB_2024_03_25_6d7e0b33b8,FFB,FarmFresh,Nurturing a community of empowered mothers,The Star,2024-03-25,https://www.thestar.com.my/metro/metro-news/2024/03/25/nurturing-a-community-of-empowered-mothers,high_confidence_company_news,high,Yes,suspect_not_company_focused,Yes,soft_csr_lifestyle_or_event_story,No,,Farm Fresh Berhad|Farm Fresh,manual_preserve,manual_preserve_v1
NEWS_HEIM_2024_10_30_de348b2301,HEIM,Heineken,"Tipsy-Turvy Quick Shots: Scotch for a cause, cognac craft, peachy beer",The Star,2024-10-30,https://www.thestar.com.my/lifestyle/living/tipsy-turvy/2024/10/30/tipsy-turvy-quick-shots-scotch-for-a-cause-cognac-craft-peachy-beer,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_KAWAN_2025_05_02_cf4c3b6730,KAWAN,Kawan Food,Malaysia’s halal product exports up 15% to RM62bil last year,The Star,2025-05-02,https://www.thestar.com.my/business/business-news/2025/05/02/malaysias-halal-product-exports-up-15-to-rm62bil-last-year,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_KAWAN_2025_05_01_8618bad820,KAWAN,Kawan Food,Malaysia’s halal product exports up 15% to RM61.79bil in 2024,The Star,2025-05-01,https://www.thestar.com.my/business/business-news/2025/05/01/malaysias-halal-product-exports-up-15-to-rm6179bil-in-2024,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_LOTUS_2024_11_29_b667d9d01f,LOTUS,Lotus KFM Berhad,Lotus KFM eyes growth with bioenergy and plantation ventures,The Star,2024-11-29,https://www.thestar.com.my/business/business-news/2024/11/29/lotus-kfm-eyes-growth-with-bioenergy-and-plantation-ventures,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,Lotus KFM,Lotus KFM,manual_preserve,manual_preserve_v1
NEWS_MSM_2025_09_11_d997c2e9df,MSM,MSM Malaysia Holdings Berhad,Switch to value stocks holds investor potential,The Star,2025-09-11,https://www.thestar.com.my/business/business-news/2025/09/11/switch-to-value-stocks-holds-investor-potential,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,,,manual_preserve,manual_preserve_v1
