relative_path,size_bytes
PAPER_OUTPUT/00_status/cross_validation_blocker_diagnosis.md,471
PAPER_OUTPUT/00_status/mda_final_full_scoring_report.md,188
PAPER_OUTPUT/00_status/mda_final_repeatability_cases.csv,2358
PAPER_OUTPUT/00_status/mda_final_repeatability_report.md,425
PAPER_OUTPUT/00_status/mda_missing_dimensions_recovery_report.md,298
PAPER_OUTPUT/00_status/mda_stability_after_repair.md,434
PAPER_OUTPUT/00_status/mda_stability_blocker_cases.csv,49858
PAPER_OUTPUT/00_status/mda_stability_blocker_diagnosis.json,2586
PAPER_OUTPUT/00_status/mda_stability_blocker_diagnosis.md,1859
PAPER_OUTPUT/00_status/mda_stability_metrics_redefined.json,1203
PAPER_OUTPUT/00_status/mda_stability_metrics_redefined.md,729
PAPER_OUTPUT/00_status/mda_stability_repair_actions.csv,68157
PAPER_OUTPUT/00_status/mda_stability_repair_log.md,509
PAPER_OUTPUT/00_status/mda_stability_repair_summary.json,526
PAPER_OUTPUT/00_status/ollama_repair_report.md,187
PAPER_OUTPUT/00_status/ollama_runtime_status.json,18829
PAPER_OUTPUT/00_status/paper_readiness_check.json,976
PAPER_OUTPUT/00_status/paper_readiness_report.md,1560
PAPER_OUTPUT/01_methods/methods_section_cn.md,2735
PAPER_OUTPUT/01_methods/methods_section_en.md,3261
PAPER_OUTPUT/01_methods/scoring_framework_cn.md,300
PAPER_OUTPUT/01_methods/scoring_framework_en.md,365
PAPER_OUTPUT/02_data/data_section_cn.md,1078
PAPER_OUTPUT/02_data/data_section_en.md,1145
PAPER_OUTPUT/03_results/results_summary.md,395
PAPER_OUTPUT/04_stability/stability_section_cn.md,755
PAPER_OUTPUT/04_stability/stability_section_en.md,768
PAPER_OUTPUT/05_quality_control/high_volatility_cases_for_review.csv,4322
PAPER_OUTPUT/05_quality_control/quality_control_section_cn.md,468
PAPER_OUTPUT/05_quality_control/quality_control_section_en.md,502
PAPER_OUTPUT/06_cross_validation/cross_validation_section_cn.md,935
PAPER_OUTPUT/06_cross_validation/cross_validation_section_en.md,948
PAPER_OUTPUT/07_limitations/limitations_cn.md,2017
PAPER_OUTPUT/07_limitations/limitations_en.md,2301
PAPER_OUTPUT/09_reproducibility/command_log.md,1132
PAPER_OUTPUT/09_reproducibility/empty_csv_audit.csv,3107
PAPER_OUTPUT/09_reproducibility/empty_csv_explanation.md,443
PAPER_OUTPUT/09_reproducibility/environment_summary.json,116
PAPER_OUTPUT/09_reproducibility/environment_summary.md,122
PAPER_OUTPUT/09_reproducibility/file_manifest.csv,4254
PAPER_OUTPUT/09_reproducibility/pytest_run.log,260
PAPER_OUTPUT/09_reproducibility/reproducibility_guide.md,1666
PAPER_OUTPUT/PAPER_READY_REPORT.md,1198
PAPER_OUTPUT/PAPER_READY_STATUS.json,976
PAPER_OUTPUT/figures/figure_high_volatility_cases.png,9032
PAPER_OUTPUT/figures/figure_mda_dimension_means.png,11734
PAPER_OUTPUT/figures/figure_mda_score_distribution.png,12132
PAPER_OUTPUT/figures/figure_news_score_distribution.png,10642
PAPER_OUTPUT/figures/figure_weight_sensitivity_scatter.png,17404
PAPER_OUTPUT/tables/table_10_stability_summary.csv,402
PAPER_OUTPUT/tables/table_10_stability_summary.md,500
PAPER_OUTPUT/tables/table_11_final_freeze_summary.csv,1133
PAPER_OUTPUT/tables/table_11_final_freeze_summary.md,1279
PAPER_OUTPUT/tables/table_12_cross_validation_summary.csv,352
PAPER_OUTPUT/tables/table_12_cross_validation_summary.md,429
PAPER_OUTPUT/tables/table_1_sample_construction.csv,712
PAPER_OUTPUT/tables/table_1_sample_construction.md,800
PAPER_OUTPUT/tables/table_2_variable_definitions.csv,504
PAPER_OUTPUT/tables/table_2_variable_definitions.md,573
PAPER_OUTPUT/tables/table_3_mda_dimensions.csv,278
PAPER_OUTPUT/tables/table_3_mda_dimensions.md,340
PAPER_OUTPUT/tables/table_4_news_dimensions.csv,251
PAPER_OUTPUT/tables/table_4_news_dimensions.md,313
PAPER_OUTPUT/tables/table_5_weighting_schemes.csv,369
PAPER_OUTPUT/tables/table_5_weighting_schemes.md,618
PAPER_OUTPUT/tables/table_6_mda_score_summary.csv,132
PAPER_OUTPUT/tables/table_6_mda_score_summary.md,256
PAPER_OUTPUT/tables/table_7_news_score_summary.csv,126
PAPER_OUTPUT/tables/table_7_news_score_summary.md,383
PAPER_OUTPUT/tables/table_8_mda_dimension_summary.csv,237
PAPER_OUTPUT/tables/table_8_mda_dimension_summary.md,371
PAPER_OUTPUT/tables/table_9_news_dimension_summary.csv,217
PAPER_OUTPUT/tables/table_9_news_dimension_summary.md,351
