document_id,doc_type,company_name,ticker,source_name,publish_date,title,url,confidence_tier,relevance_status,review_reason,dimension_count,total_score_100,grade_label,N01,N02,N03,N04,N05,N01_std,N02_std,N03_std,N04_std,N05_std,flag_unverified_key_number,flag_excessive_promotional_tone,flag_nonstandard_audit,flag_disclosure_replacement,flag_retraction_or_correction_needed,adjudication_flag,needs_review,review_reasons,final_version,scorebook_version,model_name,llm_backend,temperature,seed,num_ctx,num_predict,think,stream,json_schema_mode,prompt_version,scoring_timestamp,relevance_confidence_tier,relevance_status_original,relevance_needs_manual_review,relevance_review_reason,model_confidence_tier,strict_company_focus_flag,suspect_not_company_focused,company_focus_reason,final_dataset_version,final_include_flag,low_confidence_flag,source_input_path,source_ratings_long_path,freeze_timestamp,company_focus_status,strict_main_sample_include
NEWS_AJI_2024_05_02_3f6eeb6732,news,Ajinomoto,AJI,The Star,2024-05-02,Ajinomoto declares special dividend of RM2.12 from land sale,https://www.thestar.com.my/business/business-news/2024/05/02/ajinomoto-declares-special-dividend-of-rm212-from-land-sale,high,high_confidence_company_news,,5,76.25,B,5,4,3,3,5,100.0,75.0,50.0,50.0,100.0,0,0,0,0,0,No,No,,filter_news_final,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,news_single_dimension_v3_strict_calibration,2026-07-01T08:22:42+00:00,high,high_confidence_company_news,No,,high,Yes,No,title_alias_with_company_operating_context,final_freeze_2026-06-16,true,false,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_document_scores.csv,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_ratings_long.csv,2026-07-03T07:12:27+00:00,company_focused,Yes
NEWS_APOLLO_2025_12_17_7a9557bbbc,news,Apollo,APOLLO,The Star,2025-12-17,Apollo Food quarterly revenue at RM75mil,https://www.thestar.com.my/business/business-news/2025/12/17/apollo-food-quarterly-revenue-at-rm75mil,high,high_confidence_company_news,,5,68.75,C,4,4,3,3,5,75.0,75.0,50.0,50.0,100.0,0,0,0,0,0,No,No,,filter_news_final,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,news_single_dimension_v3_strict_calibration,2026-07-01T08:22:54+00:00,high,high_confidence_company_news,No,,high,Yes,No,title_alias_with_company_operating_context,final_freeze_2026-06-16,true,false,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_document_scores.csv,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_ratings_long.csv,2026-07-03T07:12:27+00:00,company_focused,Yes
NEWS_APOLLO_2025_09_24_5f02449853,news,Apollo,APOLLO,The Star,2025-09-24,Apollo on track to strengthen distribution model,https://www.thestar.com.my/business/business-news/2025/09/24/apolloon-track-to-strengthen-distribution-model,high,high_confidence_company_news,,5,58.75,C,3,4,3,3,4,50.0,75.0,50.0,50.0,75.0,0,0,0,0,0,No,No,,filter_news_final,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,news_single_dimension_v3_strict_calibration,2026-07-01T08:23:05+00:00,high,high_confidence_company_news,No,,high,Yes,No,lead_alias_with_company_operating_context,final_freeze_2026-06-16,true,false,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_document_scores.csv,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_ratings_long.csv,2026-07-03T07:12:27+00:00,company_focused,Yes
NEWS_APOLLO_2025_06_18_7483b10d6f,news,Apollo,APOLLO,The Star,2025-06-18,Apollo Food ends FY25 on a high note,https://www.thestar.com.my/business/business-news/2025/06/18/apollo-food-ends-fy25-on-a-high-note,high,high_confidence_company_news,,5,68.75,C,4,4,3,3,5,75.0,75.0,50.0,50.0,100.0,0,0,0,0,0,No,No,,filter_news_final,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,news_single_dimension_v3_strict_calibration,2026-07-01T08:23:16+00:00,high,high_confidence_company_news,No,,high,Yes,No,title_alias_with_company_operating_context,final_freeze_2026-06-16,true,false,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_document_scores.csv,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_ratings_long.csv,2026-07-03T07:12:27+00:00,company_focused,Yes
NEWS_APOLLO_2025_03_14_3941c02132,news,Apollo,APOLLO,The Star,2025-03-14,Apollo Food 3Q revenue up to RM76mil,https://www.thestar.com.my/business/business-news/2025/03/14/apollo-food-3q-revenue-up-to-rm76mil,high,high_confidence_company_news,,5,81.25,B,5,4,3,4,5,100.0,75.0,50.0,75.0,100.0,0,0,0,0,0,No,No,,filter_news_final,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,news_single_dimension_v3_strict_calibration,2026-07-01T08:23:26+00:00,high,high_confidence_company_news,No,,high,Yes,No,title_alias_with_company_operating_context,final_freeze_2026-06-16,true,false,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_document_scores.csv,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_ratings_long.csv,2026-07-03T07:12:27+00:00,company_focused,Yes
NEWS_APOLLO_2025_03_13_f3f6e8defa,news,Apollo,APOLLO,The Star,2025-03-13,Apollo Food stays cautious amid raw material price volatility,https://www.thestar.com.my/business/business-news/2025/03/13/apollo-food-stays-cautious-amid-raw-material-price-volatility,high,high_confidence_company_news,,5,85.0,A,5,4,4,4,5,100.0,75.0,75.0,75.0,100.0,0,0,0,0,0,No,No,,filter_news_final,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,news_single_dimension_v3_strict_calibration,2026-07-01T08:23:39+00:00,high,high_confidence_company_news,No,,high,Yes,No,title_alias_with_company_operating_context,final_freeze_2026-06-16,true,false,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_document_scores.csv,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_ratings_long.csv,2026-07-03T07:12:27+00:00,company_focused,Yes
NEWS_APOLLO_2024_12_05_af7f8e3a9d,news,Apollo,APOLLO,The Star,2024-12-05,Apollo Food to mitigate rising cost,https://www.thestar.com.my/business/business-news/2024/12/05/apollo-food-to-mitigate-rising-cost,high,high_confidence_company_news,,5,70.0,B,4,4,4,3,4,75.0,75.0,75.0,50.0,75.0,0,0,0,0,0,No,No,,filter_news_final,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,news_single_dimension_v3_strict_calibration,2026-07-01T08:23:49+00:00,high,high_confidence_company_news,No,,high,Yes,No,title_alias_with_company_operating_context,final_freeze_2026-06-16,true,false,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_document_scores.csv,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_ratings_long.csv,2026-07-03T07:12:27+00:00,company_focused,Yes
NEWS_APOLLO_2024_12_04_40774629ea,news,Apollo,APOLLO,The Star,2024-12-04,Apollo Food registers higher net profit of RM10.62mil in 2Q,https://www.thestar.com.my/business/business-news/2024/12/04/apollo-food-registers-higher-net-profit-of-rm1062mil-in-2q,high,high_confidence_company_news,,5,85.0,A,5,4,4,4,5,100.0,75.0,75.0,75.0,100.0,0,0,0,0,0,No,No,,filter_news_final,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,news_single_dimension_v3_strict_calibration,2026-07-01T08:24:01+00:00,high,high_confidence_company_news,No,,high,Yes,No,title_alias_with_company_operating_context,final_freeze_2026-06-16,true,false,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_document_scores.csv,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_ratings_long.csv,2026-07-03T07:12:27+00:00,company_focused,Yes
NEWS_APOLLO_2024_06_13_6fae37e79e,news,Apollo,APOLLO,The Star,2024-06-13,Apollo’s net profit jumps 70% to RM53.8mil in FY24,https://www.thestar.com.my/business/business-news/2024/06/13/apollos-net-profit-jumps-70-to-rm538mil-in-fy24,medium,medium_confidence_company_news,,5,71.25,B,4,4,3,4,4,75.0,75.0,50.0,75.0,75.0,0,0,0,0,0,No,No,,filter_news_final,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,news_single_dimension_v3_strict_calibration,2026-07-01T08:24:13+00:00,high,high_confidence_company_news,No,,medium,Yes,No,lead_alias_with_company_operating_context,final_freeze_2026-06-16,true,false,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_document_scores.csv,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_ratings_long.csv,2026-07-03T07:12:27+00:00,company_focused,Yes
NEWS_APOLLO_2024_03_20_80c1e51215,news,Apollo,APOLLO,The Star,2024-03-20,Apollo Food to address shareholding spread,https://www.thestar.com.my/business/business-news/2024/03/20/apollo-food-to-address-shareholding-spread,high,high_confidence_company_news,,5,66.25,C,4,4,3,3,4,75.0,75.0,50.0,50.0,75.0,0,0,0,0,0,No,No,,filter_news_final,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,news_single_dimension_v3_strict_calibration,2026-07-01T08:24:25+00:00,low,low_confidence_company_news,Yes,ticker_only_title_context,high,Yes,No,title_alias_with_company_operating_context,final_freeze_2026-06-16,true,false,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_document_scores.csv,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_ratings_long.csv,2026-07-03T07:12:27+00:00,company_focused,Yes
NEWS_CARLSBG_2025_06_26_768e2d1e41,news,Carlsberg Brewery Malaysia Berhad,CARLSBG,The Star,2025-06-26,A toast to diversity,https://www.thestar.com.my/starpicks/2025/06/26/a-toast-to-diversity,high,high_confidence_company_news,,5,72.5,B,4,4,4,3,5,75.0,75.0,75.0,50.0,100.0,0,0,0,0,0,No,No,,filter_news_final,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,news_single_dimension_v3_strict_calibration,2026-07-01T08:25:25+00:00,high,high_confidence_company_news,No,,high,Yes,No,lead_alias_with_company_operating_context,final_freeze_2026-06-16,true,false,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_document_scores.csv,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_ratings_long.csv,2026-07-03T07:12:27+00:00,company_focused,Yes
NEWS_FFB_2024_11_29_52934062fa,news,FarmFresh,FFB,The Star,2024-11-29,Farm Fresh wins Brand of the Year in dairy for the second time,https://www.thestar.com.my/news/nation/2024/11/29/farm-fresh-wins-brand-of-the-year-in-dairy-for-the-second-time,high,high_confidence_company_news,,5,62.5,C,4,3,3,3,5,75.0,50.0,50.0,50.0,100.0,0,0,0,0,0,No,No,,filter_news_final,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,news_single_dimension_v3_strict_calibration,2026-07-01T08:26:16+00:00,high,high_confidence_company_news,No,,high,Yes,No,title_alias_with_company_operating_context,final_freeze_2026-06-16,true,false,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_document_scores.csv,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/06_ratings/news_final_full/news_final_ratings_long.csv,2026-07-03T07:12:27+00:00,company_focused,Yes
