document_id,ticker,company_name,title,source_name,publish_date,url,text_length,alias_hits,strong_alias_hits,medium_alias_hits,weak_alias_hits,relevance_status,relevance_reason,include_flag,exclude_reason,confidence_tier,main_model_include_flag,broad_include_flag,strict_company_focus_flag,high_confidence_include_flag,needs_manual_review,review_reason,shared_article_flag,multi_company_article_flag,raw_article_hash,raw_row_key,filter_mode,filter_version,original_file,original_file_hash
NEWS_CANDIDATE_000012_aea23089,A1AKK,,Carlsberg Malaysia posts higher 3Q earnings,The Star,2025-11-14,https://www.thestar.com.my/business/business-news/2025/11/14/carlsberg-malaysia-posts-higher-3q-earnings,3588,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,6428bf7baea896cbb232d171613fbc7c3e062b9580d2aee29cf0e2679aaaeb45,"New_news_A1AKK_A1AKK_news_csv:{""row_number"": 12}:ea2efe8913d8",manual_preserve,manual_preserve_v1,New_news/A1AKK/A1AKK_news.csv,264b06a0deaf9e67172096b9d818417df3e2f3624f86cb0f602c43a39c9f117c
NEWS_CANDIDATE_000133_6e8f5b96,A1AKK,,Dutch Lady reports 35% profit rise in 4Q24,The Star,2025-02-20,https://www.thestar.com.my/business/business-news/2025/02/20/dutch-lady-reports-35-profit-rise-in-4q24,2434,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,7f6dbd8a1961c6b14401a00c4dba7131adf226ca3902ec15ea988decf67ac95d,"New_news_A1AKK_A1AKK_news_csv:{""row_number"": 133}:0fde493b071f",manual_preserve,manual_preserve_v1,New_news/A1AKK/A1AKK_news.csv,264b06a0deaf9e67172096b9d818417df3e2f3624f86cb0f602c43a39c9f117c
NEWS_CANDIDATE_000183_f509e32b,A1AKK,,"Trading ideas: IHH, YTL Power, MSM, KIP REIT, Central Global, Elridge, Jentayu, Northport, Ocean Vantage",The Star,2024-09-05,https://www.thestar.com.my/business/business-news/2024/09/05/trading-ideas-ihh-ytl-power-msm-kip-reit-central-global-elridge-jentayu-northport-ocean-vantage,1695,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,eb8f25fccb2f130226b9dc643d04869384d95be5ab5f4f79fe6cd2b55c105408,"New_news_A1AKK_A1AKK_news_csv:{""row_number"": 183}:e1b12e29994a",manual_preserve,manual_preserve_v1,New_news/A1AKK/A1AKK_news.csv,264b06a0deaf9e67172096b9d818417df3e2f3624f86cb0f602c43a39c9f117c
NEWS_CANDIDATE_000253_2f85a386,A1AKK,,FBM KLCI rises amid broader market weakness,The Star,2024-03-12,https://www.thestar.com.my/business/business-news/2024/03/12/fbm-klci-rises-amid-broader-market-weakness,1514,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,1235c47f4c4c91694937e6f4e5db2294676b94cc83237f71f73c2013fcceaf66,"New_news_A1AKK_A1AKK_news_csv:{""row_number"": 253}:dc011e5283d9",manual_preserve,manual_preserve_v1,New_news/A1AKK/A1AKK_news.csv,264b06a0deaf9e67172096b9d818417df3e2f3624f86cb0f602c43a39c9f117c
NEWS_CANDIDATE_000314_ee677f4d,AGRICOR,,"FBM KLCI rebounds, closes higher amid regional gains",The Star,2025-05-14,https://www.thestar.com.my/business/business-news/2025/05/14/fbm-klci-rebounds-closes-higher-amid-regional-gains,1488,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,66e0361a0ee21ee3414669213c182d7066b643b6bc8b73c2e2733ac219d49faa,"New_news_AGRICOR_AGRICOR_news_csv:{""row_number"": 50}:bf105de3e136",manual_preserve,manual_preserve_v1,New_news/AGRICOR/AGRICOR_news.csv,4c6aecc099f7e262b817b77ef8cdc10119d9f9de84c003f44473315ff1b5b72a
NEWS_CANDIDATE_000318_94e7edef,AGRICOR,,F&N tax expenses spike expected to ease,The Star,2025-04-30,https://www.thestar.com.my/business/business-news/2025/04/30/fn-tax-expenses-spike-expected-to-ease,5853,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,2e552b73b60fd23ba9a969e636f9c56448f7489d7f04d07b7900493a7c9bdb08,"New_news_AGRICOR_AGRICOR_news_csv:{""row_number"": 54}:7a73d4d3c608",manual_preserve,manual_preserve_v1,New_news/AGRICOR/AGRICOR_news.csv,4c6aecc099f7e262b817b77ef8cdc10119d9f9de84c003f44473315ff1b5b72a
NEWS_CANDIDATE_000645_2e77f233,AJI,Ajinomoto,Bursa Malaysia marginally lower at midday on profit-taking,The Star,2025-10-31,https://www.thestar.com.my/business/business-news/2025/10/31/bursa-malaysia-marginally-lower-at-midday-on-profit-taking,2794,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,16f24eb36665927cf22cdadc3d987cb6fd8282a1d3d51a6da03964b8a7ea65ef,"New_news_AJI_AJI_news_csv:{""row_number"": 217}:de0c26714f18",manual_preserve,manual_preserve_v1,New_news/AJI/AJI_news.csv,1c7ae39f5f5b99fb2c5422b287ac63f2aac5f84db8d4acf10712771a137a2da9
NEWS_CANDIDATE_001526_985228ab,AJI,Ajinomoto,Key issues that shaped Petaling Jaya in 2024,The Star,2024-12-28,https://www.thestar.com.my/metro/metro-news/2024/12/28/pj-folk-make-their-voices-heard,8537,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,9cc3f59530fec84fed93dc636b7d6bf6fef5b9fd231ac0df5d1aa97a107a290f,"New_news_AJI_AJI_news_csv:{""row_number"": 1098}:f05e3af52c1c",manual_preserve,manual_preserve_v1,New_news/AJI/AJI_news.csv,1c7ae39f5f5b99fb2c5422b287ac63f2aac5f84db8d4acf10712771a137a2da9
NEWS_CANDIDATE_002154_99b14994,AJI,Ajinomoto,"Trading ideas: UEM, SD Guthrie, Feytech, Tex Cycle, Public Bank, GenM, MMAG, Nestle, SEGi, Serba Dinamik, AME Elite, DXN, MBSB, TNB, CIMB",The Star,2024-06-04,https://www.thestar.com.my/business/business-news/2024/06/04/trading-ideas-uem-sd-guthrie-feytech-tex-cycle-public-bank-genm-mmag-nestle-segi-serba-dinamik-ame-elite-dxn-mbsb-tnb-cimb,2618,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,8171e1070553d74550759fdc7a9e8a2212513edf7c562298ca2881894ba060ed,"New_news_AJI_AJI_news_csv:{""row_number"": 1726}:287f961b1850",manual_preserve,manual_preserve_v1,New_news/AJI/AJI_news.csv,1c7ae39f5f5b99fb2c5422b287ac63f2aac5f84db8d4acf10712771a137a2da9
NEWS_CANDIDATE_002236_5be9394a,AJI,Ajinomoto,"Trading ideas: TM, MISC, Capital A, PTT, Aurelius Tech, AME Elite, Score Builders, YNHP, Frontken and Mulpha",The Star,2024-05-14,https://www.thestar.com.my/business/business-news/2024/05/14/trading-ideas-tm-misc-capital-a-ptt-aurelius-tech-ame-elite-score-builders-ynhp-frontken-and-mulpha,3677,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,7268f0f89f6482d08e1f236337b6e85114cafe111ec72df5b0dad483b3c57005,"New_news_AJI_AJI_news_csv:{""row_number"": 1808}:7880162dcf80",manual_preserve,manual_preserve_v1,New_news/AJI/AJI_news.csv,1c7ae39f5f5b99fb2c5422b287ac63f2aac5f84db8d4acf10712771a137a2da9
