document_id,ticker,company_name,report_year,valid_pair,stable_pair,total_score_a,total_score_b,abs_total_score_diff,max_dimension_diff,dimension_diff_ge_2,manual_review_required,review_reasons
MDA_0012_3A_2020,3A,Three-A Resources Berhad,2020,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_0012_3A_2021,3A,Three-A Resources Berhad,2021,true,true,75.0,75.0,0.0,0.0,0,false,
MDA_0012_3A_2022,3A,Three-A Resources Berhad,2022,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_0012_3A_2023,3A,Three-A Resources Berhad,2023,true,true,68.75,68.75,0.0,0.0,0,false,
MDA_0012_3A_2024,3A,Three-A Resources Berhad,2024,true,true,46.25,46.25,0.0,0.0,0,false,
MDA_0212_SDS_2020,SDS,SDSG,2020,true,true,37.5,37.5,0.0,0.0,0,false,
MDA_0212_SDS_2021,SDS,SDSG,2021,true,true,77.5,77.5,0.0,0.0,0,false,
MDA_0212_SDS_2022,SDS,SDSG,2022,true,true,37.5,37.5,0.0,0.0,0,false,
MDA_0212_SDS_2023,SDS,SDSG,2023,true,true,61.25,61.25,0.0,0.0,0,false,
MDA_0212_SDS_2024,SDS,SDSG,2024,true,true,62.5,62.5,0.0,0.0,0,false,
MDA_2658_AJI_2020,AJI,Ajinomoto,2020,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_2658_AJI_2021,AJI,Ajinomoto,2021,true,true,26.25,26.25,0.0,0.0,0,false,
MDA_2658_AJI_2022,AJI,Ajinomoto,2022,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_2658_AJI_2023,AJI,Ajinomoto,2023,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_2658_AJI_2024,AJI,Ajinomoto,2024,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_2828_CIHLDG_2020,CIHLDG,CIHB,2020,true,true,91.25,91.25,0.0,0.0,0,false,
MDA_2828_CIHLDG_2021,CIHLDG,CIHB,2021,true,true,91.25,91.25,0.0,0.0,0,false,
MDA_2828_CIHLDG_2022,CIHLDG,CIHB,2022,true,true,91.25,91.25,0.0,0.0,0,false,
MDA_2828_CIHLDG_2023,CIHLDG,CIHB,2023,true,true,93.75,93.75,0.0,0.0,0,false,
MDA_2828_CIHLDG_2024,CIHLDG,CIHB,2024,true,true,52.5,52.5,0.0,0.0,0,false,
MDA_2836_CARLSBG_2020,CARLSBG,Carlsberg Brewery Malaysia Berhad,2020,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_2836_CARLSBG_2021,CARLSBG,Carlsberg Brewery Malaysia Berhad,2021,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_2836_CARLSBG_2022,CARLSBG,Carlsberg Brewery Malaysia Berhad,2022,true,true,38.75,38.75,0.0,0.0,0,false,
MDA_2836_CARLSBG_2023,CARLSBG,Carlsberg Brewery Malaysia Berhad,2023,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_2836_CARLSBG_2024,CARLSBG,Carlsberg Brewery Malaysia Berhad,2024,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_3026_DLADY_2020,DLADY,DL,2020,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_3026_DLADY_2021,DLADY,DL,2021,true,true,42.5,42.5,0.0,0.0,0,false,
MDA_3026_DLADY_2022,DLADY,DL,2022,true,true,32.5,32.5,0.0,0.0,0,false,
MDA_3026_DLADY_2023,DLADY,DL,2023,true,true,42.5,42.5,0.0,0.0,0,false,
MDA_3026_DLADY_2024,DLADY,DL,2024,true,true,38.75,38.75,0.0,0.0,0,false,
MDA_3255_HEIM_2020,HEIM,Heineken,2020,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_3255_HEIM_2021,HEIM,Heineken,2021,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_3255_HEIM_2022,HEIM,Heineken,2022,true,true,41.25,41.25,0.0,0.0,0,false,
MDA_3255_HEIM_2023,HEIM,Heineken,2023,true,true,28.75,28.75,0.0,0.0,0,false,
MDA_3255_HEIM_2024,HEIM,Heineken,2024,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_3662_MFLOUR_2020,MFLOUR,MFM,2020,true,true,72.5,72.5,0.0,0.0,0,false,
MDA_3662_MFLOUR_2021,MFLOUR,MFM,2021,true,true,72.5,72.5,0.0,0.0,0,false,
MDA_3662_MFLOUR_2022,MFLOUR,MFM,2022,true,true,52.5,52.5,0.0,0.0,0,false,
MDA_3662_MFLOUR_2023,MFLOUR,MFM,2023,true,true,58.75,58.75,0.0,0.0,0,false,
MDA_3662_MFLOUR_2024,MFLOUR,MFM,2024,true,true,68.75,68.75,0.0,0.0,0,false,
MDA_3689_FN_2020,FN,FNHB,2020,true,true,56.25,56.25,0.0,0.0,0,false,
MDA_3689_FN_2021,FN,FNHB,2021,true,true,53.75,53.75,0.0,0.0,0,false,
MDA_3689_FN_2022,FN,FNHB,2022,true,true,25.0,25.0,0.0,0.0,0,false,
MDA_3689_FN_2023,FN,FNHB,2023,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_4065_PPB_2020,PPB,PPB,2020,true,true,73.75,73.75,0.0,0.0,0,false,
MDA_4065_PPB_2021,PPB,PPB,2021,true,true,42.5,42.5,0.0,0.0,0,false,
MDA_4065_PPB_2022,PPB,PPB,2022,true,true,68.75,68.75,0.0,0.0,0,false,
MDA_4065_PPB_2023,PPB,PPB,2023,true,true,72.5,72.5,0.0,0.0,0,false,
MDA_4065_PPB_2024,PPB,PPB,2024,true,true,41.25,41.25,0.0,0.0,0,false,
MDA_4707_NESTLE_2020,NESTLE,Nestle Malaysia Berhad,2020,true,true,43.75,43.75,0.0,0.0,0,false,
MDA_4707_NESTLE_2021,NESTLE,Nestle Malaysia Berhad,2021,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_4707_NESTLE_2022,NESTLE,Nestle Malaysia Berhad,2022,true,true,53.75,53.75,0.0,0.0,0,false,
MDA_4707_NESTLE_2023,NESTLE,Nestle Malaysia Berhad,2023,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_4707_NESTLE_2024,NESTLE,Nestle Malaysia Berhad,2024,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_5008_HARISON_2021,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2021,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_5008_HARISON_2022,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2022,true,true,38.75,38.75,0.0,0.0,0,false,
MDA_5008_HARISON_2023,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2023,true,true,80.0,80.0,0.0,0.0,0,false,
MDA_5008_HARISON_2024,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2024,true,true,52.5,52.5,0.0,0.0,0,false,
MDA_5102_GCB_2020,GCB,GCB,2020,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_5102_GCB_2021,GCB,GCB,2021,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_5102_GCB_2022,GCB,GCB,2022,true,true,53.75,53.75,0.0,0.0,0,false,
MDA_5102_GCB_2023,GCB,GCB,2023,true,true,80.0,80.0,0.0,0.0,0,false,
MDA_5102_GCB_2024,GCB,GCB,2024,true,true,53.75,53.75,0.0,0.0,0,false,
MDA_5157_SG_2020,SG,Saudee Group Berhad,2020,true,true,43.75,43.75,0.0,0.0,0,false,
MDA_5157_SG_2021,SG,Saudee Group Berhad,2021,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_5157_SG_2022,SG,Saudee Group Berhad,2022,true,true,68.75,68.75,0.0,0.0,0,false,
MDA_5157_SG_2023,SG,Saudee Group Berhad,2023,true,true,68.75,68.75,0.0,0.0,0,false,
MDA_5157_SG_2024,SG,Saudee Group Berhad,2024,true,true,68.75,68.75,0.0,0.0,0,false,
MDA_5187_HBGLOB_2020,HBGLOB,HB Global Limited,2020,true,true,37.5,37.5,0.0,0.0,0,false,
MDA_5187_HBGLOB_2021,HBGLOB,HB Global Limited,2021,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_5187_HBGLOB_2022,HBGLOB,HB Global Limited,2022,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_5187_HBGLOB_2023,HBGLOB,HB Global Limited,2023,true,true,53.75,53.75,0.0,0.0,0,false,
MDA_5187_HBGLOB_2024,HBGLOB,HB Global Limited,2024,true,true,37.5,37.5,0.0,0.0,0,false,
MDA_5188_CNOUHUA_2020,CNOUHUA,China Ouhua Winery Holdings Limited,2020,true,true,43.75,43.75,0.0,0.0,0,false,
MDA_5188_CNOUHUA_2021,CNOUHUA,China Ouhua Winery Holdings Limited,2021,true,true,43.75,43.75,0.0,0.0,0,false,
MDA_5188_CNOUHUA_2022,CNOUHUA,China Ouhua Winery Holdings Limited,2022,true,true,38.75,38.75,0.0,0.0,0,false,
MDA_5188_CNOUHUA_2023,CNOUHUA,China Ouhua Winery Holdings Limited,2023,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_5188_CNOUHUA_2024,CNOUHUA,China Ouhua Winery Holdings Limited,2024,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_5202_MSM_2020,MSM,MSM,2020,true,true,38.75,38.75,0.0,0.0,0,false,
MDA_5202_MSM_2021,MSM,MSM,2021,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_5202_MSM_2022,MSM,MSM,2022,true,true,63.75,63.75,0.0,0.0,0,false,
MDA_5202_MSM_2023,MSM,MSM,2023,true,true,47.5,47.5,0.0,0.0,0,false,
MDA_5202_MSM_2024,MSM,MSM,2024,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_5306_FFB_2022,FFB,FarmFresh,2022,true,true,52.5,52.5,0.0,0.0,0,false,
MDA_5306_FFB_2023,FFB,FarmFresh,2023,true,true,47.5,47.5,0.0,0.0,0,false,
MDA_5306_FFB_2024,FFB,FarmFresh,2024,true,true,68.75,68.75,0.0,0.0,0,false,
MDA_5533_OCB_2020,OCB,OCB Berhad,2020,true,true,53.75,53.75,0.0,0.0,0,false,
MDA_5533_OCB_2021,OCB,OCB Berhad,2021,true,true,68.75,68.75,0.0,0.0,0,false,
MDA_5533_OCB_2022,OCB,OCB Berhad,2022,true,true,72.5,72.5,0.0,0.0,0,false,
MDA_5533_OCB_2023,OCB,OCB Berhad,2023,true,true,73.75,73.75,0.0,0.0,0,false,
MDA_5533_OCB_2024,OCB,OCB Berhad,2024,true,true,63.75,63.75,0.0,0.0,0,false,
MDA_6203_KHEESAN_2021,KHEESAN,Khee San Berhad,2021,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_6203_KHEESAN_2022,KHEESAN,Khee San Berhad,2022,true,true,41.25,41.25,0.0,0.0,0,false,
MDA_6203_KHEESAN_2023,KHEESAN,Khee San Berhad,2023,true,true,87.5,87.5,0.0,0.0,0,false,
MDA_6203_KHEESAN_2024,KHEESAN,Khee San Berhad,2024,true,true,72.5,72.5,0.0,0.0,0,false,
MDA_6432_APOLLO_2020,APOLLO,Apollo,2020,true,true,28.75,28.75,0.0,0.0,0,false,
MDA_6432_APOLLO_2021,APOLLO,Apollo,2021,true,true,35.0,35.0,0.0,0.0,0,false,
MDA_6432_APOLLO_2022,APOLLO,Apollo,2022,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_6432_APOLLO_2023,APOLLO,Apollo,2023,true,true,60.0,60.0,0.0,0.0,0,false,
MDA_6432_APOLLO_2024,APOLLO,Apollo,2024,true,true,53.75,53.75,0.0,0.0,0,false,
MDA_7035_CCK_2020,CCK,CCK,2020,true,true,41.25,41.25,0.0,0.0,0,false,
MDA_7035_CCK_2021,CCK,CCK,2021,true,true,42.5,42.5,0.0,0.0,0,false,
MDA_7035_CCK_2022,CCK,CCK,2022,true,true,82.5,82.5,0.0,0.0,0,false,
MDA_7035_CCK_2023,CCK,CCK,2023,true,true,35.0,35.0,0.0,0.0,0,false,
MDA_7035_CCK_2024,CCK,CCK,2024,true,true,42.5,42.5,0.0,0.0,0,false,
MDA_7103_SPRITZER_2020,SPRITZER,SPRITZER,2020,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_7103_SPRITZER_2021,SPRITZER,SPRITZER,2021,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_7103_SPRITZER_2022,SPRITZER,SPRITZER,2022,true,true,81.25,81.25,0.0,0.0,0,false,
MDA_7103_SPRITZER_2023,SPRITZER,SPRITZER,2023,true,true,63.75,63.75,0.0,0.0,0,false,
MDA_7103_SPRITZER_2024,SPRITZER,SPRITZER,2024,true,true,87.5,87.5,0.0,0.0,0,false,
MDA_7107_OFI_2020,OFI,OFI,2020,true,true,35.0,35.0,0.0,0.0,0,false,
MDA_7107_OFI_2021,OFI,OFI,2021,true,true,38.75,38.75,0.0,0.0,0,false,
MDA_7107_OFI_2022,OFI,OFI,2022,true,true,35.0,35.0,0.0,0.0,0,false,
MDA_7107_OFI_2023,OFI,OFI,2023,true,true,38.75,38.75,0.0,0.0,0,false,
MDA_7167_ABLEGLOB_2020,ABLEGLOB,JOHOTIN,2020,true,true,42.5,42.5,0.0,0.0,0,false,
MDA_7167_ABLEGLOB_2021,ABLEGLOB,JOHOTIN,2021,true,true,42.5,42.5,0.0,0.0,0,false,
MDA_7167_ABLEGLOB_2022,ABLEGLOB,JOHOTIN,2022,true,true,42.5,42.5,0.0,0.0,0,false,
MDA_7167_ABLEGLOB_2023,ABLEGLOB,JOHOTIN,2023,true,true,32.5,32.5,0.0,0.0,0,false,
MDA_7167_ABLEGLOB_2024,ABLEGLOB,JOHOTIN,2024,true,true,56.25,56.25,0.0,0.0,0,false,
MDA_7216_KAWAN_2020,KAWAN,Kawan Food,2020,true,true,87.5,87.5,0.0,0.0,0,false,
MDA_7216_KAWAN_2021,KAWAN,Kawan Food,2021,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_7216_KAWAN_2022,KAWAN,Kawan Food,2022,true,true,68.75,68.75,0.0,0.0,0,false,
MDA_7216_KAWAN_2023,KAWAN,Kawan Food,2023,true,true,56.25,56.25,0.0,0.0,0,false,
MDA_7216_KAWAN_2024,KAWAN,Kawan Food,2024,true,true,63.75,63.75,0.0,0.0,0,false,
MDA_7237_PWROOT_2020,PWROOT,Power Root,2020,true,true,38.75,38.75,0.0,0.0,0,false,
MDA_7237_PWROOT_2021,PWROOT,Power Root,2021,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_7237_PWROOT_2022,PWROOT,Power Root,2022,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_7237_PWROOT_2023,PWROOT,Power Root,2023,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_7237_PWROOT_2024,PWROOT,Power Root,2024,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_7243_MAGMA_2020,MAGMA,Impiana Hotels Bhd,2020,true,true,35.0,35.0,0.0,0.0,0,false,
MDA_7243_MAGMA_2021,MAGMA,Impiana Hotels Bhd,2021,true,true,42.5,42.5,0.0,0.0,0,false,
MDA_7243_MAGMA_2022,MAGMA,Impiana Hotels Bhd,2022,true,true,42.5,42.5,0.0,0.0,0,false,
MDA_7243_MAGMA_2023,MAGMA,Impiana Hotels Bhd,2023,true,true,32.5,32.5,0.0,0.0,0,false,
MDA_7243_MAGMA_2024,MAGMA,Impiana Hotels Bhd,2024,true,true,37.5,37.5,0.0,0.0,0,false,
MDA_8303_LOTUS_2020,LOTUS,Lotus KFM Berhad,2020,true,true,53.75,53.75,0.0,0.0,0,false,
MDA_8303_LOTUS_2021,LOTUS,Lotus KFM Berhad,2021,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_8303_LOTUS_2022,LOTUS,Lotus KFM Berhad,2022,true,true,32.5,32.5,0.0,0.0,0,false,
MDA_8303_LOTUS_2023,LOTUS,Lotus KFM Berhad,2023,true,true,32.5,32.5,0.0,0.0,0,false,
MDA_8303_LOTUS_2024,LOTUS,Lotus KFM Berhad,2024,true,true,72.5,72.5,0.0,0.0,0,false,
MDA_8478_HWATAI_2020,HWATAI,Hwa Tai,2020,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_8478_HWATAI_2021,HWATAI,Hwa Tai,2021,true,true,68.75,68.75,0.0,0.0,0,false,
MDA_8478_HWATAI_2022,HWATAI,Hwa Tai,2022,true,true,68.75,68.75,0.0,0.0,0,false,
MDA_8478_HWATAI_2023,HWATAI,Hwa Tai,2023,true,true,68.75,68.75,0.0,0.0,0,false,
MDA_8478_HWATAI_2024,HWATAI,Hwa Tai,2024,true,true,68.75,68.75,0.0,0.0,0,false,
MDA_9946_ETA_2020,ETA,Annual Report 2020,2020,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_9946_ETA_2021,ETA,Annual Report 2020,2021,true,true,38.75,38.75,0.0,0.0,0,false,
MDA_9946_ETA_2022,ETA,Annual Report 2020,2022,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_9946_ETA_2023,ETA,Annual Report 2020,2023,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_9946_ETA_2024,ETA,Annual Report 2020,2024,true,true,38.75,38.75,0.0,0.0,0,false,
