relative_path,row_count,status,category,allowed_empty,notes
01_registry\news_registry_rebuilt.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
08_reports\mda_ar02_adjustment_audit.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
09_cross_validation\claim_links.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
09_cross_validation\mda_claims.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
09_cross_validation\news_claims.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
code\06_ratings\mda_repeatability_final\run_a\mda_repeatability_run_a_document_scores.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
code\06_ratings\mda_repeatability_final\run_a\mda_repeatability_run_a_ratings_long.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
code\06_ratings\mda_repeatability_final\run_a\mda_repeatability_run_a_review_log.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
code\06_ratings\mda_repeatability_final\run_b\mda_repeatability_run_b_document_scores.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
code\06_ratings\mda_repeatability_final\run_b\mda_repeatability_run_b_ratings_long.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
code\06_ratings\mda_repeatability_final\run_b\mda_repeatability_run_b_review_log.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
code\08_reports\mda_repeatability_final\run_a_json_validation.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
code\08_reports\mda_repeatability_final\run_b_json_validation.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
code\PAPER_OUTPUT\00_status\mda_final_repeatability_cases.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
FINAL_OUTPUT\news_company_focused_dataset.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
paper_output\05_quality_control\high_volatility_cases_for_review.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
result\06_ratings\mda_context_repair\mda_stability_failed_cases_complete.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
result\06_ratings\mda_semantic_repair\mda_semantic_repair_document_scores.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
result\06_ratings\mda_semantic_repair\mda_semantic_repair_ratings_long.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
result\06_ratings\mda_semantic_repair\mda_semantic_repair_review_log.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
result\06_ratings\mda_semantic_repair_v2\mda_semantic_repair_v2_replacement_rows.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
result\06_ratings\weight_sensitivity\news_weight_sensitivity_scores.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
result\10_claim_mapping\news_claim_dimension_scores.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
result\10_claim_mapping\news_document_scores_claim_level.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
result\11_stability_analysis\outputs\mda_repeatability_comparison.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
result\11_stability_analysis\outputs\mda_structure_comparison.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
result\11_stability_analysis\outputs\news_repeatability_comparison.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
result\11_stability_analysis\outputs\news_structure_comparison.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
source\01_registry\news_registry_rebuilt.csv,0,allowed_empty,optional_or_historical_output,true,"Allowed only if documented as optional, scaffold, or historical diagnostic; not used as a current final dataset input."
