document_id,ticker,company_name,report_year,valid_pair,stable_pair,total_score_a,total_score_b,abs_total_score_diff,max_dimension_diff,dimension_diff_ge_2,manual_review_required,review_reasons
MDA_3026_DLADY_2023,DLADY,DL,2023,true,true,42.5,42.5,0.0,0.0,0,false,
MDA_0212_SDS_2021,SDS,SDSG,2021,true,true,73.75,73.75,0.0,0.0,0,false,
MDA_5187_HBGLOB_2022,HBGLOB,HB Global Limited,2022,true,true,48.75,48.75,0.0,0.0,0,false,
MDA_5102_GCB_2024,GCB,GCB,2024,true,true,53.75,53.75,0.0,0.0,0,false,
MDA_5008_HARISON_2024,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2024,true,true,32.5,32.5,0.0,0.0,0,false,
MDA_3662_MFLOUR_2020,MFLOUR,MFM,2020,true,true,72.5,72.5,0.0,0.0,0,false,
MDA_3026_DLADY_2021,DLADY,DL,2021,true,true,38.75,38.75,0.0,0.0,0,false,
MDA_8478_HWATAI_2020,HWATAI,Hwa Tai,2020,true,true,68.75,68.75,0.0,0.0,0,false,
MDA_2836_CARLSBG_2022,CARLSBG,Carlsberg Brewery Malaysia Berhad,2022,true,true,38.75,38.75,0.0,0.0,0,false,
MDA_7103_SPRITZER_2023,SPRITZER,SPRITZER,2023,true,true,41.25,41.25,0.0,0.0,0,false,
MDA_2828_CIHLDG_2024,CIHLDG,CIHB,2024,true,true,63.75,63.75,0.0,0.0,0,false,
MDA_3026_DLADY_2022,DLADY,DL,2022,true,true,32.5,32.5,0.0,0.0,0,false,
MDA_3689_FN_2020,FN,FNHB,2020,true,true,56.25,56.25,0.0,0.0,0,false,
MDA_3689_FN_2021,FN,FNHB,2021,true,true,53.75,53.75,0.0,0.0,0,false,
MDA_3689_FN_2022,FN,FNHB,2022,true,true,25.0,25.0,0.0,0.0,0,false,
MDA_4065_PPB_2021,PPB,PPB,2021,true,true,32.5,32.5,0.0,0.0,0,false,
MDA_4065_PPB_2022,PPB,PPB,2022,true,true,72.5,72.5,0.0,0.0,0,false,
MDA_0212_SDS_2020,SDS,SDSG,2020,true,true,32.5,32.5,0.0,0.0,0,false,
MDA_0212_SDS_2022,SDS,SDSG,2022,true,true,37.5,37.5,0.0,0.0,0,false,
MDA_0212_SDS_2023,SDS,SDSG,2023,true,true,61.25,61.25,0.0,0.0,0,false,
MDA_0212_SDS_2024,SDS,SDSG,2024,true,true,70.0,70.0,0.0,0.0,0,false,
MDA_5187_HBGLOB_2020,HBGLOB,HB Global Limited,2020,true,true,32.5,32.5,0.0,0.0,0,false,
MDA_2658_AJI_2020,AJI,Ajinomoto,2020,true,true,23.75,23.75,0.0,0.0,0,false,
MDA_2658_AJI_2021,AJI,Ajinomoto,2021,true,true,26.25,26.25,0.0,0.0,0,false,
MDA_2658_AJI_2022,AJI,Ajinomoto,2022,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_2836_CARLSBG_2023,CARLSBG,Carlsberg Brewery Malaysia Berhad,2023,true,true,31.25,31.25,0.0,0.0,0,false,
MDA_2836_CARLSBG_2024,CARLSBG,Carlsberg Brewery Malaysia Berhad,2024,true,true,31.25,31.25,0.0,0.0,0,false,
