case_id,document_id,doc_type,ticker,company_name,year_or_publish_date,issue_type,severity,score_impact,rank_impact,dimension_affected,recommended_action,source_file
HV_0001,MDA_0212_SDS_2024,mda,SDS,SDSG,2024,weight_rank_change_gt_10,medium,3.75,13,,manual_review,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/mda_weight_sensitivity_scores.csv
HV_0002,MDA_2828_CIHLDG_2024,mda,CIHLDG,CIHB,2024,weight_rank_change_gt_10,medium,3.75,11,,manual_review,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/mda_weight_sensitivity_scores.csv
HV_0003,MDA_3689_FN_2020,mda,FN,FNHB,2020,weight_rank_change_gt_10,medium,2.5,12,,manual_review,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/mda_weight_sensitivity_scores.csv
HV_0004,NEWS_AJI_2025_10_31_7b3ecf05e3,news,AJI,Ajinomoto,2025-10-31,weight_rank_change_gt_10,medium,2.5,15,,manual_review,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/news_weight_sensitivity_scores.csv
HV_0005,NEWS_CARLSBG_2025_06_26_768e2d1e41,news,CARLSBG,Carlsberg Brewery Malaysia Berhad,2025-06-26,weight_rank_change_gt_10,medium,2.5,15,,manual_review,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/news_weight_sensitivity_scores.csv
HV_0006,NEWS_NESTLE_2025_11_21_f9fe7d9520,news,NESTLE,Nestle Malaysia Berhad,2025-11-21,weight_rank_change_gt_10,medium,2.5,12,,manual_review,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/news_weight_sensitivity_scores.csv
HV_0007,NEWS_NESTLE_2025_10_30_ab42e593ff,news,NESTLE,Nestle Malaysia Berhad,2025-10-30,weight_rank_change_gt_10,medium,2.5,15,,manual_review,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/news_weight_sensitivity_scores.csv
HV_0008,NEWS_NESTLE_2025_10_30_6eec010fdf,news,NESTLE,Nestle Malaysia Berhad,2025-10-30,weight_rank_change_gt_10,medium,2.5,15,,manual_review,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/news_weight_sensitivity_scores.csv
HV_0009,NEWS_NESTLE_2024_10_25_53b1895f8b,news,NESTLE,Nestle Malaysia Berhad,2024-10-25,weight_rank_change_gt_10,medium,2.5,15,,manual_review,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/news_weight_sensitivity_scores.csv
HV_0010,MDA_0012_3A_2020,mda,3A,Three-A Resources Berhad,2020,version_comparison_abs_diff_gt_10,high,21.25,,,manual_review,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/mda_version_comparison.csv
HV_0011,MDA_0012_3A_2020,mda,3A,Three-A Resources Berhad,2020,version_comparison_max_dimension_diff_ge_2,medium,21.25,,AR05,check_text_extraction,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/mda_version_comparison.csv
HV_0012,MDA_0012_3A_2021,mda,3A,Three-A Resources Berhad,2021,version_comparison_abs_diff_gt_10,high,16.25,,,manual_review,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/mda_version_comparison.csv
HV_0013,APOLLO_2025,news,APOLLO,Apollo,2025,news_aggregation_score_range_gt_10,high,14.375,,,check_news_source,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/news_company_year_aggregation_stability.csv
HV_0014,NESTLE_2024,news,NESTLE,Nestle Malaysia Berhad,2024,news_aggregation_score_range_gt_10,high,21.875,,,check_news_source,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/news_company_year_aggregation_stability.csv
HV_0015,NESTLE_2025,news,NESTLE,Nestle Malaysia Berhad,2025,news_aggregation_score_range_gt_10,high,17.5,,,check_news_source,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/news_company_year_aggregation_stability.csv
HV_0016,PPB_2024,news,PPB,PPB Group Berhad,2024,news_aggregation_score_range_gt_10,high,10.304487,,,check_news_source,/Users/zhaojiahao/Desktop/马来西亚F&B年报（49）/06_scoring/11_stability_analysis/outputs/news_company_year_aggregation_stability.csv
