document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_0212_SDS_2024,REMOVED_001,Unknown,L30,"Analysis of our Annual Report 2024,",,remove_header_footer,1,header_footer,medium
MDA_0212_SDS_2024,REMOVED_002,Unknown,L49,ANNUAL REPORT 2024,,remove_header_footer,1,header_footer,medium
MDA_0212_SDS_2024,REMOVED_003,Unknown,L53,ANNUAL REPORT 2024,,remove_header_footer,1,header_footer,medium
MDA_0212_SDS_2024,REMOVED_004,Unknown,L115,ANNUAL REPORT 2024,,remove_header_footer,1,header_footer,medium
MDA_0212_SDS_2024,REMOVED_005,Unknown,L225,ANNUAL REPORT 2024,,remove_header_footer,1,header_footer,medium
MDA_0212_SDS_2024,REMOVED_006,Unknown,L288,ANNUAL REPORT 2024,,remove_header_footer,1,header_footer,medium
MDA_0212_SDS_2024,REMOVED_007,Unknown,L327,ANNUAL REPORT 2024,,remove_header_footer,1,header_footer,medium
MDA_0212_SDS_2024,REMOVED_008,Unknown,L405,ANNUAL REPORT 2024,,remove_header_footer,1,header_footer,medium
MDA_0212_SDS_2024,MDA_P001,Unknown,B001,"[MDA_P001] Management Discussion and Analysis The Group successfully registered a revenue of RM324.1 million in FY2024, marking an increase of 14.2% over the revenue of RM283.7 million in FY2023. OVERVIEW he financial year ended 31 March 2024 (“FY2024”) proved challenging, despite the expectations o","[MDA_P001] Management Discussion and Analysis The Group successfully registered a revenue of RM324.1 million in FY2024, marking an increase of 14.2% over the revenue of RM283.7 million in FY2023. OVERVIEW he financial year ended 31 March 2024 (“FY2024”) proved challenging, despite the expectations of the economy accelerating rapidly forward in the pandemic recovery era. Nonetheless, SDS Group Berhad and its subsidiaries (“SDS” or “the Group”) have achieved yet another year of commendable performance. In FY2024, the Group successfully registered a revenue of RM324.1 million, marking an increase of 14.2% over the revenue of RM283.7 million in FY2023. This is attributable to the Group’s business agility and resilience in rising to meet the challenges head-on, driven by the commitment and dedication of our SDS team members. It is with great pleasure that we present to you the Management Discussion and which will provide a brief review of the business and operational performance of SDS for FY2024 while setting out an overview of our plans and prospects for the coming years.",normalize_whitespace;renumber_paragraph,0,,high
MDA_0212_SDS_2024,MDA_P002,Unknown,B002,"[MDA_P002] This discussion should be read in conjunction with the Group’s audited financial statements in the later section of this annual report. This is attributable to the Group’s business agility and resilience in rising to meet the challenges head-on, driven by the commitment and dedication of ","[MDA_P002] This discussion should be read in conjunction with the Group’s audited financial statements in the later section of this annual report. This is attributable to the Group’s business agility and resilience in rising to meet the challenges head-on, driven by the commitment and dedication of our SDS team members. T SDS GROUP BERHAD",normalize_whitespace;renumber_paragraph,0,,high
MDA_0212_SDS_2024,MDA_P003,Unknown,B003,"[MDA_P003] SDS GROUP BERHAD DOMESTIC REVIEW he global economic situation weighed significantly on Malaysia’s economy which was already impacted by the increased inflation, unemployment and shrinking incomes. To manage the erosion of the ringgit and growing inflation, Bank Negara Malaysia remained re","[MDA_P003] SDS GROUP BERHAD DOMESTIC REVIEW he global economic situation weighed significantly on Malaysia’s economy which was already impacted by the increased inflation, unemployment and shrinking incomes. To manage the erosion of the ringgit and growing inflation, Bank Negara Malaysia remained resolute in maintaining the overnight policy rate (“OPR”) at 3.00% for much of the financial year 2024. Malaysia’s overall economic performance fluctuated in 2023, with the Gross Domestic Product recording 3.7%, a sharp fall from 8.7% in the previous year. Adding to this is the weakening of the Malaysian ringgit to as low as RM4.70 to the US dollar in December 2023. Malaysia’s economy experienced a slowdown due to weakened external demand and a reduction in commodity production, affecting the local market purchasing power. Compounding this was the impact on the business’s supply chain, higher costs of raw materials, ingredient costs as well as pricing of products. Notwithstanding this, there has been a gradual uptrend in the local operating environment, with business travel and international and domestic tourism taking off.",normalize_whitespace;renumber_paragraph,0,,high
