document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_2658_AJI_2022,REMOVED_001,Unknown,L138,AJINOMOTO (MALAYSIA) BERHAD 196101000252 (4295-W) | ANNUAL REPORT 2022,,remove_header_footer,1,header_footer,medium
MDA_2658_AJI_2022,REMOVED_002,Unknown,L379,AJINOMOTO (MALAYSIA) BERHAD 196101000252 (4295-W) | ANNUAL REPORT 2022,,remove_header_footer,1,header_footer,medium
MDA_2658_AJI_2022,REMOVED_003,Unknown,L382,AJINOMOTO (MALAYSIA) BERHAD 196101000252 (4295-W) | ANNUAL REPORT 2022,,remove_header_footer,1,header_footer,medium
MDA_2658_AJI_2022,MDA_P001,Unknown,B001,"[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Our Business History & Milestone Ajinomoto (Malaysia) Berhad (“the Company”) was established in 1961 as distributor of AJI-NO-MOTO® monosodium glutamate (“MSG”) for Ajinomoto Co., Inc., Japan. In 1965, the Company commenced production of MSG at its current","[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Our Business History & Milestone Ajinomoto (Malaysia) Berhad (“the Company”) was established in 1961 as distributor of AJI-NO-MOTO® monosodium glutamate (“MSG”) for Ajinomoto Co., Inc., Japan. In 1965, the Company commenced production of MSG at its current factory under the AJI-NO-MOTO® brand. The Company is one of the very first Japanese companies to be set up in Malaysia and has since established itself as a responsible and reputable food manufacturer and distributor for a variety of food seasoning products that is trusted by consumers for decades. In 1965, the Company was recognised and approved as a Halal Food Manufacturer by the Department of Islamic Development Malaysia (JAKIM) and has since maintained this certification. On 23rd November 2021 the Company was awarded “The Best Malaysian Halal Certificate Holder” Award under the Large Industry Category by JAKIM at the National Halal Conference 2021. The Company will be relocating to its state-of-the-art new factory in Taman Enstek Halal Hub in Negeri Sembilan by the end of this year.",normalize_whitespace;renumber_paragraph,0,,high
MDA_2658_AJI_2022,MDA_P002,Unknown,B002,[MDA_P002] Inauguration of Effluent Treatment Management (SALAM) Corporate name was changed to Ajinomoto (Malaysia) Sdn Bhd Company name was changed to Ajinomoto (Malaysia) Berhad as the public company Commencement of “AJI-NO-MOTO” plant operation Awarded HALAL Certification Establishment of ASEAN A,"[MDA_P002] Inauguration of Effluent Treatment Management (SALAM) Corporate name was changed to Ajinomoto (Malaysia) Sdn Bhd Company name was changed to Ajinomoto (Malaysia) Berhad as the public company Commencement of “AJI-NO-MOTO” plant operation Awarded HALAL Certification Establishment of ASEAN Application Centre Launch of “AJI-SHIO” Table Topping Seasoning • Launch of “PAL SWEET” Sweetener • Launch of Hydrolysed Vegetable Protein (HVP) Powder Launch of “AJI-PLUS” Blended Flavour Enhancer Launch of “AJI-MIX” Blended Seasoning Awarded ISO 9001 Certification Launch of “TUMIX” Stock Seasoning • Launch of “VONO” Instant Soup • Launch of “ACTIVA” TG Series Awarded OSHAS 18001 Certification 50th Anniversary of Ajinomoto (Malaysia) Berhad Establishment of Chicken Meat Powder Plant Hydrolysed Vegetable Protein (HVP) process improvement Launch of “SERI-AJI” Menu Specific Seasoning Launch of “Slim Up” Sweetener Awarded HACCP Certification Awarded ISO 14001 Certification Launch of “Ajinomoto Brand” Chicken Stock Launch of “AJI-AROMA” Flavour Enhancing Seasoning Establishment of Ajinomoto (Malaya) Co., Ltd Launch of “AJI-EKI” (Hydrolysed Vegetable Protein Liquid) • Establishment of Production 2 (seasonings and food production line) factory • Launch of “AJIMATE” Taste Enhancing Seasoning • Awarded “AJI-NO-MOTO” Product Certification • Launch ""Rasa Sifu"" All in One Seasoning • Launch ""aminoVITAL"" Jellly Flavoured Drink with Amino Acids • Launch of Seri-Aji® Fritter Seasoned Flour • Launch of Seri-Aji® Banana Fritter Flour",normalize_whitespace;renumber_paragraph,0,,high
MDA_2658_AJI_2022,MDA_P003,Unknown,B003,"[MDA_P003] Our Policy The Company is fully committed to continue to be a global customer-centric halal food manufacturing company and uphold Ajinomoto Group’s pursuit of wellness and healthy living for the global community so that all can “Eat Well, Live Well”. It is the Company’s policy to consiste","[MDA_P003] Our Policy The Company is fully committed to continue to be a global customer-centric halal food manufacturing company and uphold Ajinomoto Group’s pursuit of wellness and healthy living for the global community so that all can “Eat Well, Live Well”. It is the Company’s policy to consistently develop and distribute high quality and safe food products that meet consumers’ needs and satisfaction, and at the same time ensure compliance with international and local laws and regulations for food manufacturing. As an exemplary corporate citizen and responsible employer, the Company remains steadfast in conserving the environment, an integral component of the business ecosystem, and is committed to providing a safe and healthy working environment for all its employees. In creating sustainable value for our shareholders and other stakeholders, the Company’s business decisions will therefore be guided by Profits, People and Planet (3 Ps). Product Range Consumer Products In the past 60 years, the Company has continually develop and launch new products to meet consumer needs and expectations.",normalize_whitespace;renumber_paragraph,0,,high
MDA_2658_AJI_2022,MDA_P004,Unknown,B004,"[MDA_P004] Our current range of Umami seasoning and food products, besides MSG, includes chicken stock, all-inone seasoning, menu seasoning, pepper, sweetener and flavoured drink with amino acids. The Company continues to engage with consumers through popular social media platforms and monitor emerg","[MDA_P004] Our current range of Umami seasoning and food products, besides MSG, includes chicken stock, all-inone seasoning, menu seasoning, pepper, sweetener and flavoured drink with amino acids. The Company continues to engage with consumers through popular social media platforms and monitor emerging trends and needs for a sustainable future. Recent engagement through social media includes the placement of “Hi Ajinomoto MY” page on both Facebook and Instagram and the Company’s interactive and educational live streaming programme in order to touch base with Malaysian families and communities. Industrial and Food Service Products The Company manufactures a wide range of taste and flavour enhancing products as well as binders and texture improvers for the food manufacturing and food industries, which are marketed under the names TENCHO and ACTIVA®. These products are widely used in various processed food such as instant noodles, soups, snacks, sauces, dairy products, processed meat and seafood. M-2000 1kg PROD DATE EXP DATE LOT NO. : : : 07/05/2018 06/05/2019 JT8222 S/N : 00001 MS1500:2009 1092-02/2004 Cautions : Hygroscopic product.",normalize_whitespace;renumber_paragraph,0,,high
MDA_2658_AJI_2022,MDA_P005,Unknown,B005,"[MDA_P005] Please store in cool dry place, away from direct sunlight and aromatic materials. Manufactured by: AJINOMOTO (MALAYSIA) BERHAD (4295-W) Lot 5710, Jalan Kuchai Lama, Petaling, 58200 Kuala Lumpur, Malaysia. Tel: +603-7980 6958 Fax: +603-7980 6817 URL: http://www.ajinomoto.com.my M-CHICKEN F","[MDA_P005] Please store in cool dry place, away from direct sunlight and aromatic materials. Manufactured by: AJINOMOTO (MALAYSIA) BERHAD (4295-W) Lot 5710, Jalan Kuchai Lama, Petaling, 58200 Kuala Lumpur, Malaysia. Tel: +603-7980 6958 Fax: +603-7980 6817 URL: http://www.ajinomoto.com.my M-CHICKEN FB 1kg PROD DATE EXP DATE LOT NO. : : : 07/05/2018 06/05/2019 JT8222 S/N : 00001 MS1500:2009 1092-02/2004 Cautions : Hygroscopic product. Please store in cool dry place, away from direct sunlight and aromatic materials. Manufactured by: AJINOMOTO (MALAYSIA) BERHAD (4295-W) Lot 5710, Jalan Kuchai Lama, Petaling, 58200 Kuala Lumpur, Malaysia. Tel: +603-7980 6958 Fax: +603-7980 6817 URL: http://www.ajinomoto.com.my M-SUPER P 1kg PROD DATE EXP DATE LOT NO. : : : 07/05/2018 06/05/2019 JT8222 S/N : 00001 Cautions : Hygroscopic product. Please store in cool dry place, away from direct sunlight and aromatic materials. Manufactured by: AJINOMOTO (MALAYSIA) BERHAD (4295-W) Lot 5710, Jalan Kuchai Lama, Petaling, 58200 Kuala Lumpur, Malaysia. Tel: +603-7980 6958 Fax: +603-7980 6817 URL: http://www.ajinomoto.com.my MS1500:2009 1092-02/2004 M-SUPER KMI 1kg PROD DATE EXP DATE LOT NO.",normalize_whitespace;renumber_paragraph,0,,high
MDA_2658_AJI_2022,MDA_P006,Unknown,B006,"[MDA_P006] : : : 07/05/2018 06/05/2019 JT8222 S/N : 00001 Cautions : Hygroscopic product. Please store in cool dry place, away from direct sunlight and aromatic materials. Manufactured by: AJINOMOTO (MALAYSIA) BERHAD (4295-W) Lot 5710, Jalan Kuchai Lama, Petaling, 58200 Kuala Lumpur, Malaysia. Tel: ","[MDA_P006] : : : 07/05/2018 06/05/2019 JT8222 S/N : 00001 Cautions : Hygroscopic product. Please store in cool dry place, away from direct sunlight and aromatic materials. Manufactured by: AJINOMOTO (MALAYSIA) BERHAD (4295-W) Lot 5710, Jalan Kuchai Lama, Petaling, 58200 Kuala Lumpur, Malaysia. Tel: +603-7980 6958 Fax: +603-7980 6817 URL: http://www.ajinomoto.com.my MS1500:2009 1092-02/2004 TG-SR-MH 1kg 07/05/2018 06/05/2019 JT8222 S/N : 00001 Cautions: * Avoid direct contact with eyes or skin through splashing.",normalize_whitespace;renumber_paragraph,0,,high
MDA_2658_AJI_2022,MDA_P007,Unknown,B007,"[MDA_P007] * Where necessary, wear such protective items as impermeable","[MDA_P007] * Where necessary, wear such protective items as impermeable",normalize_whitespace;renumber_paragraph,0,,high
MDA_2658_AJI_2022,MDA_P008,Unknown,B008,"[MDA_P008] gloves, a dustproof mask and dustproof spectacles.","[MDA_P008] gloves, a dustproof mask and dustproof spectacles.",normalize_whitespace;renumber_paragraph,0,,high
MDA_2658_AJI_2022,MDA_P009,Unknown,B009,[MDA_P009] * Inhalation or contact with the body may trigger an allergic,[MDA_P009] * Inhalation or contact with the body may trigger an allergic,normalize_whitespace;renumber_paragraph,0,,high
MDA_2658_AJI_2022,MDA_P010,Unknown,B010,[MDA_P010] reaction or asthma attack.,[MDA_P010] reaction or asthma attack.,normalize_whitespace;renumber_paragraph,0,,high
