document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_5008_HARISON_2023,REMOVED_001,Unknown,L125,ANNUAL REPORT 2023,,remove_header_footer,1,header_footer,medium
MDA_5008_HARISON_2023,REMOVED_002,Unknown,L273,ANNUAL REPORT 2023,,remove_header_footer,1,header_footer,medium
MDA_5008_HARISON_2023,MDA_P001,Unknown,B001,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P002,Business Review,B003,"[MDA_P003] Harrisons' income is mainly derived from the marketing, sales, warehousing and distribution of consumer, building materials and engineering products, fine wines, agricultural and industrial chemicals, and the operation of shipping/logistics, travel agencies and retailing. These businesses","[MDA_P003] Harrisons' income is mainly derived from the marketing, sales, warehousing and distribution of consumer, building materials and engineering products, fine wines, agricultural and industrial chemicals, and the operation of shipping/logistics, travel agencies and retailing. These businesses are conducted as follows:",normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P003,Business Review,B004,"[MDA_P004] a. In East Malaysia, Harrisons Sabah Sdn. Bhd. and Harrisons Sarawak Sdn. Bhd. are involved in the marketing, sales, warehousing and distribution of fast-moving consumer goods, building materials, engineering products and agricultural chemicals as well as the operation of shipping and tra","[MDA_P004] a. In East Malaysia, Harrisons Sabah Sdn. Bhd. and Harrisons Sarawak Sdn. Bhd. are involved in the marketing, sales, warehousing and distribution of fast-moving consumer goods, building materials, engineering products and agricultural chemicals as well as the operation of shipping and travel agencies; and",normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P004,Business Review,B005,"[MDA_P005] b. In Peninsular Malaysia, Harrisons Peninsular Sdn. Bhd. and Harrisons Marketing & Services Sdn. Bhd. are involved in the marketing, sales, warehousing and distribution of building materials, industrial and agricultural chemicals, and import and distribution of fine wines as well as the ","[MDA_P005] b. In Peninsular Malaysia, Harrisons Peninsular Sdn. Bhd. and Harrisons Marketing & Services Sdn. Bhd. are involved in the marketing, sales, warehousing and distribution of building materials, industrial and agricultural chemicals, and import and distribution of fine wines as well as the freight forwarding and shipping.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P005,Business Review,B006,"[MDA_P006] Presently, Harrisons has over 400 principals, and distributes approximately 13,000 product items to over 15,000 accounts spread all over Malaysia. The Group operates a total network of 27 branches and 47 warehouses strategically located throughout Malaysia (13 in Peninsular, 9 in Sabah an","[MDA_P006] Presently, Harrisons has over 400 principals, and distributes approximately 13,000 product items to over 15,000 accounts spread all over Malaysia. The Group operates a total network of 27 branches and 47 warehouses strategically located throughout Malaysia (13 in Peninsular, 9 in Sabah and 5 in Sarawak) and is supported by over 1,900 employees.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P006,Business Review,B007,"[MDA_P007] c. In Singapore, our subsidiaries The Famous Amos Chocolate Chip Cookie Singapore Pte. Ltd. wholesale and retails the Famous Amos Cookies and Watts Harrisons Sdn. Bhd. wholesale the Komonoya brand products with uniform prices.","[MDA_P007] c. In Singapore, our subsidiaries The Famous Amos Chocolate Chip Cookie Singapore Pte. Ltd. wholesale and retails the Famous Amos Cookies and Watts Harrisons Sdn. Bhd. wholesale the Komonoya brand products with uniform prices.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P007,Business Review,B008,[MDA_P008] Objectives and Strategies,[MDA_P008] Objectives and Strategies,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P008,Business Review,B009,"[MDA_P009] Harrisons’ objective is to focus on its core strength of marketing and distribution, and to maintain its position as one of the leading distributors in Malaysia. The Group will continue to expand the sales of the Fast-Moving Consumer Goods and Building Materials by securing new agencies o","[MDA_P009] Harrisons’ objective is to focus on its core strength of marketing and distribution, and to maintain its position as one of the leading distributors in Malaysia. The Group will continue to expand the sales of the Fast-Moving Consumer Goods and Building Materials by securing new agencies of good quality products and to grow its customer base in East and West Malaysia.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P009,Financial Review,B011,[MDA_P011] Revenue,[MDA_P011] Revenue,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P010,Financial Review,B012,[MDA_P012] Changes Growth,[MDA_P012] Changes Growth,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P011,Financial Review,B013,[MDA_P013] RM’000 RM’000 RM’000 %,[MDA_P013] RM’000 RM’000 RM’000 %,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P012,Financial Review,B014,[MDA_P014] Fast-Moving Consumer Goods,[MDA_P014] Fast-Moving Consumer Goods,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P013,Financial Review,B015,"[MDA_P015] 1,744,827 1,750,798 (5,971) -0.34 Building Materials and Engineering Products","[MDA_P015] 1,744,827 1,750,798 (5,971) -0.34 Building Materials and Engineering Products",normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P014,Financial Review,B016,"[MDA_P016] 407,411 312,724 94,687 30.28 Industrial and Agricultural Chemical Products","[MDA_P016] 407,411 312,724 94,687 30.28 Industrial and Agricultural Chemical Products",normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P015,Financial Review,B017,"[MDA_P017] 49,863 55,514 (5,651) -10.18 Retailing","[MDA_P017] 49,863 55,514 (5,651) -10.18 Retailing",normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P016,Financial Review,B018,"[MDA_P018] 40,595 37,445 3,150 8.41 Shipping and Others","[MDA_P018] 40,595 37,445 3,150 8.41 Shipping and Others",normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P017,Financial Review,B019,"[MDA_P019] 14,381 17,634 (3,253) -18.45","[MDA_P019] 14,381 17,634 (3,253) -18.45",normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P018,Financial Review,B020,[MDA_P020] ────── ────── ────── ────,[MDA_P020] ────── ────── ────── ────,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P019,Financial Review,B021,"[MDA_P021] 2,257,077 2,174,115 82,962 3.82","[MDA_P021] 2,257,077 2,174,115 82,962 3.82",normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P020,Financial Review,B022,[MDA_P022] ══════ ══════ ══════ ════,[MDA_P022] ══════ ══════ ══════ ════,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P021,Financial Review,B023,"[MDA_P023] Revenue increased from RM2.17 billion in FY2022 to RM2.26 billion in FY2023. The increase is mainly due to increase in cement sales in the Building Materials and Engineering Products Division. Cement sales was driven by tight supplies, rising demands and price increases in Peninsular duri","[MDA_P023] Revenue increased from RM2.17 billion in FY2022 to RM2.26 billion in FY2023. The increase is mainly due to increase in cement sales in the Building Materials and Engineering Products Division. Cement sales was driven by tight supplies, rising demands and price increases in Peninsular during FY2023.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P022,Financial Review,B024,[MDA_P024] Sales of our Fast-Moving Consumer Goods declined slightly by 0.34% due to decrease in sales of certain agencies and rationalisation of certain products range/agencies of our Fast Moving-Consumer Goods products. Sales of our Industrial and Agriculture Chemical products decreased by 10.18% ,[MDA_P024] Sales of our Fast-Moving Consumer Goods declined slightly by 0.34% due to decrease in sales of certain agencies and rationalisation of certain products range/agencies of our Fast Moving-Consumer Goods products. Sales of our Industrial and Agriculture Chemical products decreased by 10.18% as overall demand and selling price soften in FY2023.,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P023,Financial Review,B025,[MDA_P025] MANAGEMENT DISCUSSION AND ANALYSIS,[MDA_P025] MANAGEMENT DISCUSSION AND ANALYSIS,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P024,Financial Review,B026,[MDA_P026] HARRISONS HOLDINGS (MALAYSIA) BERHAD MANAGEMENT DISCUSSION AND ANALYSIS (CONTINUED),[MDA_P026] HARRISONS HOLDINGS (MALAYSIA) BERHAD MANAGEMENT DISCUSSION AND ANALYSIS (CONTINUED),normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P025,Financial Review,B027,[MDA_P027] Sales in the Retailing Segment increased by 8.41% as selling price of the Famous Amos Cookies in Singapore increased following increase in ingredient costs.,[MDA_P027] Sales in the Retailing Segment increased by 8.41% as selling price of the Famous Amos Cookies in Singapore increased following increase in ingredient costs.,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P026,Financial Review,B028,[MDA_P028] Revenue for the Shipping and Others Segment decreased by 18.45% due to lower commissions earned as container handling and freight commissions declined following overall decline in shipping activities in Sabah.,[MDA_P028] Revenue for the Shipping and Others Segment decreased by 18.45% due to lower commissions earned as container handling and freight commissions declined following overall decline in shipping activities in Sabah.,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P027,Financial Review,B029,[MDA_P029] Gross Profit,[MDA_P029] Gross Profit,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P028,Financial Review,B030,[MDA_P030] Gross Profit increased from RM254.15 million in FY2022 to RM263.52 million in FY2023. Gross Profit Margin in FY2023 was flat at 11.68% compared to FY2022. Our sales of FMCG was down by 0.3% but our Building Materials sales grew by 30%. The Gross Profit Margin of our cement is lower than t,[MDA_P030] Gross Profit increased from RM254.15 million in FY2022 to RM263.52 million in FY2023. Gross Profit Margin in FY2023 was flat at 11.68% compared to FY2022. Our sales of FMCG was down by 0.3% but our Building Materials sales grew by 30%. The Gross Profit Margin of our cement is lower than that of our FMCG.,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P029,Financial Review,B031,[MDA_P031] Profit Before Taxation,[MDA_P031] Profit Before Taxation,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P030,Financial Review,B032,[MDA_P032] The Group Profit Before Taxation for FY2023 of RM89.52 million as compared to RM89.88 million. Administrative expenses increased by RM9.22 million for FY2023 as compared to FY2022 as there was a reversal of allowance for loss of trade receivables of RM5.4 million in FY2022. Interest expen,[MDA_P032] The Group Profit Before Taxation for FY2023 of RM89.52 million as compared to RM89.88 million. Administrative expenses increased by RM9.22 million for FY2023 as compared to FY2022 as there was a reversal of allowance for loss of trade receivables of RM5.4 million in FY2022. Interest expense increased by RM1.77 million as Overnight Policy Rate (OPR) increased 0.25% for the year.,normalize_whitespace;renumber_paragraph,0,,high
MDA_5008_HARISON_2023,MDA_P031,Financial Review,B033,[MDA_P033] Profit After Taxation,[MDA_P033] Profit After Taxation,normalize_whitespace;renumber_paragraph,0,,high
