document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_5157_SG_2022,REMOVED_001,Unknown,L105,ANNUAL REPORT 2022,,remove_header_footer,1,header_footer,medium
MDA_5157_SG_2022,REMOVED_002,Unknown,L179,ANNUAL REPORT 2022,,remove_header_footer,1,header_footer,medium
MDA_5157_SG_2022,REMOVED_003,Unknown,L306,ANNUAL REPORT 2022,,remove_header_footer,1,header_footer,medium
MDA_5157_SG_2022,REMOVED_004,Unknown,L362,ANNUAL REPORT 2022,,remove_header_footer,1,header_footer,medium
MDA_5157_SG_2022,REMOVED_005,Unknown,L425,ANNUAL REPORT 2022,,remove_header_footer,1,header_footer,medium
MDA_5157_SG_2022,MDA_P001,Unknown,B001,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Introduction The summary of the results of SAUDEE and its subsidiaries (“Group”) for the past two (2) financial years ended 31 July 2021 (“FYE 2021”) to FYE 2022 as summarised below:- FYE 2022 FYE 2021 01.08.2021 to 31.07.2022 01.08.2020 to 31.07.2021 KEY ,"[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Introduction The summary of the results of SAUDEE and its subsidiaries (“Group”) for the past two (2) financial years ended 31 July 2021 (“FYE 2021”) to FYE 2022 as summarised below:- FYE 2022 FYE 2021 01.08.2021 to 31.07.2022 01.08.2020 to 31.07.2021 KEY RESULTS Revenue (RM’000) 96,880 80,779 Loss before tax (“LBT”) (RM’000) (3,960) (4,465) Loss after tax (“LAT”) (RM’000) (4,406) (4,373) Earnings/(Loss) before interest, taxes, depreciation and amortisation (“EBITDA”) (RM’000) 1,262 1,214 OTHER KEY DATA Total assets (RM’000) 149,579 141,319 Total liabilities (RM’000) 12,366 16,273 Share capital (RM’000) 162,816 146,234 Shareholders’ funds (RM’000) 137,214 125,046 FINANCIAL RATIOS Return on shareholders’ funds (%) (0.03) (0.01) Current ratio (Times) 8.80 7.20 Debts to equity ratio (Times) 0.01 0.01 Weighted average number of shares (‘000) 902,141 298,412 Net loss per Share (Sen) (0.49) (1.47) Net assets per Share (RM) 0.15 0.47 The purpose of this review is to highlight and provide brief insight on the key financial and operating information at the Group level. This review and comparison is for the FYE 2022 against FYE 2021 results.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5157_SG_2022,MDA_P002,Unknown,B002,"[MDA_P002] Analysis of Revenue FYE 2022 FYE 2021 (RM’000) (RM’000) Manufacturing-further process products (“FPP”) 64,219 49,432 Food Service (HORECA and OEM) 16,709 13,013 Trading products 15,952 18,334 96,880 80,779 96,880 80,779 Our Group’s total revenue for FYE 2022 stands at RM96.9 million an in","[MDA_P002] Analysis of Revenue FYE 2022 FYE 2021 (RM’000) (RM’000) Manufacturing-further process products (“FPP”) 64,219 49,432 Food Service (HORECA and OEM) 16,709 13,013 Trading products 15,952 18,334 96,880 80,779 96,880 80,779 Our Group’s total revenue for FYE 2022 stands at RM96.9 million an increase by RM16.1 million as compared to RM80.8 million in FYE 2021 due to the following reasons: i) Improved FPP sales during the 2nd half of the FYE 2022 sales increase in FPP segment by RM14.8 million and Food service segment of RM3.7 million. This was mainly due to the continued trends of consumer behavior for frozen FPP products as it can be kept for longer period, and ii) However, this improvement has been set off against the slow demand in trading activities of RM2.4 million. As the demand for trading products is reducing as a result of uncertainty in beef and chicken pricing in Malaysia . SAUDEE GROUP BERHAD 200801036832 (838172-P)",normalize_whitespace;renumber_paragraph,0,,high
MDA_5157_SG_2022,MDA_P003,Unknown,B003,[MDA_P003] MANAGEMENT DISCUSSION & ANALYSIS (CONT’D) Analysis of Revenue (Cont'd) The Management will continue to improve its production efficiency and increase its production capacity to capture a bigger market share in the FPP segment which has catered more sales and increase the market for East M,"[MDA_P003] MANAGEMENT DISCUSSION & ANALYSIS (CONT’D) Analysis of Revenue (Cont'd) The Management will continue to improve its production efficiency and increase its production capacity to capture a bigger market share in the FPP segment which has catered more sales and increase the market for East Malaysia, i.e. Sabah and Sarawak. As during the financial under review, the Company investing into expand its production capacity that able to produce more in FPP products and meet the demand of local and East Malaysia market. The Management continued to put effort in monitoring its cash flow management and cost reduction programme that is important in view of the ever-changing business environment after Covid-19 impact and in future years.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5157_SG_2022,MDA_P004,Unknown,B004,"[MDA_P004] Analysis of Profit/(Loss) FYE 2022 FYE 2021 01.08.2021 to 31.07.2022 01.08.2020 to 31.07.2021 Analysis of Profit and expenses : Loss Loss before tax (RM’000) (3,960) (4,465) Loss after tax (RM’000) (4,406) (4,373) Earning before interest, taxes, depreciation and amortisation (“EBITDA”) (R","[MDA_P004] Analysis of Profit/(Loss) FYE 2022 FYE 2021 01.08.2021 to 31.07.2022 01.08.2020 to 31.07.2021 Analysis of Profit and expenses : Loss Loss before tax (RM’000) (3,960) (4,465) Loss after tax (RM’000) (4,406) (4,373) Earning before interest, taxes, depreciation and amortisation (“EBITDA”) (RM’000) 1,262 1,214 Expenses Cost of goods sold (“COGS”) (RM’000) 79,058 71,419 Administrative and selling expenses (RM’000) 24,502 13,459 Finance costs (RM’000) 1,294 The slight improvement in EBITDA was mainly due to the improvement in revenue and effect from the continuing cost reduction programme implemented. However, this positive impact was mitigated by the fair value loss on other investments amounting to RM7.19 million. The loss is not incurred any outflow of actual fund. The actual EBITDA excluded this fair value loss on other investment should be RM8.45 million as compare to RM1.2 million in FY 2021. Therefore, due to the above recognition of fair value loss, for FYE 2022, the Group recorded LAT of RM4.4 million as compared to LAT of RM4.4 million in FYE 2021. The slight increase in LAT mainly due to fair value loss on other investments in FY 2022, while there was none in FY 2021.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5157_SG_2022,MDA_P005,Unknown,B005,"[MDA_P005] The actual LAT excluded fair value loss on other investments should be a Profit After Tax (""PAT"") of RM2.8 million in FY 2022 as compared to LAT of RM4.4 million in FY 2021. The adjusted PAT of RM2.8 million recorded is contributed by the effort of the management team which continues to i","[MDA_P005] The actual LAT excluded fair value loss on other investments should be a Profit After Tax (""PAT"") of RM2.8 million in FY 2022 as compared to LAT of RM4.4 million in FY 2021. The adjusted PAT of RM2.8 million recorded is contributed by the effort of the management team which continues to implement cost efficiency and reduction programmes and the good strategy by management to concentrate on the FPP instead of HORECA in FY 2022. Even though the Group recorded LAT of RM4.4 million during FYE 2022, the Group was still able to repay its payables that is further discussed in the analysis on cash flow. Analysis of Expenses Our Group’s COGS increased by RM7.6 million or 10.7% from RM71.4 million in FYE 2021 to RM79.1 million in FYE 2022. The reason for the decrease in COGS was mainly due increase in revenue by RM16.1million in FYE 2022. Furthermore, the GP margin for FY2022 of 18.4% improved by 6.8% for as compared to FY2021 of 11.6%. This mainly due to continuing cost reduction and improved in efficiency of production year to year implemented by the management.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5157_SG_2022,MDA_P006,Unknown,B006,"[MDA_P006] Our Group’s administrative and selling expenses comprised mainly of marketing cost such as promotion expenses, listing of products cost, sales commissions, salaries and etc. The Group’s administrative and selling expenses increased by RM11.0 million or 80.7% from RM13.5 million in FYE 202","[MDA_P006] Our Group’s administrative and selling expenses comprised mainly of marketing cost such as promotion expenses, listing of products cost, sales commissions, salaries and etc. The Group’s administrative and selling expenses increased by RM11.0 million or 80.7% from RM13.5 million in FYE 2021 to RM24.5 million in FYE 2022. The increase was mainly charge out of fair value loss on other investment of RM7.2 million and also promotion taken place in FY2022 for promoting Saudee Brand to Local and East Malaysia market which amounting to RM2 million. Most of the promotion and marketing cost involve in sales personnel remuneration and promotion activities for online and brand awareness activities. This activities carried out after post pandemic i.e 2nd half of FY2022. However, the Group after will continued its selling model from direct retail selling model to distributorship model and also reduction in overtime costs during the financial year and coming year. Our Group’s finance cost has decreased by RM1.22 million or 94.4% from RM1.29 million in FYE 2021 to RM0.07 million in FYE 2022. SAUDEE GROUP BERHAD 200801036832 (838172-P)",normalize_whitespace;renumber_paragraph,0,,high
MDA_5157_SG_2022,MDA_P007,Unknown,B007,"[MDA_P007] MANAGEMENT DISCUSSION & ANALYSIS (CONT’D) Losses Per Share (“LPS”) The impact of fair value loss in other investments had contributed to an overall loss after tax of RM4.4 million. As such, our Group has recorded loss per share of 0.49 sen for FYE 2022 as compared to loss per share of 1.4","[MDA_P007] MANAGEMENT DISCUSSION & ANALYSIS (CONT’D) Losses Per Share (“LPS”) The impact of fair value loss in other investments had contributed to an overall loss after tax of RM4.4 million. As such, our Group has recorded loss per share of 0.49 sen for FYE 2022 as compared to loss per share of 1.47 sen in FYE 2021. Cash Flow Analysis FYE 2022 FYE 2021 (RM’000) (RM’000) Operating cash flow before working capital change 5,990 2, 831 Changes in working capital (27,605) (2,513) Tax paid (49) (542) Interest paid (64) (1,286) Net cash used in operating activities (21,728) (1,510) Our Group has recorded net cash used in operating activities of RM21.7 million in FYE 2022 as compared to net cash used in operating activities of RM1.5 million in FYE 2021 after deducting interest paid of RM0.1 million for FYE 2022 and RM1.3 million for FYE 2021 respectively. The decrease in cash from operating activities was due to the repayment of supplier and also payment of machinery for expansion of production area and also cold storage space to cater future increase in demand from West and East Malaysia during the year under review.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5157_SG_2022,MDA_P008,Unknown,B008,"[MDA_P008] Even facing the uncertainty on post Covid-19 pandemic challenge on global and local in material price and forex, the Group was still able to improve its current ratio at 8.8 times for FYE 2022 as compared to 7.2 times For FYE 2021. During the financial year under review, the Group raised ","[MDA_P008] Even facing the uncertainty on post Covid-19 pandemic challenge on global and local in material price and forex, the Group was still able to improve its current ratio at 8.8 times for FYE 2022 as compared to 7.2 times For FYE 2021. During the financial year under review, the Group raised funds of RM15.9 million through ESOS and placement of shares. The cash generated were used to purchase of additional machinery and expansion of production and cold storage space. This will able to increase the Company production capacity by at least 30% in coming year. Cash and cash equivalent stood at RM8.0 million as at 31 July 2022. During FYE 2021, the Group also reduced bank borrowing by RM24.6 million. FYE 2022 FYE 2021 (RM’000) (RM’000) Net cash used in investing activities (36,092) (22, 418) Net cash generated from financing activities 15,399 75,749 Net (decrease)/increase in cash and cash equivalent (42,421) 51, 821 The Group has in process to increase its production capacity by investing in new machineries and equipment in current financial year under reviews with the proceeds raised pursuant to the rights issue and placement of shares.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5157_SG_2022,MDA_P009,Unknown,B009,"[MDA_P009] In FYE 2022, the Group has invested RM21.5 million in FYE2022 as compared to RM2.1 million in FYE 2021 on the acquisition of plant and machineries. The spending was mainly in the acquisition of new production machinery and increase in production and cold storage space that will improve th","[MDA_P009] In FYE 2022, the Group has invested RM21.5 million in FYE2022 as compared to RM2.1 million in FYE 2021 on the acquisition of plant and machineries. The spending was mainly in the acquisition of new production machinery and increase in production and cold storage space that will improve the production capacity in order to cater existing customers demand and demand from Easy Malaysia customers in the near future. Even with the tough time during the financial year under review, the management re-strategised the direction decided that it was a strategic time for expansion and reinvestment to replace old machines with more automated machines in the short and middle term. Therefore, the Group raised funds for expansion of production and reinvesting into new machinery to increase the production capacity of the Group in coming years, even during this challenging time i.e. post Covid-19 pandemic.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5157_SG_2022,MDA_P010,Unknown,B010,"[MDA_P010] Financial Position Analysis FYE 2022 FYE 2021 (RM’000) (RM’000) Inventories 15,923 11,265 Trade and other receivables, and amount due from an associate 32,169 14,203 Trade and other payables, and amount due to an associate 8,883 14,681 Bank borrowings 1,763 Our Group’s inventories was RM1","[MDA_P010] Financial Position Analysis FYE 2022 FYE 2021 (RM’000) (RM’000) Inventories 15,923 11,265 Trade and other receivables, and amount due from an associate 32,169 14,203 Trade and other payables, and amount due to an associate 8,883 14,681 Bank borrowings 1,763 Our Group’s inventories was RM15.9 million for FYE 2022 as compared to RM11.3 million for FYE 2021. This represents an increase in inventories level by 40.7%. This was mainly due to purchase of material towards the end of the financial year and cater the increase in production capacity in coming quarter for FPP products. However, the Management will continue to monitor the inventories holding level to and inventories holding period to minimized the inventories holding costs and handling cost on this inventories. Trade and other receivables increase to RM32.2 million for FY2022 to RM14.2 million for FY 2021 an increase by RM18.0 million. The increase mainly due to prepayment for purchase of machinery and investment property. Besides that, The trade receivables also increase by RM10.5 million as compared FY 2021. The increase in trade receivables due to increase in revenue for the last quarters in FY2022.",normalize_whitespace;renumber_paragraph,0,,high
