document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_5202_MSM_2021,REMOVED_001,Unknown,L89,ADDITIONAL INFORMATION,,remove_header_footer,1,header_footer,medium
MDA_5202_MSM_2021,MDA_P001,Financial Review,B002,[MDA_P002] REVIEW,[MDA_P002] REVIEW,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P002,Financial Review,B003,"[MDA_P003] Key Financial Performance Indicators MSM uses several key financial indicators to measure its financial performance. These key financial indicators are: Revenue, Profit Before Tax (PBT), Return on Capital Employed (ROCE), Net Debt and Financing to EBITDA, and Cash Balance Position. The Bo","[MDA_P003] Key Financial Performance Indicators MSM uses several key financial indicators to measure its financial performance. These key financial indicators are: Revenue, Profit Before Tax (PBT), Return on Capital Employed (ROCE), Net Debt and Financing to EBITDA, and Cash Balance Position. The Board and Management regularly review these financial indicators to measure the Group’s performance against set targets.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P003,Financial Review,B004,[MDA_P004] Revenue,[MDA_P004] Revenue,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P004,Financial Review,B005,[MDA_P005] The Group’s revenue increased by 3.4% to RM2.26 billion in FY2021 on the back of improved selling prices across all customer segments. The Wholesale Segment posted a,[MDA_P005] The Group’s revenue increased by 3.4% to RM2.26 billion in FY2021 on the back of improved selling prices across all customer segments. The Wholesale Segment posted a,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P005,Financial Review,B006,[MDA_P006] 14% increase in revenue to RM842 million in FY2021,[MDA_P006] 14% increase in revenue to RM842 million in FY2021,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P006,Financial Review,B007,[MDA_P007] (RM738 million in,[MDA_P007] (RM738 million in,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P007,Financial Review,B008,"[MDA_P008] FY2020) despite recording lower volume from the previous year. Meanwhile, the Industries","[MDA_P008] FY2020) despite recording lower volume from the previous year. Meanwhile, the Industries",normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P008,Financial Review,B009,[MDA_P009] Segment’s revenue decreased by 7% at RM894 million in FY2021 (RM963 million in FY2020). Around 20% of the,[MDA_P009] Segment’s revenue decreased by 7% at RM894 million in FY2021 (RM963 million in FY2020). Around 20% of the,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P009,Financial Review,B010,[MDA_P010] revenue is generated outside Malaysia. In,[MDA_P010] revenue is generated outside Malaysia. In,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P010,Financial Review,B011,"[MDA_P011] FY2021,","[MDA_P011] FY2021,",normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P011,Financial Review,B012,"[MDA_P012] Export Segment’s revenue increased by 8% at RM506 million (RM467 million in FY2020) as a result of increased Premiums. Profit Before Interest, Zakat and Tax (PBIZT) and","[MDA_P012] Export Segment’s revenue increased by 8% at RM506 million (RM467 million in FY2020) as a result of increased Premiums. Profit Before Interest, Zakat and Tax (PBIZT) and",normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P012,Financial Review,B013,"[MDA_P013] ROCE PBIZT increased 83% from RM68.80 million to RM125.56 million. Due to this increase, the Group’s ROCE increased from 2.5% to 4.4%. Subject to unforeseen market conditions, we are working towards achieving a better","[MDA_P013] ROCE PBIZT increased 83% from RM68.80 million to RM125.56 million. Due to this increase, the Group’s ROCE increased from 2.5% to 4.4%. Subject to unforeseen market conditions, we are working towards achieving a better",normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P013,Financial Review,B014,"[MDA_P014] performance in the future. Profit Before Zakat and Tax (PBZT) The Group’s PBZT from Continuing operations increased 126% to RM81.10 million in FY2021 due to better raw sugar management. Discontinued operations contributed RM88.74 million in PBZT, mainly from gain from disposal of subsidia","[MDA_P014] performance in the future. Profit Before Zakat and Tax (PBZT) The Group’s PBZT from Continuing operations increased 126% to RM81.10 million in FY2021 due to better raw sugar management. Discontinued operations contributed RM88.74 million in PBZT, mainly from gain from disposal of subsidiary, as mentioned above. The Group’s consolidated PBZT of RM169.84 million is a marked improvement from a loss position of RM39.24 million in FY2020. Finance Costs Finance costs increase from RM36.78 million in FY2020 to RM47.05 million in FY2021 is mainly due to a loan modification cost of RM9.75 million recorded in September 2021 from additional repayments made to the Group’s term loans of RM114.26 million. These advanced repayments represented a change in the present value of the term loan which resulted in a loan modification cost to be recorded in FY2021. In contrast,",normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P014,Financial Review,B015,"[MDA_P015] in FY2020, the Group made an additional repayment of RM40 million in December 2020 and recorded a loan modification credit of RM11.70 million. Industries Segment Export Segment Wholesale Segment","[MDA_P015] in FY2020, the Group made an additional repayment of RM40 million in December 2020 and recorded a loan modification credit of RM11.70 million. Industries Segment Export Segment Wholesale Segment",normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P015,Financial Review,B016,[MDA_P016] Revenue Contribution (RM million),[MDA_P016] Revenue Contribution (RM million),normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P016,Financial Review,B017,[MDA_P017] WHO WE ARE,[MDA_P017] WHO WE ARE,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P017,Financial Review,B018,[MDA_P018] STATEMENT & DISCUSSION BY OUR LEADERS,[MDA_P018] STATEMENT & DISCUSSION BY OUR LEADERS,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P018,Financial Review,B019,[MDA_P019] HOW WE OPERATE MSM Malaysia Holdings Berhad,[MDA_P019] HOW WE OPERATE MSM Malaysia Holdings Berhad,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P019,Financial Review,B020,[MDA_P020] ANNUAL INTEGRATED REPORT 2021,[MDA_P020] ANNUAL INTEGRATED REPORT 2021,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P020,Financial Review,B021,"[MDA_P021] Outlook The Group performed well in the financial year ended 31 December 2021, buoyed by good raw sugar hedging. We expect the level of sugar consumption to improve in FY2022 as travel restrictions ease domestically. While raw sugar supply shortages will result in raw sugar price increase","[MDA_P021] Outlook The Group performed well in the financial year ended 31 December 2021, buoyed by good raw sugar hedging. We expect the level of sugar consumption to improve in FY2022 as travel restrictions ease domestically. While raw sugar supply shortages will result in raw sugar price increase, the Group has managed to hedge a significant portion of its Wholesale requirement in FY2022 at below market price. Overall, the Group expects the new financial year to continue to be challenging. There is still significant uncertainty on the full impact of the ongoing COVID-19 pandemic and trade tensions at this juncture. Nevertheless, the Group will remain focused towards higher yield and capacity utilisation which will result in lower refining and production costs and stronger financial position which will put the Group in a good position for growth, should prospects and business sentiment",normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P021,Financial Review,B022,"[MDA_P022] improve. Taxation The Group recorded a higher tax expense of RM43.49 million in FY2021. This is largely consistent with the higher profits recorded. Notably however, the effective tax was higher at 26% against the applicable tax rate of 24% mainly due to the tax effects of non-deductible ","[MDA_P022] improve. Taxation The Group recorded a higher tax expense of RM43.49 million in FY2021. This is largely consistent with the higher profits recorded. Notably however, the effective tax was higher at 26% against the applicable tax rate of 24% mainly due to the tax effects of non-deductible expenses. This was partly offset by non-taxable gains on disposal of wholly-owned subsidiary MSM Perlis Sdn Bhd.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P022,Financial Review,B023,[MDA_P023] Statement of Financial Position Total debt decreased from RM907.10 million as at December to,[MDA_P023] Statement of Financial Position Total debt decreased from RM907.10 million as at December to,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P023,Financial Review,B024,"[MDA_P024] RM793.06 million as at 31 December 2021 mainly due to repayment of term loan. Total debt consists of unsecured Bankers’ Acceptance loans and Islamic term loans. Banker’s Acceptance is used for the Group’s raw sugar financing and short term in nature, whilst term loan was drawn mainly for ","[MDA_P024] RM793.06 million as at 31 December 2021 mainly due to repayment of term loan. Total debt consists of unsecured Bankers’ Acceptance loans and Islamic term loans. Banker’s Acceptance is used for the Group’s raw sugar financing and short term in nature, whilst term loan was drawn mainly for the construction of MSM Johor refinery and is therefore longer term. Gearing ratio decreased from 33% as at 31 December 2020 to 26% as at 31 December 2021 due to lower net debt as at year end coupled with the higher total capital driven by higher profit retained in the Group. Net Debt to EBITDA ratio also declined from 6.54 as at 31 December 2020 to 2.14 as at 31 December 2021. This marked improvement is as a result of additional term loan repayments as well as improved EBITDA from the prior year, as mentioned above. Cash Flow",normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P024,Financial Review,B025,[MDA_P025] The Group generated a positive operating cash flow of RM95.15 million in FY2021 albeit a decrease from,[MDA_P025] The Group generated a positive operating cash flow of RM95.15 million in FY2021 albeit a decrease from,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P025,Financial Review,B026,"[MDA_P026] RM277 million in FY2020. The higher revenue and net profit did not translate into an overall increase in working capital due to the tighter working capital management. Despite operating in a challenging environment, the Group ended the year with a healthy cash balance of RM194.78 million ","[MDA_P026] RM277 million in FY2020. The higher revenue and net profit did not translate into an overall increase in working capital due to the tighter working capital management. Despite operating in a challenging environment, the Group ended the year with a healthy cash balance of RM194.78 million which is relatively in line with prior year’s balance of RM195.92 million. Additional information can be found in the Cash Flow Statement on pages 282 to 285. Dividend For FY2021, the Group declared a total dividend of 3.0 sen per share amounting to RM21.09 million which is equivalent to 17% of the FY2021 net profit of RM125.35 million.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P026,Financial Review,B027,[MDA_P027] SUSTAINABILITY JOURNEY,[MDA_P027] SUSTAINABILITY JOURNEY,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P027,Financial Review,B028,[MDA_P028] HOW WE ARE GOVERNED,[MDA_P028] HOW WE ARE GOVERNED,normalize_whitespace;renumber_paragraph,0,,high
MDA_5202_MSM_2021,MDA_P028,Financial Review,B030,[MDA_P030],[MDA_P030],normalize_whitespace;renumber_paragraph,0,,high
