document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_6203_KHEESAN_2023,MDA_P001,Unknown,B001,"[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Khee San Berhad (“KSB”) and its three (3) subsidiaries Khee San Food Industries Sdn Bhd (“KSFI”), Khee San Marketing Sdn Bhd and Mega Global Confectionary Sdn Bhd (collectively known as “the Group”), are the largest manufacturers of candy in Malaysia. The ","[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Khee San Berhad (“KSB”) and its three (3) subsidiaries Khee San Food Industries Sdn Bhd (“KSFI”), Khee San Marketing Sdn Bhd and Mega Global Confectionary Sdn Bhd (collectively known as “the Group”), are the largest manufacturers of candy in Malaysia. The Group’s headquarter and facilities are located in Seri Kembangan, Selangor Darul Ehsan, Malaysia where it produces and distributes the following products: The Group managed to achieve RM55.6 million revenue for the current financial year, an increase of RM22.6 million (68%) compared to the previous financial year primary due to improved in market demand and sales activity from local and export markets. In addition, the Group managed to register a gross profit (“GP”) of RM 11.8 million in the current financial year as compared to a thin gross profit margin of RM3.8 million in the previous financial year. The Group’s profit before tax for the current financial year was RM0.9 million, a significant increase of RM15.8 million compared to the previous financial year.",normalize_whitespace;renumber_paragraph,0,,high
MDA_6203_KHEESAN_2023,MDA_P002,Unknown,B002,"[MDA_P002] At the same time, our profit after tax for the financial year was RM1.7 million, with an increase in RM15.4 million as compared to previous financial year. The improvement in bottom line was mainly attributed to the Group’s higher revenue, strict cost management and improvement in product","[MDA_P002] At the same time, our profit after tax for the financial year was RM1.7 million, with an increase in RM15.4 million as compared to previous financial year. The improvement in bottom line was mainly attributed to the Group’s higher revenue, strict cost management and improvement in production efficiency. 1. INTRODUCTION • Chewy • Deposited • Hard • Tablet • Chewing Gum • Bubble Gum 6:((76 &$1',(6 The summary of the Statement of Comprehensive Income is as follows: 2. FINANCIAL REVIEW a) Review of Statement of Comprehensive Income Revenue Gross Profit Gross Profit Margin (“GPM”) Other Income Distribution Costs Administrative Expenses Other Expenses Finance Costs Profit / (Loss) Before Tax Profit / (Loss) After Tax 55.6 11.8 21.2% 2.6 (0.1) (11.4) (0.2) (1.8) 0.9 1.7 33.0 3.8 11.5% 1.2 (0.2) (12.8) - (6.9) (14.9) (13.7)",normalize_whitespace;renumber_paragraph,0,,high
MDA_6203_KHEESAN_2023,MDA_P003,Unknown,B003,[MDA_P003] 500LOOLRQ,[MDA_P003] 500LOOLRQ,normalize_whitespace;renumber_paragraph,0,,high
MDA_6203_KHEESAN_2023,MDA_P004,Unknown,B004,[MDA_P004] )<( )<( $118$/5(3257 2023 5HJLVWUDWLRQ1R,[MDA_P004] )<( )<( $118$/5(3257 2023 5HJLVWUDWLRQ1R,normalize_whitespace;renumber_paragraph,0,,high
MDA_6203_KHEESAN_2023,MDA_P005,Unknown,B005,[MDA_P005] $,[MDA_P005] $,normalize_whitespace;renumber_paragraph,0,,high
MDA_6203_KHEESAN_2023,MDA_P006,Unknown,B006,[MDA_P006] .+((6$1%(5+$',[MDA_P006] .+((6$1%(5+$',normalize_whitespace;renumber_paragraph,0,,high
MDA_6203_KHEESAN_2023,MDA_P007,Unknown,B007,"[MDA_P007] MANAGEMENT DISCUSSION & ANALYSIS There is no major movement of total assets in FYE 2023 as compared to FYE 2022, other than the increase in inventories by RM3.6 million was due to the increase in demand of sales. The increase in inventories was offset by the decrease in property, plant an","[MDA_P007] MANAGEMENT DISCUSSION & ANALYSIS There is no major movement of total assets in FYE 2023 as compared to FYE 2022, other than the increase in inventories by RM3.6 million was due to the increase in demand of sales. The increase in inventories was offset by the decrease in property, plant and equipment was mainly due to depreciation of property, plant and equipment of RM3.0 million in current financial year. Total Liabilities stood at RM148.0 million, which represents a decrease of 1% in comparison with RM 149.9 million registered in FYE 2022. This was result of the decrease in deferred tax liabilities to RM1.3 million due to the write off and impairment of property, plant and equipment during the year. Correspondingly, the Shareholders’ Equity improved to negative RM77.4 million primarily due to the factors mentioned above.",normalize_whitespace;renumber_paragraph,0,,high
MDA_6203_KHEESAN_2023,MDA_P008,Unknown,B008,"[MDA_P008] The summary of the Statement of Financial Position is as follows: b) Review of Statement of Financial Position Property, Plant and Equipment Right-Of-Use Assets Inventories Trade and Other Receivables Cash and Bank Balances Other Assets Total Assets Trade and Other Payables Deferred Tax L","[MDA_P008] The summary of the Statement of Financial Position is as follows: b) Review of Statement of Financial Position Property, Plant and Equipment Right-Of-Use Assets Inventories Trade and Other Receivables Cash and Bank Balances Other Assets Total Assets Trade and Other Payables Deferred Tax Liabilities Total Borrowings Other Liabilities Total Liabilities Shareholders’ Equity 54.1 0.9 9.1 4.2 2.3 - 70.6 62.1 3.6 75.4 6.9 148.0 (77.4) 56.8 0.8 5.5 5.1 2.1 0.5 70.8 62.8 4.9 75.8 6.4 149.9 (79.1)",normalize_whitespace;renumber_paragraph,0,,high
MDA_6203_KHEESAN_2023,MDA_P009,Unknown,B009,[MDA_P009] 500LOOLRQ,[MDA_P009] 500LOOLRQ,normalize_whitespace;renumber_paragraph,0,,high
MDA_6203_KHEESAN_2023,MDA_P010,Unknown,B010,[MDA_P010] )<( )<( (2.7) 0.1 3.6 (0.9) 0.2 (0.5) (0.2) (0.7) (1.3) (0.4) 0.5 (1.9) 1.7 9DULDQFH $118$/5(3257 2023,[MDA_P010] )<( )<( (2.7) 0.1 3.6 (0.9) 0.2 (0.5) (0.2) (0.7) (1.3) (0.4) 0.5 (1.9) 1.7 9DULDQFH $118$/5(3257 2023,normalize_whitespace;renumber_paragraph,0,,high
