document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_7035_CCK_2022,MDA_P001,Unknown,B001,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Revenue RM885.7 million Profit After Tax RM63.1 million Profit Before Tax RM81.4 million Total Assets RM505.3 million Total Liabilities RM143.1 million Earnings Per Share 10.12 sen Current Ratio 2.3 times,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Revenue RM885.7 million Profit After Tax RM63.1 million Profit Before Tax RM81.4 million Total Assets RM505.3 million Total Liabilities RM143.1 million Earnings Per Share 10.12 sen Current Ratio 2.3 times,normalize_whitespace;renumber_paragraph,0,,high
MDA_7035_CCK_2022,MDA_P002,Unknown,B002,"[MDA_P002] ANNUAL REPORT 5 MANAGEMENT DISCUSSION & ANALYSIS (Cont’d) 5-YEARS FINANCIAL SUMMARY (CONT’D) SEN EPS Dividend per share 1.25 4.09 1.75 2.00 1.25 3.50 10.12 3.91 5.98 5.28 NUMBER OF RETAIL STORES & SUPERMARKETS (UNITS) Supermarkets Retail stores 1,000,000 800,000 600,000 400,000 200,000 RM","[MDA_P002] ANNUAL REPORT 5 MANAGEMENT DISCUSSION & ANALYSIS (Cont’d) 5-YEARS FINANCIAL SUMMARY (CONT’D) SEN EPS Dividend per share 1.25 4.09 1.75 2.00 1.25 3.50 10.12 3.91 5.98 5.28 NUMBER OF RETAIL STORES & SUPERMARKETS (UNITS) Supermarkets Retail stores 1,000,000 800,000 600,000 400,000 200,000 RM’000 REVENUE 120,000 100,000 80,000 60,000 40,000 20,000 RM’000 EBITDA 100,000 80,000 60,000 40,000 20,000 RM’000 PROFIT BEFORE TAX 80,000 60,000 40,000 20,000 RM’000 PROFIT ATTRIBUTABLE TO OWNERS OF THE COMPANY",normalize_whitespace;renumber_paragraph,0,,high
MDA_7035_CCK_2022,MDA_P003,Unknown,B003,"[MDA_P003] CCK CONSOLIDATED HOLDINGS BERHAD MANAGEMENT DISCUSSION & ANALYSIS (Cont’d) Dear Esteemed Shareholders,","[MDA_P003] CCK CONSOLIDATED HOLDINGS BERHAD MANAGEMENT DISCUSSION & ANALYSIS (Cont’d) Dear Esteemed Shareholders,",normalize_whitespace;renumber_paragraph,0,,high
MDA_7035_CCK_2022,MDA_P004,Unknown,B004,[MDA_P004] The Management Discussion and Analysis (“MD&A”) is intended to provide the reader with operational and financial highlights of CCK Consolidated Holdings Berhad (“CCK” or “The Group”) for the financial year ended 31st December 2022 (“FY2022”).,[MDA_P004] The Management Discussion and Analysis (“MD&A”) is intended to provide the reader with operational and financial highlights of CCK Consolidated Holdings Berhad (“CCK” or “The Group”) for the financial year ended 31st December 2022 (“FY2022”).,normalize_whitespace;renumber_paragraph,0,,high
MDA_7035_CCK_2022,MDA_P005,Unknown,B005,"[MDA_P005] The MD&A should be read together with the audited financial statements of the Group and Company as set out in this Annual Report. INTRODUCTION CCK’s business comprise of four (4) segments, namely; retail, poultry, prawn and food service. Business operations are carried out primarily in Sa","[MDA_P005] The MD&A should be read together with the audited financial statements of the Group and Company as set out in this Annual Report. INTRODUCTION CCK’s business comprise of four (4) segments, namely; retail, poultry, prawn and food service. Business operations are carried out primarily in Sarawak, Sabah and Indonesia (Jakarta, Pontianak and Tarakan). The Group employs a total of approximately 2,800 employees across all business segments. Our Group’s mainstay and core business is the retail segment, which operates retail stores, supermarkets and wholesale stores. Since the opening of the first retail store in Sibu in 1970, our network has grown to seventy-two (72) touch points comprising of retail stores and supermarkets across East Malaysia (Sarawak and Sabah). Retail stores are operated under the CCK Fresh Mart brand and supermarkets under the CCKLocal brand. CCK Fresh Mart retail stores cater to both businesses and households and have a smaller range of strategically selected stock keeping units (“SKU”) which are specifically targeted to certain locations and buyer demographics. CCK Fresh Mart retail stores are typically smaller format stores located in both urban and rural areas.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7035_CCK_2022,MDA_P006,Unknown,B006,"[MDA_P006] CCKLocal supermarkets typically occupy a larger footprint and offer households a wide range of SKUs ranging from local and imported food items to general household items. Our wide-reaching retail network is supported by a fully integrated supply chain consisting of a feed mill, layer farm","[MDA_P006] CCKLocal supermarkets typically occupy a larger footprint and offer households a wide range of SKUs ranging from local and imported food items to general household items. Our wide-reaching retail network is supported by a fully integrated supply chain consisting of a feed mill, layer farming, poultry farming and processing, prawn farming and processing, and the manufacturing of house-brand food products. As Sarawak’s largest integrated poultry supplier, our retail network benefits by being integrated with the poultry segment. Much like the retail network, CCK’s farm operations are also located in Sarawak and Sabah. On a blended basis, fresh dressed chicken and chicken parts make up approximately 20% of our retail stores’ products. The other 80% of our stores’ products comprise house-brand and third-party frozen products, seafood products, fresh fruits, and vegetables.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7035_CCK_2022,MDA_P007,Unknown,B007,"[MDA_P007] ANNUAL REPORT 7 MANAGEMENT DISCUSSION & ANALYSIS (Cont’d) INTRODUCTION (CONT’D) During the current financial year, CCK completed the acquisition of PT Bonanza. PT Bonanza operates out of Tarakan, Indonesia and processes shrimp for local and export sales. Principal products include frozen ","[MDA_P007] ANNUAL REPORT 7 MANAGEMENT DISCUSSION & ANALYSIS (Cont’d) INTRODUCTION (CONT’D) During the current financial year, CCK completed the acquisition of PT Bonanza. PT Bonanza operates out of Tarakan, Indonesia and processes shrimp for local and export sales. Principal products include frozen raw shrimp, frozen cooked shrimp and frozen Nobashi Ebi shrimp. The synergistic acquisition has complemented the Group’s exportoriented prawn products and added size and scale to the prawn segment. REVIEW OF FINANCIAL PERFORMANCE Revenue for FY2022 increased by 29.2% to RM885.7 million from last year (“FY2021”). The record revenue achieved during the year was due to a significant improvement in performance from all business segments. Notably, a general recovery in consumer demand due to the upliftment of movement controls in Sarawak led to an outperformance in the retail segment and an improvement in the poultry segment. The food service segment benefited from the re-opening of schools in Sarawak whilst the prawn segment was boosted by a recovery in export volume, growth in domestic sales, and the contribution from the newly acquired PT Bonanza in Q3FY2022 and Q4FY2022.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7035_CCK_2022,MDA_P008,Unknown,B008,"[MDA_P008] Our retail network expanded in FY2022 to sixty-three (63) CCK Fresh Mart retail stores, three (3) CCKLocal supermarkets and six (6) wholesale stores giving us a total of seventy-two (72) touchpoints, up from seventy-one (71) in FY2021. The retail segment achieved a revenue of RM700.4 mill","[MDA_P008] Our retail network expanded in FY2022 to sixty-three (63) CCK Fresh Mart retail stores, three (3) CCKLocal supermarkets and six (6) wholesale stores giving us a total of seventy-two (72) touchpoints, up from seventy-one (71) in FY2021. The retail segment achieved a revenue of RM700.4 million during FY2022, 21.7% higher than FY2021. More matured contributions from three (3) CCKLocal supermarkets (in Kuching, Kota Kinabalu and Sibu) and four (4) CCK Fresh Mart retail stores, a sharp recovery in demand from both the retail and wholesale channels, and strong demand for our in-house manufactured processed products in Indonesia contributed to the performance of the segment. Notably, our Indonesian manufacturing operations benefited from the additional production capacity that come on stream in January 2021. Revenue from our Indonesian manufacturing operations (Pontianak and Jakarta) amounted to RM192.2 million, accounting for 21.6% of total Group revenue.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7035_CCK_2022,MDA_P009,Unknown,B009,"[MDA_P009] Tracking the performance of the retail segment, demand for poultry products improved in FY2022 due to the reopening of food and beverage outlets, demand from institutional clients and improved consumer sentiment. Poultry sales via our own retail stores (intersegment sales) also contribute","[MDA_P009] Tracking the performance of the retail segment, demand for poultry products improved in FY2022 due to the reopening of food and beverage outlets, demand from institutional clients and improved consumer sentiment. Poultry sales via our own retail stores (intersegment sales) also contributed to segment performance, leading to a 16.5% increase in total segment revenue to RM327.6 million for the period. The prawn segment’s revenue grew by 184.2% to RM57.8 million for FY2022. This significant growth was due to the contribution from our recently acquired subsidiary PT Bonanza that was completed in Q3FY2022. The performance of PT Bonanza boosted overall segment export volumes to Japan and Taiwan. Exports (ex. PT Bonanza) to other markets continued to gain momentum whilst domestic sales via our own retail channels also increased in tandem with the recovery in overall demand. The food service segment benefited from the re-opening of schools in Sarawak, as FY2022 revenue grew 280.2% to RM22.5 million. Profit before tax (“PBT”) for FY2022 increased by 160.9% to RM81.4 million.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7035_CCK_2022,MDA_P010,Unknown,B010,"[MDA_P010] This significant growth in overall profitability was largely due to an outperformance from the retail segment and a turnaround in the poultry segment. Additionally, the contribution from PT Bonanza in Q3FY2022 and Q4FY2022 boosted the prawn segment whilst the re-opening of schools in Sara","[MDA_P010] This significant growth in overall profitability was largely due to an outperformance from the retail segment and a turnaround in the poultry segment. Additionally, the contribution from PT Bonanza in Q3FY2022 and Q4FY2022 boosted the prawn segment whilst the re-opening of schools in Sarawak drove the performance of the food service segment. Gross profit margins for FY2022 inched up to 18.2% from 17.4% in FY2021. The retail segment continued to be the largest contributor to Group PBT, reporting a segment profit of RM67.0 million. This translated to a 90.3% growth in profitability versus FY2021. The significant growth was driven by a myriad of factors, namely; increased contributions from new CCKLocal supermarkets and CCK Fresh Mart stores, strong demand for our in-house manufactured processed products in Indonesia, an overall improvement in consumer sentiment driving sales volumes in our retail and wholesale channels, and a one-off gain from disposal of investment property amounting to RM6.0 million in Q3FY2022.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7035_CCK_2022,MDA_P011,Unknown,B011,[MDA_P011] CCK CONSOLIDATED HOLDINGS BERHAD MANAGEMENT DISCUSSION & ANALYSIS (Cont’d) REVIEW OF FINANCIAL PERFORMANCE (CONT’D),[MDA_P011] CCK CONSOLIDATED HOLDINGS BERHAD MANAGEMENT DISCUSSION & ANALYSIS (Cont’d) REVIEW OF FINANCIAL PERFORMANCE (CONT’D),normalize_whitespace;renumber_paragraph,0,,high
MDA_7035_CCK_2022,MDA_P012,Unknown,B012,"[MDA_P012] The poultry segment reported a segment profit of RM8.9 million for FY2022, overturning a segment loss RM6.1 million in FY2021. The return to profitability was largely due to the subsidy scheme from the Government of Malaysia in relation to the price ceilings for chicken and eggs. In addit","[MDA_P012] The poultry segment reported a segment profit of RM8.9 million for FY2022, overturning a segment loss RM6.1 million in FY2021. The return to profitability was largely due to the subsidy scheme from the Government of Malaysia in relation to the price ceilings for chicken and eggs. In addition, a recovery in sales volumes, effective cost control measures and a favourable product mix also benefitted the poultry segment. The prawn segment recorded a segment profit of RM5.0 million, a significant increase from the RM0.7 million in FY2021. Notably, the bulk of segment profits was achieved in the Q3FY2022 and Q4FY2022 due to the contribution from PT Bonanza which boosted export volumes to Japan and Taiwan. This resulted in a more favourable sales mix and greater economy of scale that increased the overall profitability of the segment. The food service segment reported a profit of RM2.9 million in FY2022, significantly higher than the same period last year. This was due to the re-opening of schools in Sarawak.",normalize_whitespace;renumber_paragraph,0,,high
