document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_7107_OFI_2023,REMOVED_001,Unknown,L150,ANNUAL REPORT 2023,,remove_header_footer,1,header_footer,medium
MDA_7107_OFI_2023,MDA_P001,Unknown,B001,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS OVERVIEW OF THE GROUPS’ BUSINESS AND OPERATIONS Oriental Food Industries Holdings Berhad (“the Company” or “the Group”) has made its mark in the snack food and confectionery manufacturing industry today as one of the companies holding the leading positio,"[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS OVERVIEW OF THE GROUPS’ BUSINESS AND OPERATIONS Oriental Food Industries Holdings Berhad (“the Company” or “the Group”) has made its mark in the snack food and confectionery manufacturing industry today as one of the companies holding the leading position in the said industry in Malaysia. The Group remains focused on placing the needs and interests of its customers first by manufacturing an assortment of snack food and confectionery products that focuses on quality. Generally, these products can be divided into five (5) broad categories, which are snack food, wafer, biscuits, potato snacks and bakery products. The Group has various product brand names, most of which are commercially strong and generating the required sales and profit both locally and overseas. Super Ring, Jacker, Rota and Oriental are currently well-known household brand names in Malaysia. FINANCIAL RESULTS AND FINANCIAL CONDITION Despite undergoing a challenging year in 2022, the Group has managed to secure continued growth in revenue as seen in the financial year ended 31 March 2023 (“FY 2023”) results as reflected in the table below:",normalize_whitespace;renumber_paragraph,0,,high
MDA_7107_OFI_2023,MDA_P002,Unknown,B002,[MDA_P002] Y-O-Y,[MDA_P002] Y-O-Y,normalize_whitespace;renumber_paragraph,0,,high
MDA_7107_OFI_2023,MDA_P003,Unknown,B003,[MDA_P003] RM’000 RM’000 RM’000 %,[MDA_P003] RM’000 RM’000 RM’000 %,normalize_whitespace;renumber_paragraph,0,,high
MDA_7107_OFI_2023,MDA_P004,Unknown,B004,[MDA_P004] Revenue,[MDA_P004] Revenue,normalize_whitespace;renumber_paragraph,0,,high
MDA_7107_OFI_2023,MDA_P005,Unknown,B005,"[MDA_P005] 360,013 288,124 71,889 24.95% Gross Profit","[MDA_P005] 360,013 288,124 71,889 24.95% Gross Profit",normalize_whitespace;renumber_paragraph,0,,high
MDA_7107_OFI_2023,MDA_P006,Unknown,B006,"[MDA_P006] 54,447 51,484 2,963 5.76% Profit Before Tax (“PBT”)","[MDA_P006] 54,447 51,484 2,963 5.76% Profit Before Tax (“PBT”)",normalize_whitespace;renumber_paragraph,0,,high
MDA_7107_OFI_2023,MDA_P007,Unknown,B007,"[MDA_P007] 24,663 24,184 479 1.98% Financial Costs","[MDA_P007] 24,663 24,184 479 1.98% Financial Costs",normalize_whitespace;renumber_paragraph,0,,high
MDA_7107_OFI_2023,MDA_P008,Unknown,B008,[MDA_P008] 30.34% Profit After Tax (“PAT”),[MDA_P008] 30.34% Profit After Tax (“PAT”),normalize_whitespace;renumber_paragraph,0,,high
MDA_7107_OFI_2023,MDA_P009,Unknown,B009,"[MDA_P009] 19,126 18,163 963 5.30% Shareholders’ Fund","[MDA_P009] 19,126 18,163 963 5.30% Shareholders’ Fund",normalize_whitespace;renumber_paragraph,0,,high
MDA_7107_OFI_2023,MDA_P010,Unknown,B010,"[MDA_P010] 231,196 220,820 10,376 4.70% Total Assets","[MDA_P010] 231,196 220,820 10,376 4.70% Total Assets",normalize_whitespace;renumber_paragraph,0,,high
