document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_7243_MAGMA_2021,MDA_P001,Unknown,B001,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS 1. FINANCIAL REVIEW,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS 1. FINANCIAL REVIEW,normalize_whitespace;renumber_paragraph,0,,high
MDA_7243_MAGMA_2021,MDA_P002,Unknown,B002,[MDA_P002] Review of Statement of Comprehensive Income,[MDA_P002] Review of Statement of Comprehensive Income,normalize_whitespace;renumber_paragraph,0,,high
MDA_7243_MAGMA_2021,MDA_P003,Unknown,B003,"[MDA_P003] The summary of the Statement of Comprehensive Income is as follows: (RM ‘000) FYE 2021 FPE 2020 (18 Months) Variance FYE 2021 vs. FPE 2020 Revenue 19,499 33,818 (42%) Gross Profit (“GP”) 6,193 17,256 (64%) Gross Profit Margin (“GPM”) 31.8 51.0% Administrative Expenses (6,723) (18,032) (63","[MDA_P003] The summary of the Statement of Comprehensive Income is as follows: (RM ‘000) FYE 2021 FPE 2020 (18 Months) Variance FYE 2021 vs. FPE 2020 Revenue 19,499 33,818 (42%) Gross Profit (“GP”) 6,193 17,256 (64%) Gross Profit Margin (“GPM”) 31.8 51.0% Administrative Expenses (6,723) (18,032) (63%) Other Cost (9,938) (63,164) (84%) (Loss) Before Tax (“LBT”) (10,467) (63,940) (84%) (Loss) After Tax from Continued Operations (1) (“LAT”) (10,730) (62,374) (83%) Note: (1) Attributable to owner of the Company",normalize_whitespace;renumber_paragraph,0,,high
MDA_7243_MAGMA_2021,MDA_P004,Unknown,B004,"[MDA_P004] For FYE 2021, the Group recorded a total revenue of RM19.50 million, lower as compared to FPE 2020 of RM33.81 million which represents a decrease of RM14.31 million or 42%. The decrease included all segments under IHB Group comprising Hotel Operations, Hotel Management and Property Sales.","[MDA_P004] For FYE 2021, the Group recorded a total revenue of RM19.50 million, lower as compared to FPE 2020 of RM33.81 million which represents a decrease of RM14.31 million or 42%. The decrease included all segments under IHB Group comprising Hotel Operations, Hotel Management and Property Sales. During the FYE 2021, Impiana Cherating Sdn Bhd (“Impiana Cherating”), a wholly-owned subsidiary of the Company undertook the development and property sale of Impiana Resort & Residences Cherating (“IRC”) where the property shall be operated by Impiana Cherating as a resort. “Revenue recognised in FYE 2021 is based on the work progress on site.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7243_MAGMA_2021,MDA_P005,Unknown,B005,"[MDA_P005] The GP for the FYE 2021 was RM6.19 million, lower as compared to RM17.26 million recorded in FPE 2020. Covid-19 caused a decrease in revenue in the Hotel Operations and Hotel Management divisions, which resulted in a decrease in GP. Furthermore, due to additional costs incurred from the c","[MDA_P005] The GP for the FYE 2021 was RM6.19 million, lower as compared to RM17.26 million recorded in FPE 2020. Covid-19 caused a decrease in revenue in the Hotel Operations and Hotel Management divisions, which resulted in a decrease in GP. Furthermore, due to additional costs incurred from the changes in the development, the GP for Property Sales, particularly Impiana Cherating, has dropped.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7243_MAGMA_2021,MDA_P006,Unknown,B006,"[MDA_P006] For FYE 2021, the Group had an LBT of RM10.47 million, compared to an LBT of RM63.94 million for FPE 2020. A gain of RM1.99 million on the sale of shares from Impiana Tioman Villas & Residences Sdn Bhd (“ITVR”) primarily contributed for the decrease in losses. In addition, the RM48.38 mil","[MDA_P006] For FYE 2021, the Group had an LBT of RM10.47 million, compared to an LBT of RM63.94 million for FPE 2020. A gain of RM1.99 million on the sale of shares from Impiana Tioman Villas & Residences Sdn Bhd (“ITVR”) primarily contributed for the decrease in losses. In addition, the RM48.38 million impairment loss on goodwill from the reverse acquisition, RM3.84 million intangible asset write-off, and RM1.90 million in corporate exercise expenses were recognised in FPE 2020.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7243_MAGMA_2021,MDA_P007,Unknown,B007,"[MDA_P007] The Group operates primarily in the hospitality industry whereby its source of income is mainly from the property development, hotel management and hotel businesses. The global disaster known as the Covid-19 pandemic has hit the industry severely and as a result, we were not able to maint","[MDA_P007] The Group operates primarily in the hospitality industry whereby its source of income is mainly from the property development, hotel management and hotel businesses. The global disaster known as the Covid-19 pandemic has hit the industry severely and as a result, we were not able to maintain profitability from our business operations and this has resulted in an operating loss from our operating activities of RM0.74 million. Comparing to FYE 2021, the Group’s finance cost was RM8.1 million as compared to RM6.2 million in FPE 2020.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7243_MAGMA_2021,MDA_P008,Unknown,B008,"[MDA_P008] Review of Statement of Financial Position The summary of the Statement of Financial Position is as follows: (RM ’000) As at 30 Jun As at 30 June Variance 30.06.2021 vs. 30.06.2020 Property, Plant and Equipment 71,308 71,615 (1%) Intangible Assets 6,376 7,091 (10%) Total Trade Receivables ","[MDA_P008] Review of Statement of Financial Position The summary of the Statement of Financial Position is as follows: (RM ’000) As at 30 Jun As at 30 June Variance 30.06.2021 vs. 30.06.2020 Property, Plant and Equipment 71,308 71,615 (1%) Intangible Assets 6,376 7,091 (10%) Total Trade Receivables 2,775 19,531 (86%) Contract Assets 54,736 16,996 >100% Total Assets 203,929 194,724 5% Total Trade, Other Payables & Accruals 63,713 46,810 (36%) Contract Liabilities 1,028 1,065 (3%) Total Liabilities 162,334 156,685 4% Shareholders’ Equity 41,596 38,039 9% NA per share (sen) (1) 3.42 4.55 (25%) Note: (1) Based on weighted average number of shares",normalize_whitespace;renumber_paragraph,0,,high
MDA_7243_MAGMA_2021,MDA_P009,Unknown,B009,[MDA_P009] The Group total asset increased from RM194.72 million recorded in FPE 2020 to RM203.93 million in FYE 2021 by 5%. The increase was mainly due to recognition of additional contract assets of RM37.74 million. The intangible assets were mainly on the hotel management rights where a subsidiar,[MDA_P009] The Group total asset increased from RM194.72 million recorded in FPE 2020 to RM203.93 million in FYE 2021 by 5%. The increase was mainly due to recognition of additional contract assets of RM37.74 million. The intangible assets were mainly on the hotel management rights where a subsidiary of the Company has the rights over the management of hotels under the Impiana brand.,normalize_whitespace;renumber_paragraph,0,,high
MDA_7243_MAGMA_2021,MDA_P010,Unknown,B010,"[MDA_P010] On trade receivables, it decreased from RM19.53 million in FPE 2020 to RM2.77 million in FYE 2021 mainly due to the reversal of impairments from amount owing from trade debtors. In addition, contract assets which arose from the IRC project, for work completed on property development, but ","[MDA_P010] On trade receivables, it decreased from RM19.53 million in FPE 2020 to RM2.77 million in FYE 2021 mainly due to the reversal of impairments from amount owing from trade debtors. In addition, contract assets which arose from the IRC project, for work completed on property development, but not yet billed at the reporting date were recognised. The Management is not aware of any possible non-collection from these trade receivables and contract assets.",normalize_whitespace;renumber_paragraph,0,,high
