document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_7243_MAGMA_2023,REMOVED_001,Unknown,L74,About Us | Performance | Sustainability | Governance | Financial | Additional Information,,remove_header_footer,1,header_footer,medium
MDA_7243_MAGMA_2023,REMOVED_002,Unknown,L75,ANNUAL REPORT 2023,,remove_header_footer,1,header_footer,medium
MDA_7243_MAGMA_2023,REMOVED_003,Unknown,L200,About Us | Performance | Sustainability | Governance | Financial | Additional Information,,remove_header_footer,1,header_footer,medium
MDA_7243_MAGMA_2023,REMOVED_004,Unknown,L201,ANNUAL REPORT 2023,,remove_header_footer,1,header_footer,medium
MDA_7243_MAGMA_2023,REMOVED_005,Unknown,L340,About Us | Performance | Sustainability | Governance | Financial | Additional Information,,remove_header_footer,1,header_footer,medium
MDA_7243_MAGMA_2023,REMOVED_006,Unknown,L341,ANNUAL REPORT 2023,,remove_header_footer,1,header_footer,medium
MDA_7243_MAGMA_2023,MDA_P001,Unknown,B001,"[MDA_P001] Management Discussion & Analysis (Overview of Group Business) Magma Group Berhad (“Magma” or the “Group”) has solidified its presence in the hospitality industry through a commitment to excellence in hotel management. Magma’s hospitality arm, MHM, manages a diverse portfolio of 4-star hot","[MDA_P001] Management Discussion & Analysis (Overview of Group Business) Magma Group Berhad (“Magma” or the “Group”) has solidified its presence in the hospitality industry through a commitment to excellence in hotel management. Magma’s hospitality arm, MHM, manages a diverse portfolio of 4-star hotels located in strategic areas across Malaysia, including notable establishments like Impiana KLCC, Impiana Ipoh, and Impiana Senai. These strategic locations, selected for their accessibility and appeal, underscore Magma’s dedication to providing exceptional hospitality experiences. The Group’s focus on blending innovation with strategic placement ensures that guests receive unparalleled service, setting new benchmarks in the industry. Magma’s commitment to creating memorable stays is evident in its approach to hotel management, where the emphasis is on quality, guest satisfaction, and operational excellence. In addition to its hotel management ventures, Magma is also engaged in property development, with projects like the Impiana Resorts & Residences Cherating. This beachfront luxury suite development in Cherating, known for its pristine coastline, marks Magma’s foray into resort living.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7243_MAGMA_2023,MDA_P002,Unknown,B002,"[MDA_P002] The project’s first phase encompasses 3 blocks with 144 units, offering a range of accommodations from 1-bedroom suites to 3-bedroom units. Set on a freehold parcel, this development combines luxury with the natural beauty of Malaysia’s east coast, promising an exclusive lifestyle opportu","[MDA_P002] The project’s first phase encompasses 3 blocks with 144 units, offering a range of accommodations from 1-bedroom suites to 3-bedroom units. Set on a freehold parcel, this development combines luxury with the natural beauty of Malaysia’s east coast, promising an exclusive lifestyle opportunity. As Magma actively seeks partners for the project’s second phase, it continues to expand its footprint in the property sector, leveraging its expertise in hospitality to enhance its real estate ventures. Looking towards 2024, Magma is optimistic about the prospects of its hospitality business. The Group is poised to leverage its strong portfolio of properties and its reputation for excellence to capture growth opportunities in the evolving hotel and tourism landscape. With a strategic focus on guest experiences and operational efficiency, Magma is well-positioned to meet the demands of the modern traveller and to continue its growth trajectory in the hospitality sector. Review of Financial Performance The summary of the Statement of Comprehensive Income is as follows: (RM ’000) FYE 2023 FPE 2022 (18 Months) Variance FYE 2023 vs.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7243_MAGMA_2023,MDA_P003,Unknown,B003,"[MDA_P003] FPE 2022 Revenue 14,458 26,725 (45.9%) Gross Profit (“GP”) 16,543 15,153 9.2% Gross Profit Margin (“GPM”) 114.4% 56.7% Administrative Expenses (12,420) (13,051) 4.8% Other Cost (17,141) (15,928) (7.6%) (Loss) Before Tax (“LBT”) (13,018) (13,826) 5.8% (Loss) After Tax from Continued Operat","[MDA_P003] FPE 2022 Revenue 14,458 26,725 (45.9%) Gross Profit (“GP”) 16,543 15,153 9.2% Gross Profit Margin (“GPM”) 114.4% 56.7% Administrative Expenses (12,420) (13,051) 4.8% Other Cost (17,141) (15,928) (7.6%) (Loss) Before Tax (“LBT”) (13,018) (13,826) 5.8% (Loss) After Tax from Continued Operations (1) (“LAT”) (13,100) (14,307) 8.4% Note: (1) Attributable to owner of the Company For the fiscal year concluded on 31 December 2023 (“FYE2023”), Magma Group Berhad (“Magma” or the “Group”) faced a year filled with considerable challenges and pivotal strategic shifts. The Group’s revenue for FYE2023 reached RM14.46 million, a decrease from the RM26.73 million reported in FPE2022. This change reflects the Group’s adaptation to market fluctuations and its dedicated efforts towards refining operational efficiency across its business segments. Despite these endeavours, the Group encountered a Loss After Tax (“LAT”) of RM13.10 million for FYE2023, an improvement from the LAT of RM14.31 million in the preceding year, indicating the effectiveness of the Group’s strategic realignments and cost management initiatives in a turbulent economic environment.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7243_MAGMA_2023,MDA_P004,Unknown,B004,[MDA_P004],[MDA_P004],normalize_whitespace;renumber_paragraph,0,,high
