document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_9946_ETA_2022,REMOVED_001,Unknown,L34,REX INDUSTRY BERHAD Annual Report 2022,,remove_header_footer,1,header_footer,medium
MDA_9946_ETA_2022,REMOVED_002,Unknown,L139,REX INDUSTRY BERHAD Annual Report 2022,,remove_header_footer,1,header_footer,medium
MDA_9946_ETA_2022,REMOVED_003,Unknown,L239,REX INDUSTRY BERHAD Annual Report 2022,,remove_header_footer,1,header_footer,medium
MDA_9946_ETA_2022,MDA_P001,Unknown,B001,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Our History and Business Rex was incorporated on 26 November 1993 as a private limited company under the Companies Act 1965 by the name of Kompetitif Pertama Sdn Bhd. The Company acquired the entire issued and paid-up share capital of Rex Canning Co. Sdn B,"[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS Our History and Business Rex was incorporated on 26 November 1993 as a private limited company under the Companies Act 1965 by the name of Kompetitif Pertama Sdn Bhd. The Company acquired the entire issued and paid-up share capital of Rex Canning Co. Sdn Bhd, Rex Trading Sdn Bhd and Rex Foods Sdn Bhd and took on the function as a holding company in conjunction with the listing of Rex on Bursa Malaysia Securities Berhad (“Bursa Securities”). The Company changed its name to Rex Industry Sdn Bhd on 5 February 1994. It was converted to a public limited company on 16 February 1994 and adopted its present name. Rex was listed on the Second Board of Bursa Securities on 29 November 1995. Rex Group is involved in the manufacturing of canned food, beverage and confectionary products. Rex Canning Co. Sdn Bhd. a wholly owned subsidiary of Rex was founded in 1965 and has since grown into a leading manufacturer, distributor and exporter of halal canned products, frozen food, and beverages in Malaysia.",normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2022,MDA_P002,Unknown,B002,[MDA_P002] PT Rex Canning Indonesia (“PT Rex”) began commercial operations in August 1992; with principal activities in manufacturing and exporting of canned processed seafood. PT Rex operates under stringent standards set by the Ministry of Marine Affairs and Fisheries of Indonesia. The majority of,"[MDA_P002] PT Rex Canning Indonesia (“PT Rex”) began commercial operations in August 1992; with principal activities in manufacturing and exporting of canned processed seafood. PT Rex operates under stringent standards set by the Ministry of Marine Affairs and Fisheries of Indonesia. The majority of PT Rex’s canned seafood is exported to the US and EU. Our strength lies in providing quality products that cater to the taste preferences and budgets of our growing population. Our Policy Towards producing trusted products for all consumers, food safety best practices are core to our business. They are implemented throughout the chain from sourcing to manufacturing and delivery, to ensure compliance with local and international food safety standards and manufacturing best practices. Financial Performance For the financial year ended (“FYE”) 30 June 2022, the Group recorded revenue of RM161.11 million which represents an increase of approximately RM0.57 million as compared to the preceding financial year of RM160.54 million. The increase in revenue was mainly due to higher revenue contribution from the local subsidiaries.",normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2022,MDA_P003,Unknown,B003,[MDA_P003] The Group recorded lower profit before tax of RM2.93 million for the FYE 30 June 2022 as compared to the profit before tax of RM3.91 million incurred in the preceding financial year. This was attributable to the escalating costs of material and labour combined with the effect of a weakeni,"[MDA_P003] The Group recorded lower profit before tax of RM2.93 million for the FYE 30 June 2022 as compared to the profit before tax of RM3.91 million incurred in the preceding financial year. This was attributable to the escalating costs of material and labour combined with the effect of a weakening Ringgit that impacted local subsidiaries’ cost of purchases. This was partly offset by the reversal of impairment loss on other receivables and inventories obsolescence as well as gain on disposal of property, plant and equipment in the current financial year.",normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2022,MDA_P004,Financial Review,B005,[MDA_P005] (All in RM’000),[MDA_P005] (All in RM’000),normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2022,MDA_P005,Financial Review,B006,[MDA_P006] FY 2020 FY 2021 FY 2022 Revenue,[MDA_P006] FY 2020 FY 2021 FY 2022 Revenue,normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2022,MDA_P006,Financial Review,B007,"[MDA_P007] 149,245 160,539 161,111 (Loss)/Profit before tax","[MDA_P007] 149,245 160,539 161,111 (Loss)/Profit before tax",normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2022,MDA_P007,Financial Review,B008,"[MDA_P008] (8,396) 3,912 2,934 The Board is committed to continue with prudent measures to improve the Group’s financial performance and deliver satisfactory results taking cognizance of the prevailing business environment. Financial Highlights","[MDA_P008] (8,396) 3,912 2,934 The Board is committed to continue with prudent measures to improve the Group’s financial performance and deliver satisfactory results taking cognizance of the prevailing business environment. Financial Highlights",normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2022,MDA_P008,Financial Review,B009,[MDA_P009] 30 Jun 18 30 Jun 19 30 Jun 20 30 Jun 21 30 Jun 22,[MDA_P009] 30 Jun 18 30 Jun 19 30 Jun 20 30 Jun 21 30 Jun 22,normalize_whitespace;renumber_paragraph,0,,high
