document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_9946_ETA_2023,REMOVED_001,Unknown,L9,Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_9946_ETA_2023,REMOVED_002,Unknown,L117,Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_9946_ETA_2023,REMOVED_003,Unknown,L220,Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_9946_ETA_2023,MDA_P001,Unknown,B001,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS,[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS,normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P002,Unknown,B002,[MDA_P002] REX INDUSTRY BERHAD,[MDA_P002] REX INDUSTRY BERHAD,normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P003,Financial Review,B004,[MDA_P004] FY 2021 FY 2022 FY 2023 (All in RM’000) Revenue,[MDA_P004] FY 2021 FY 2022 FY 2023 (All in RM’000) Revenue,normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P004,Financial Review,B005,"[MDA_P005] 160,539 161,111 162,408 (Loss)/Profit before tax","[MDA_P005] 160,539 161,111 162,408 (Loss)/Profit before tax",normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P005,Financial Review,B006,"[MDA_P006] 3,912 2,934 (43,414) The Board is committed to continue with prudent measures to improve the Group’s financial performance and deliver satisfactory results taking cognizance of the prevailing business environment. Financial Highlights","[MDA_P006] 3,912 2,934 (43,414) The Board is committed to continue with prudent measures to improve the Group’s financial performance and deliver satisfactory results taking cognizance of the prevailing business environment. Financial Highlights",normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P006,Financial Review,B007,[MDA_P007] 30 Jun 19 30 Jun 20 30 Jun 21 30 Jun 22 30 Jun 23,[MDA_P007] 30 Jun 19 30 Jun 20 30 Jun 21 30 Jun 22 30 Jun 23,normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P007,Financial Review,B008,"[MDA_P008] RM'000 RM'000 RM'000 RM'000 RM'000 Statement of Profit and Loss Revenue 136,609 149,245 160,539 161,111 162,408 Interest expense 1,905 2,050 1,531 1,171 1,617","[MDA_P008] RM'000 RM'000 RM'000 RM'000 RM'000 Statement of Profit and Loss Revenue 136,609 149,245 160,539 161,111 162,408 Interest expense 1,905 2,050 1,531 1,171 1,617",normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P008,Financial Review,B009,"[MDA_P009] (Loss)/Profit before Tax after Minority Interest (14,317) (8,396) 3,912 2,934 (43,414)","[MDA_P009] (Loss)/Profit before Tax after Minority Interest (14,317) (8,396) 3,912 2,934 (43,414)",normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P009,Financial Review,B010,"[MDA_P010] (Loss)/Profit after Tax and Minority Interest (13,297) (9,465) 2,603 2,027 (44,399) Dividend declared – – (987) – –","[MDA_P010] (Loss)/Profit after Tax and Minority Interest (13,297) (9,465) 2,603 2,027 (44,399) Dividend declared – – (987) – –",normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P010,Financial Review,B011,"[MDA_P011] Statement of Financial Position Paid-up Share Capital 73,742 73,742 97,903 97,903 113,717 Shareholders Funds 113,672 101,891 127,404 129,714 103,562 Borrowings 36,472 42,209 28,884 27,804 31,766 Net Tangible Assets (“NTA”) 106,635 94,854 120,367 122,677 96,525 MANAGEMENT DISCUSSION & ANAL","[MDA_P011] Statement of Financial Position Paid-up Share Capital 73,742 73,742 97,903 97,903 113,717 Shareholders Funds 113,672 101,891 127,404 129,714 103,562 Borrowings 36,472 42,209 28,884 27,804 31,766 Net Tangible Assets (“NTA”) 106,635 94,854 120,367 122,677 96,525 MANAGEMENT DISCUSSION & ANALYSIS (CONT’D)",normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P011,Financial Review,B012,[MDA_P012] REX INDUSTRY BERHAD,[MDA_P012] REX INDUSTRY BERHAD,normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P012,Financial Review,B014,[MDA_P014] 30 Jun 19 30 Jun 20 30 Jun 21 30 Jun 22 30 Jun 23,[MDA_P014] 30 Jun 19 30 Jun 20 30 Jun 21 30 Jun 22 30 Jun 23,normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P013,Financial Review,B015,[MDA_P015] RM'000 RM'000 RM'000 RM'000 RM'000 Investment Ratio NTA per share 0.43 0.38 0.24 0.25 0.15,[MDA_P015] RM'000 RM'000 RM'000 RM'000 RM'000 Investment Ratio NTA per share 0.43 0.38 0.24 0.25 0.15,normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P014,Financial Review,B016,[MDA_P016] Basic (Loss)/Earnings Per Share (Sen) (5.39) (3.84) 0.64 0.38 (7.04) Dividend per share (sen) – – 0.2 – – Operating Ratio,[MDA_P016] Basic (Loss)/Earnings Per Share (Sen) (5.39) (3.84) 0.64 0.38 (7.04) Dividend per share (sen) – – 0.2 – – Operating Ratio,normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P015,Financial Review,B017,[MDA_P017] After tax return on shareholders' fund (%) (11.70) (9.29) 2.04 1.56 (42.87) Pre-tax profit margin (%) (10.48) (5.63) 2.44 1.82 (26.73) Financial Ratio,[MDA_P017] After tax return on shareholders' fund (%) (11.70) (9.29) 2.04 1.56 (42.87) Pre-tax profit margin (%) (10.48) (5.63) 2.44 1.82 (26.73) Financial Ratio,normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P016,Financial Review,B018,[MDA_P018] Gearing (times) 0.32 0.42 0.23 0.22 0.31 Interest Coverage ratio (6.52) (3.10) 3.55 3.51 (25.85),[MDA_P018] Gearing (times) 0.32 0.42 0.23 0.22 0.31 Interest Coverage ratio (6.52) (3.10) 3.55 3.51 (25.85),normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P017,Financial Review,B019,[MDA_P019] Liquidity ratio,[MDA_P019] Liquidity ratio,normalize_whitespace;renumber_paragraph,0,,high
MDA_9946_ETA_2023,MDA_P018,Financial Review,B020,[MDA_P020] Current ratio 1.80 1.32 1.87 1.79 1.67 Quick ratio 0.99 0.61 0.93 0.83 0.77,[MDA_P020] Current ratio 1.80 1.32 1.87 1.79 1.67 Quick ratio 0.99 0.61 0.93 0.83 0.77,normalize_whitespace;renumber_paragraph,0,,high
